"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","31472","2","10.986328125","2","2000","2000000","0","139124","139124","0","2897","1336","648"
"1","ALIGN_RAMP","31468","-2","-10.986328125","-4","-4000","-6000000","200","139125","139125","0","2903","1336","2152"
"2","ALIGN_RAMP","31471","1","5.4931640625","3","3000","7000000","400","139126","139126","0","2902","1336","2062"
"3","ALIGN_RAMP","31469","-1","-5.4931640625","-2","-2000","-5000000","600","139127","139127","0","2902","1336","1972"
"4","ALIGN_RAMP","31468","-2","-10.986328125","-1","-1000","1000000","800","139128","139128","0","2902","1336","1882"
"5","ALIGN_RAMP","31473","3","16.4794921875","5","5000","6000000","1000","139129","139129","0","2902","1336","1792"
"6","ALIGN_RAMP","31474","4","21.97265625","1","1000","-4000000","1200","139130","139130","0","2902","1336","1702"
"7","ALIGN_RAMP","31471","1","5.4931640625","-3","-3000","-4000000","1400","139131","139131","0","2902","1336","1612"
"8","ALIGN_RAMP","31470","0","0","-1","-1000","2000000","1600","139132","139132","0","2902","1336","1522"
"9","ALIGN_RAMP","31469","-1","-5.4931640625","-1","-1000","0","1800","139133","139133","0","2902","1336","1432"
"10","ALIGN_RAMP","31472","2","10.986328125","3","3000","4000000","2000","139134","139134","0","2902","1336","1342"
"11","ALIGN_RAMP","31471","1","5.4931640625","-1","-1000","-4000000","2200","139135","139135","0","2902","1336","1252"
"12","ALIGN_RAMP","31472","2","10.986328125","1","1000","2000000","2400","139136","139136","0","2902","1336","1162"
"13","ALIGN_RAMP","31473","3","16.4794921875","1","1000","0","2600","139137","139137","0","2902","1336","1072"
"14","ALIGN_RAMP","31471","1","5.4931640625","-2","-2000","-3000000","2800","139138","139138","0","2902","1336","982"
"15","ALIGN_RAMP","31474","4","21.97265625","3","3000","5000000","3000","139139","139139","0","2902","1336","892"
"16","ALIGN_RAMP","31473","3","16.4794921875","-1","-1000","-4000000","3200","139140","139140","0","2902","1336","802"
"17","ALIGN_RAMP","31471","1","5.4931640625","-2","-2000","-1000000","3400","139141","139141","0","2902","1336","712"
"18","ALIGN_RAMP","31468","-2","-10.986328125","-3","-3000","-1000000","3600","139142","139142","0","2902","1336","622"
"19","ALIGN_RAMP","31472","2","10.986328125","4","4000","7000000","3800","139143","139143","0","2902","1336","532"
"20","ALIGN_RAMP","31469","-1","-5.4931640625","-3","-3000","-7000000","4000","139144","139144","0","2902","1336","442"
"21","ALIGN_RAMP","31473","3","16.4794921875","4","4000","7000000","4200","139145","139145","0","2902","1336","352"
"22","ALIGN_RAMP","31471","1","5.4931640625","-2","-2000","-6000000","4400","139146","139146","0","2902","1336","262"
"23","ALIGN_RAMP","31470","0","0","-1","-1000","1000000","4600","139147","139147","0","2902","1336","172"
"24","ALIGN_RAMP","31472","2","10.986328125","2","2000","3000000","4800","139148","139148","0","2902","1336","82"
"25","ALIGN_RAMP","31470","0","0","-2","-2000","-4000000","5000","139149","139149","0","2902","1336","2147"
"26","ALIGN_RAMP","31473","3","16.4794921875","3","3000","5000000","5200","139150","139150","0","2902","1336","2057"
"27","ALIGN_RAMP","31475","5","27.4658203125","2","2000","-1000000","5400","139151","139151","0","2902","1336","1967"
"28","ALIGN_RAMP","31473","3","16.4794921875","-2","-2000","-4000000","5600","139152","139152","0","2902","1336","1877"
"29","ALIGN_RAMP","31472","2","10.986328125","-1","-1000","1000000","5800","139153","139153","0","2902","1336","1787"
"30","ALIGN_RAMP","31471","1","5.4931640625","-1","-1000","0","6000","139154","139154","0","2902","1336","1697"
"31","ALIGN_RAMP","31469","-1","-5.4931640625","-2","-2000","-1000000","6200","139155","139155","0","2902","1336","1607"
"32","ALIGN_RAMP","31470","0","0","1","1000","3000000","6400","139156","139156","0","2902","1336","1517"
"33","ALIGN_RAMP","31476","6","32.958984375","6","6000","5000000","6600","139157","139157","0","2902","1336","1427"
"34","ALIGN_RAMP","31472","2","10.986328125","-4","-4000","-10000000","6800","139158","139158","0","2902","1336","1337"
"35","ALIGN_RAMP","31469","-1","-5.4931640625","-3","-3000","1000000","7000","139159","139159","0","2902","1336","1247"
"36","ALIGN_RAMP","31472","2","10.986328125","3","3000","6000000","7200","139160","139160","0","2902","1336","1157"
"37","ALIGN_RAMP","31472","2","10.986328125","0","0","-3000000","7400","139161","139161","0","2902","1336","1067"
"38","ALIGN_RAMP","31475","5","27.4658203125","3","3000","3000000","7600","139162","139162","0","2902","1336","977"
"39","ALIGN_RAMP","31470","0","0","-5","-5000","-8000000","7800","139163","139163","0","2902","1336","887"
"40","ALIGN_RAMP","31476","6","32.958984375","6","6000","11000000","8000","139164","139164","0","2902","1336","797"
"41","ALIGN_RAMP","31470","0","0","-6","-6000","-12000000","8200","139165","139165","0","2902","1336","707"
"42","ALIGN_RAMP","31470","0","0","0","0","6000000","8400","139166","139166","0","2902","1336","617"
"43","ALIGN_RAMP","31473","3","16.4794921875","3","3000","3000000","8600","139167","139167","0","2902","1336","527"
"44","ALIGN_RAMP","31468","-2","-10.986328125","-5","-5000","-8000000","8800","139168","139168","0","2902","1336","437"
"45","ALIGN_RAMP","31468","-2","-10.986328125","0","0","5000000","9000","139169","139169","0","2902","1336","347"
"46","ALIGN_RAMP","31470","0","0","2","2000","2000000","9200","139170","139170","0","2902","1336","257"
"47","ALIGN_RAMP","31473","3","16.4794921875","3","3000","1000000","9400","139171","139171","0","2902","1336","167"
"48","ALIGN_RAMP","31476","6","32.958984375","3","3000","0","9600","139172","139172","0","2902","1336","77"
"49","ALIGN_RAMP","31471","1","5.4931640625","-5","-5000","-8000000","9800","139173","139173","0","2902","1336","2142"
"50","ALIGN_RAMP","31471","1","5.4931640625","0","0","5000000","10000","139174","139174","0","2902","1336","2052"
"51","ALIGN_RAMP","31474","4","21.97265625","3","3000","3000000","10200","139175","139175","0","2902","1336","1962"
"52","ALIGN_RAMP","31470","0","0","-4","-4000","-7000000","10400","139176","139176","0","2902","1336","1872"
"53","ALIGN_RAMP","31472","2","10.986328125","2","2000","6000000","10600","139177","139177","0","2902","1336","1782"
"54","ALIGN_RAMP","31471","1","5.4931640625","-1","-1000","-3000000","10800","139178","139178","0","2902","1336","1692"
"55","ALIGN_RAMP","31473","3","16.4794921875","2","2000","3000000","11000","139179","139179","0","2902","1336","1602"
"56","ALIGN_RAMP","31474","4","21.97265625","1","1000","-1000000","11200","139180","139180","0","2902","1336","1512"
"57","ALIGN_RAMP","31473","3","16.4794921875","-1","-1000","-2000000","11400","139181","139181","0","2902","1336","1422"
"58","ALIGN_RAMP","31473","3","16.4794921875","0","0","1000000","11600","139182","139182","0","2902","1336","1332"
"59","ALIGN_RAMP","31473","3","16.4794921875","0","0","0","11800","139183","139183","0","2902","1336","1242"
"60","ALIGN_RAMP","31473","3","16.4794921875","0","0","0","12000","139184","139184","0","2902","1336","1152"
"61","ALIGN_RAMP","31473","3","16.4794921875","0","0","0","12200","139185","139185","0","2902","1336","1062"
"62","ALIGN_RAMP","31472","2","10.986328125","-1","-1000","-1000000","12400","139186","139186","0","2902","1336","972"
"63","ALIGN_RAMP","31473","3","16.4794921875","1","1000","2000000","12600","139187","139187","0","2902","1336","882"
"64","ALIGN_RAMP","31474","4","21.97265625","1","1000","0","12800","139188","139188","0","2902","1336","792"
"65","ALIGN_RAMP","31473","3","16.4794921875","-1","-1000","-2000000","13000","139189","139189","0","2902","1336","702"
"66","ALIGN_RAMP","31473","3","16.4794921875","0","0","1000000","13200","139190","139190","0","2902","1336","612"
"67","ALIGN_RAMP","31473","3","16.4794921875","0","0","0","13400","139191","139191","0","2902","1336","522"
"68","ALIGN_RAMP","31473","3","16.4794921875","0","0","0","13600","139192","139192","0","2902","1336","432"
"69","ALIGN_RAMP","31470","0","0","-3","-3000","-3000000","13800","139193","139193","0","2902","1336","342"
"70","ALIGN_RAMP","31470","0","0","0","0","3000000","14000","139194","139194","0","2902","1336","252"
"71","ALIGN_RAMP","31472","2","10.986328125","2","2000","2000000","14200","139195","139195","0","2902","1336","162"
"72","ALIGN_RAMP","31477","7","38.4521484375","5","5000","3000000","14400","139196","139196","0","2902","1336","72"
"73","ALIGN_RAMP","31474","4","21.97265625","-3","-3000","-8000000","14600","139197","139197","0","2902","1336","2137"
"74","ALIGN_RAMP","31472","2","10.986328125","-2","-2000","1000000","14800","139198","139198","0","2902","1336","2047"
"75","ALIGN_RAMP","31474","4","21.97265625","2","2000","4000000","15000","139199","139199","0","2902","1336","1957"
"76","ALIGN_RAMP","31471","1","5.4931640625","-3","-3000","-5000000","15200","139200","139200","0","2902","1336","1867"
"77","ALIGN_RAMP","31473","3","16.4794921875","2","2000","5000000","15400","139201","139201","0","2902","1336","1777"
"78","ALIGN_RAMP","31473","3","16.4794921875","0","0","-2000000","15600","139202","139202","0","2902","1336","1687"
"79","ALIGN_RAMP","31474","4","21.97265625","1","1000","1000000","15800","139203","139203","0","2902","1336","1597"
"80","ALIGN_RAMP","31474","4","21.97265625","0","0","-1000000","16000","139204","139204","0","2902","1336","1507"
"81","ALIGN_RAMP","31473","3","16.4794921875","-1","-1000","-1000000","16200","139205","139205","0","2902","1336","1417"
"82","ALIGN_RAMP","31473","3","16.4794921875","0","0","1000000","16400","139206","139206","0","2902","1336","1327"
"83","ALIGN_RAMP","31471","1","5.4931640625","-2","-2000","-2000000","16600","139207","139207","0","2902","1336","1237"
"84","ALIGN_RAMP","31474","4","21.97265625","3","3000","5000000","16800","139208","139208","0","2902","1336","1147"
"85","ALIGN_RAMP","31472","2","10.986328125","-2","-2000","-5000000","17000","139209","139209","0","2902","1336","1057"
"86","ALIGN_RAMP","31472","2","10.986328125","0","0","2000000","17200","139210","139210","0","2902","1336","967"
"87","ALIGN_RAMP","31470","0","0","-2","-2000","-2000000","17400","139211","139211","0","2902","1336","877"
"88","ALIGN_RAMP","31473","3","16.4794921875","3","3000","5000000","17600","139212","139212","0","2902","1336","787"
"89","ALIGN_RAMP","31472","2","10.986328125","-1","-1000","-4000000","17800","139213","139213","0","2902","1336","697"
"90","ALIGN_RAMP","31476","6","32.958984375","4","4000","5000000","18000","139214","139214","0","2902","1336","607"
"91","ALIGN_RAMP","31471","1","5.4931640625","-5","-5000","-9000000","18200","139215","139215","0","2902","1336","517"
"92","ALIGN_RAMP","31470","0","0","-1","-1000","4000000","18400","139216","139216","0","2902","1336","427"
"93","ALIGN_RAMP","31474","4","21.97265625","4","4000","5000000","18600","139217","139217","0","2902","1336","337"
"94","ALIGN_RAMP","31475","5","27.4658203125","1","1000","-3000000","18800","139218","139218","0","2902","1336","247"
"95","ALIGN_RAMP","31473","3","16.4794921875","-2","-2000","-3000000","19000","139219","139219","0","2902","1336","157"
"96","ALIGN_RAMP","31471","1","5.4931640625","-2","-2000","0","19200","139220","139220","0","2902","1336","67"
"97","ALIGN_RAMP","31471","1","5.4931640625","0","0","2000000","19400","139221","139221","0","2902","1336","2132"
"98","ALIGN_RAMP","31472","2","10.986328125","1","1000","1000000","19600","139222","139222","0","2902","1336","2042"
"99","ALIGN_RAMP","31470","0","0","-2","-2000","-3000000","19800","139223","139223","0","2902","1336","1952"
"100","ALIGN_RAMP","31468","-2","-10.986328125","-2","-2000","0","20000","139224","139224","0","2902","1336","1862"
"101","ALIGN_RAMP","31472","2","10.986328125","4","4000","6000000","20200","139225","139225","0","2902","1336","1772"
"102","ALIGN_RAMP","31473","3","16.4794921875","1","1000","-3000000","20400","139226","139226","0","2902","1336","1682"
