"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","58836","-4","-21.97265625","-4","-4000","-4000000","0","206876","206876","0","2897","1336","1618"
"1","ALIGN_RAMP","58840","0","0","4","4000","8000000","200","206877","206877","0","2903","1336","967"
"2","ALIGN_RAMP","58838","-2","-10.986328125","-2","-2000","-6000000","400","206878","206878","0","2902","1336","877"
"3","ALIGN_RAMP","58837","-3","-16.4794921875","-1","-1000","1000000","600","206879","206879","0","2902","1336","787"
"4","ALIGN_RAMP","58835","-5","-27.4658203125","-2","-2000","-1000000","800","206880","206880","0","2902","1336","697"
"5","ALIGN_RAMP","58837","-3","-16.4794921875","2","2000","4000000","1000","206881","206881","0","2902","1336","607"
"6","ALIGN_RAMP","58838","-2","-10.986328125","1","1000","-1000000","1200","206882","206882","0","2902","1336","517"
"7","ALIGN_RAMP","58840","0","0","2","2000","1000000","1400","206883","206883","0","2902","1336","427"
"8","ALIGN_RAMP","58841","1","5.4931640625","1","1000","-1000000","1600","206884","206884","0","2902","1336","337"
"9","ALIGN_RAMP","58840","0","0","-1","-1000","-2000000","1800","206885","206885","0","2902","1336","247"
"10","ALIGN_RAMP","58837","-3","-16.4794921875","-3","-3000","-2000000","2000","206886","206886","0","2902","1336","157"
"11","ALIGN_RAMP","58842","2","10.986328125","5","5000","8000000","2200","206887","206887","0","2902","1336","67"
"12","ALIGN_RAMP","58841","1","5.4931640625","-1","-1000","-6000000","2400","206888","206888","0","2902","1336","2132"
"13","ALIGN_RAMP","58841","1","5.4931640625","0","0","1000000","2600","206889","206889","0","2902","1336","2042"
"14","ALIGN_RAMP","58838","-2","-10.986328125","-3","-3000","-3000000","2800","206890","206890","0","2902","1336","1952"
"15","ALIGN_RAMP","58836","-4","-21.97265625","-2","-2000","1000000","3000","206891","206891","0","2902","1336","1862"
"16","ALIGN_RAMP","58842","2","10.986328125","6","6000","8000000","3200","206892","206892","0","2902","1336","1772"
"17","ALIGN_RAMP","58842","2","10.986328125","0","0","-6000000","3400","206893","206893","0","2902","1336","1682"
"18","ALIGN_RAMP","58840","0","0","-2","-2000","-2000000","3600","206894","206894","0","2902","1336","1592"
"19","ALIGN_RAMP","58835","-5","-27.4658203125","-5","-5000","-3000000","3800","206895","206895","0","2902","1336","1502"
"20","ALIGN_RAMP","58838","-2","-10.986328125","3","3000","8000000","4000","206896","206896","0","2902","1336","1412"
"21","ALIGN_RAMP","58839","-1","-5.4931640625","1","1000","-2000000","4200","206897","206897","0","2902","1336","1322"
"22","ALIGN_RAMP","58840","0","0","1","1000","0","4400","206898","206898","0","2902","1336","1232"
"23","ALIGN_RAMP","58841","1","5.4931640625","1","1000","0","4600","206899","206899","0","2902","1336","1142"
"24","ALIGN_RAMP","58837","-3","-16.4794921875","-4","-4000","-5000000","4800","206900","206900","0","2902","1336","1052"
"25","ALIGN_RAMP","58840","0","0","3","3000","7000000","5000","206901","206901","0","2902","1336","962"
"26","ALIGN_RAMP","58837","-3","-16.4794921875","-3","-3000","-6000000","5200","206902","206902","0","2902","1336","872"
"27","ALIGN_RAMP","58838","-2","-10.986328125","1","1000","4000000","5400","206903","206903","0","2902","1336","782"
"28","ALIGN_RAMP","58840","0","0","2","2000","1000000","5600","206904","206904","0","2902","1336","692"
"29","ALIGN_RAMP","58843","3","16.4794921875","3","3000","1000000","5800","206905","206905","0","2902","1336","602"
"30","ALIGN_RAMP","58837","-3","-16.4794921875","-6","-6000","-9000000","6000","206906","206906","0","2902","1336","512"
"31","ALIGN_RAMP","58841","1","5.4931640625","4","4000","10000000","6200","206907","206907","0","2902","1336","422"
"32","ALIGN_RAMP","58838","-2","-10.986328125","-3","-3000","-7000000","6400","206908","206908","0","2902","1336","332"
"33","ALIGN_RAMP","58836","-4","-21.97265625","-2","-2000","1000000","6600","206909","206909","0","2902","1336","242"
"34","ALIGN_RAMP","58842","2","10.986328125","6","6000","8000000","6800","206910","206910","0","2902","1336","152"
"35","ALIGN_RAMP","58841","1","5.4931640625","-1","-1000","-7000000","7000","206911","206911","0","2902","1336","62"
"36","ALIGN_RAMP","58836","-4","-21.97265625","-5","-5000","-4000000","7200","206912","206912","0","2902","1336","2127"
"37","ALIGN_RAMP","58835","-5","-27.4658203125","-1","-1000","4000000","7400","206913","206913","0","2902","1336","2037"
"38","ALIGN_RAMP","58838","-2","-10.986328125","3","3000","4000000","7600","206914","206914","0","2902","1336","1947"
"39","ALIGN_RAMP","58841","1","5.4931640625","3","3000","0","7800","206915","206915","0","2902","1336","1857"
"40","ALIGN_RAMP","58839","-1","-5.4931640625","-2","-2000","-5000000","8000","206916","206916","0","2902","1336","1767"
"41","ALIGN_RAMP","58839","-1","-5.4931640625","0","0","2000000","8200","206917","206917","0","2902","1336","1677"
"42","ALIGN_RAMP","58837","-3","-16.4794921875","-2","-2000","-2000000","8400","206918","206918","0","2902","1336","1587"
"43","ALIGN_RAMP","58838","-2","-10.986328125","1","1000","3000000","8600","206919","206919","0","2902","1336","1497"
"44","ALIGN_RAMP","58840","0","0","2","2000","1000000","8800","206920","206920","0","2902","1336","1407"
"45","ALIGN_RAMP","58837","-3","-16.4794921875","-3","-3000","-5000000","9000","206921","206921","0","2902","1336","1317"
"46","ALIGN_RAMP","58838","-2","-10.986328125","1","1000","4000000","9200","206922","206922","0","2902","1336","1227"
