"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","33506","2","10.986328125","2","2000","2000000","0","503218","503218","0","2897","1336","1150"
"1","ALIGN_RAMP","33506","2","10.986328125","0","0","-2000000","200","503219","503219","0","2903","1336","467"
"2","ALIGN_RAMP","33504","0","0","-2","-2000","-2000000","400","503220","503220","0","2903","1336","377"
"3","ALIGN_RAMP","33508","4","21.97265625","4","4000","6000000","600","503221","503221","0","2903","1336","287"
"4","ALIGN_RAMP","33509","5","27.4658203125","1","1000","-3000000","800","503222","503222","0","2903","1336","197"
"5","ALIGN_RAMP","33511","7","38.4521484375","2","2000","1000000","1000","503223","503223","0","2903","1336","107"
"6","ALIGN_RAMP","33503","-1","-5.4931640625","-8","-8000","-10000000","1200","503224","503224","0","2903","1336","17"
"7","ALIGN_RAMP","33505","1","5.4931640625","2","2000","10000000","1400","503225","503225","0","2903","1336","2082"
"8","ALIGN_RAMP","33507","3","16.4794921875","2","2000","0","1600","503226","503226","0","2903","1336","1992"
"9","ALIGN_RAMP","33509","5","27.4658203125","2","2000","0","1800","503227","503227","0","2903","1336","1902"
"10","ALIGN_RAMP","33509","5","27.4658203125","0","0","-2000000","2000","503228","503228","0","2903","1336","1812"
"11","ALIGN_RAMP","33510","6","32.958984375","1","1000","1000000","2200","503229","503229","0","2903","1336","1722"
"12","ALIGN_RAMP","33504","0","0","-6","-6000","-7000000","2400","503230","503230","0","2903","1336","1632"
"13","ALIGN_RAMP","33503","-1","-5.4931640625","-1","-1000","5000000","2600","503231","503231","0","2903","1336","1542"
"14","ALIGN_RAMP","33508","4","21.97265625","5","5000","6000000","2800","503232","503232","0","2903","1336","1452"
"15","ALIGN_RAMP","33505","1","5.4931640625","-3","-3000","-8000000","3000","503233","503233","0","2903","1336","1362"
"16","ALIGN_RAMP","33509","5","27.4658203125","4","4000","7000000","3200","503234","503234","0","2903","1336","1272"
"17","ALIGN_RAMP","33509","5","27.4658203125","0","0","-4000000","3400","503235","503235","0","2903","1336","1182"
"18","ALIGN_RAMP","33507","3","16.4794921875","-2","-2000","-2000000","3600","503236","503236","0","2903","1336","1092"
"19","ALIGN_RAMP","33505","1","5.4931640625","-2","-2000","0","3800","503237","503237","0","2903","1336","1002"
"20","ALIGN_RAMP","33507","3","16.4794921875","2","2000","4000000","4000","503238","503238","0","2903","1336","912"
"21","ALIGN_RAMP","33505","1","5.4931640625","-2","-2000","-4000000","4200","503239","503239","0","2903","1336","822"
"22","ALIGN_RAMP","33504","0","0","-1","-1000","1000000","4400","503240","503240","0","2903","1336","732"
"23","ALIGN_RAMP","33505","1","5.4931640625","1","1000","2000000","4600","503241","503241","0","2903","1336","642"
"24","ALIGN_RAMP","33509","5","27.4658203125","4","4000","3000000","4800","503242","503242","0","2903","1336","552"
"25","ALIGN_RAMP","33509","5","27.4658203125","0","0","-4000000","5000","503243","503243","0","2903","1336","462"
"26","ALIGN_RAMP","33508","4","21.97265625","-1","-1000","-1000000","5200","503244","503244","0","2903","1336","372"
"27","ALIGN_RAMP","33504","0","0","-4","-4000","-3000000","5400","503245","503245","0","2903","1336","282"
"28","ALIGN_RAMP","33501","-3","-16.4794921875","-3","-3000","1000000","5600","503246","503246","0","2903","1336","192"
"29","ALIGN_RAMP","33506","2","10.986328125","5","5000","8000000","5800","503247","503247","0","2903","1336","102"
"30","ALIGN_RAMP","33506","2","10.986328125","0","0","-5000000","6000","503248","503248","0","2903","1336","12"
"31","ALIGN_RAMP","33503","-1","-5.4931640625","-3","-3000","-3000000","6200","503249","503249","0","2903","1336","2077"
"32","ALIGN_RAMP","33508","4","21.97265625","5","5000","8000000","6400","503250","503250","0","2903","1336","1987"
"33","ALIGN_RAMP","33504","0","0","-4","-4000","-9000000","6600","503251","503251","0","2903","1336","1897"
"34","ALIGN_RAMP","33505","1","5.4931640625","1","1000","5000000","6800","503252","503252","0","2903","1336","1807"
"35","ALIGN_RAMP","33505","1","5.4931640625","0","0","-1000000","7000","503253","503253","0","2903","1336","1717"
"36","ALIGN_RAMP","33507","3","16.4794921875","2","2000","2000000","7200","503254","503254","0","2903","1336","1627"
"37","ALIGN_RAMP","33504","0","0","-3","-3000","-5000000","7400","503255","503255","0","2903","1336","1537"
"38","ALIGN_RAMP","33504","0","0","0","0","3000000","7600","503256","503256","0","2903","1336","1447"
"39","ALIGN_RAMP","33506","2","10.986328125","2","2000","2000000","7800","503257","503257","0","2903","1336","1357"
"40","ALIGN_RAMP","33505","1","5.4931640625","-1","-1000","-3000000","8000","503258","503258","0","2903","1336","1267"
"41","ALIGN_RAMP","33508","4","21.97265625","3","3000","4000000","8200","503259","503259","0","2903","1336","1177"
"42","ALIGN_RAMP","33505","1","5.4931640625","-3","-3000","-6000000","8400","503260","503260","0","2903","1336","1087"
"43","ALIGN_RAMP","33503","-1","-5.4931640625","-2","-2000","1000000","8600","503261","503261","0","2903","1336","997"
"44","ALIGN_RAMP","33505","1","5.4931640625","2","2000","4000000","8800","503262","503262","0","2903","1336","907"
"45","ALIGN_RAMP","33506","2","10.986328125","1","1000","-1000000","9000","503263","503263","0","2903","1336","817"
"46","ALIGN_RAMP","33504","0","0","-2","-2000","-3000000","9200","503264","503264","0","2903","1336","727"
"47","ALIGN_RAMP","33508","4","21.97265625","4","4000","6000000","9400","503265","503265","0","2903","1336","637"
"48","ALIGN_RAMP","33504","0","0","-4","-4000","-8000000","9600","503266","503266","0","2903","1336","547"
"49","ALIGN_RAMP","33507","3","16.4794921875","3","3000","7000000","9800","503267","503267","0","2903","1336","457"
"50","ALIGN_RAMP","33506","2","10.986328125","-1","-1000","-4000000","10000","503268","503268","0","2903","1336","367"
"51","ALIGN_RAMP","33509","5","27.4658203125","3","3000","4000000","10200","503269","503269","0","2903","1336","277"
"52","ALIGN_RAMP","33507","3","16.4794921875","-2","-2000","-5000000","10400","503270","503270","0","2903","1336","187"
"53","ALIGN_RAMP","33507","3","16.4794921875","0","0","2000000","10600","503271","503271","0","2903","1336","97"
"54","ALIGN_RAMP","33509","5","27.4658203125","2","2000","2000000","10800","503272","503272","0","2903","1336","7"
"55","ALIGN_RAMP","33505","1","5.4931640625","-4","-4000","-6000000","11000","503273","503273","0","2903","1336","2072"
"56","ALIGN_RAMP","33508","4","21.97265625","3","3000","7000000","11200","503274","503274","0","2903","1336","1982"
"57","ALIGN_RAMP","33505","1","5.4931640625","-3","-3000","-6000000","11400","503275","503275","0","2903","1336","1892"
"58","ALIGN_RAMP","33508","4","21.97265625","3","3000","6000000","11600","503276","503276","0","2903","1336","1802"
"59","ALIGN_RAMP","33508","4","21.97265625","0","0","-3000000","11800","503277","503277","0","2903","1336","1712"
"60","ALIGN_RAMP","33505","1","5.4931640625","-3","-3000","-3000000","12000","503278","503278","0","2903","1336","1622"
"61","ALIGN_RAMP","33505","1","5.4931640625","0","0","3000000","12200","503279","503279","0","2903","1336","1532"
"62","ALIGN_RAMP","33502","-2","-10.986328125","-3","-3000","-3000000","12400","503280","503280","0","2903","1336","1442"
"63","ALIGN_RAMP","33506","2","10.986328125","4","4000","7000000","12600","503281","503281","0","2903","1336","1352"
"64","ALIGN_RAMP","33507","3","16.4794921875","1","1000","-3000000","12800","503282","503282","0","2903","1336","1262"
"65","ALIGN_RAMP","33505","1","5.4931640625","-2","-2000","-3000000","13000","503283","503283","0","2903","1336","1172"
"66","ALIGN_RAMP","33511","7","38.4521484375","6","6000","8000000","13200","503284","503284","0","2903","1336","1082"
