"Run","File","Profile","Result","GatePass","HardGatePass","GateReasons","EvidenceCount","BaselineRaw","FinalRaw","FinalTravelMilliDeg","MaxAbsTravelMilliDeg","MaxAbsStepRaw","MaxAbsStepMilliDeg","MaxStepSeq","MaxStepPowerPpm","Onset50mdegSeq","Onset100mdegSeq","Onset250mdegSeq","Onset500mdegSeq","HoldMeanMilliDeg","HoldStdMilliDeg","HoldP2PMilliDeg","HoldDriftMilliDeg","HoldTail20MeanMilliDeg","HoldTail20StdMilliDeg","HoldTail20P2PMilliDeg","SettledModuloRaw","LoopMinUs","LoopMeanUs","LoopMaxUs","SpiMeanUs","SpiMaxUs","MaxLatenessTicks","DeadlineMisses","Retries","TransportErrors","JumpRejects","FailedSamples","AccelerationSaturations","FreeHeap","StackHighWaterWords"
"A2 lần 10","C:\learn\rd\jig\A2 lần 10.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","24275","24279","21.973","43.945","9","49.438","65","13000","NA","NA","NA","NA","3.296","9.765","49.438","10.986","0","9.355","32.959","2429.6","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 11","C:\learn\rd\jig\A2 lần 11.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","37107","37266","873.413","895.386","9","49.438","385","77000","180","196","262","361","862.152","13.664","65.918","21.973","871.49","8.733","38.452","4494.95","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 12","C:\learn\rd\jig\A2 lần 12.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","34924","34917","-38.452","65.918","8","43.945","559","100000","473","NA","NA","NA","-35.706","11.536","65.918","-10.986","-35.431","10.199","32.959","2148.5","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 13","C:\learn\rd\jig\A2 lần 13.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","31470","31369","-554.81","587.769","9","49.438","447","89400","191","225","364","492","-556.018","12.492","60.425","-10.986","-560.852","11.109","43.945","9522.78","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 2","C:\learn\rd\jig\A2 lần 2.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","58840","59015","961.304","966.797","9","49.438","130","26000","202","242","356","454","880.994","58.552","230.713","225.22","948.12","11.311","38.452","4385.38","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 3","C:\learn\rd\jig\A2 lần 3.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","SAMPLE_STEP_LIMIT","False","False","Result=SAMPLE_STEP_LIMIT;ActiveDuration;SummaryEvidenceCount;ReadAttempts;Accepted;DataCount=531;Phases=501/30;StepLimit@530=-52","531","55191","54421","-4229.736","4229.736","52","285.645","530","100000","201","253","331","385","-2190.491","870.976","3037.72","-3037.72","-2612.549","772.536","2631.226","177.233","17.244","17.276","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 4","C:\learn\rd\jig\A2 lần 4.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","49682","49815","730.591","758.057","9","49.438","76","15200","199","226","279","373","720.428","12.292","65.918","16.479","726.196","12.718","49.438","6121.15","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 5","C:\learn\rd\jig\A2 lần 5.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","46154","46159","27.466","76.904","9","49.438","474","94800","210","NA","NA","NA","22.906","11.68","60.425","-10.986","19.226","12.344","43.945","2466.17","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 6","C:\learn\rd\jig\A2 lần 6.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","40593","40598","27.466","32.959","8","43.945","467","93400","NA","NA","NA","NA","11.81","8.05","38.452","0","14.008","10.05","38.452","7826.15","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2 lần 7","C:\learn\rd\jig\A2 lần 7.txt","CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1","OK","True","True","","601","37047","37217","933.838","961.304","8","43.945","404","80800","179","191","238","341","923.346","14.007","71.411","27.466","934.937","10.509","43.945","4446.09","17.244","17.275","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
