"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","29675","1","5.4931640625","1","1000","1000000","0","19810","19810","0","2897","1336","190"
"1","ALIGN_RAMP","29674","0","0","-1","-1000","-2000000","200","19811","19811","0","2902","1336","2031"
"2","ALIGN_RAMP","29677","3","16.4794921875","3","3000","4000000","400","19812","19812","0","2902","1336","1941"
"3","ALIGN_RAMP","29678","4","21.97265625","1","1000","-2000000","600","19813","19813","0","2902","1336","1851"
"4","ALIGN_RAMP","29676","2","10.986328125","-2","-2000","-3000000","800","19814","19814","0","2902","1336","1761"
"5","ALIGN_RAMP","29676","2","10.986328125","0","0","2000000","1000","19815","19815","0","2902","1336","1671"
"6","ALIGN_RAMP","29674","0","0","-2","-2000","-2000000","1200","19816","19816","0","2902","1336","1581"
"7","ALIGN_RAMP","29677","3","16.4794921875","3","3000","5000000","1400","19817","19817","0","2902","1336","1491"
"8","ALIGN_RAMP","29675","1","5.4931640625","-2","-2000","-5000000","1600","19818","19818","0","2902","1336","1401"
"9","ALIGN_RAMP","29676","2","10.986328125","1","1000","3000000","1800","19819","19819","0","2902","1336","1311"
"10","ALIGN_RAMP","29674","0","0","-2","-2000","-3000000","2000","19820","19820","0","2902","1336","1221"
"11","ALIGN_RAMP","29677","3","16.4794921875","3","3000","5000000","2200","19821","19821","0","2902","1336","1131"
"12","ALIGN_RAMP","29676","2","10.986328125","-1","-1000","-4000000","2400","19822","19822","0","2902","1336","1041"
"13","ALIGN_RAMP","29678","4","21.97265625","2","2000","3000000","2600","19823","19823","0","2902","1336","951"
"14","ALIGN_RAMP","29676","2","10.986328125","-2","-2000","-4000000","2800","19824","19824","0","2902","1336","861"
"15","ALIGN_RAMP","29681","7","38.4521484375","5","5000","7000000","3000","19825","19825","0","2902","1336","771"
