"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","51509","2","10.986328125","2","2000","2000000","0","11409","11409","0","2931","1329","482"
"1","ALIGN_RAMP","51508","1","5.4931640625","-1","-1000","-3000000","120","11410","11410","0","2935","1329","1774"
"2","ALIGN_RAMP","51510","3","16.4794921875","2","2000","3000000","240","11411","11411","0","2935","1329","1684"
"3","ALIGN_RAMP","51507","0","0","-3","-3000","-5000000","360","11412","11412","0","2935","1329","1594"
"4","ALIGN_RAMP","51509","2","10.986328125","2","2000","5000000","480","11413","11413","0","2935","1329","1504"
"5","ALIGN_RAMP","51504","-3","-16.4794921875","-5","-5000","-7000000","600","11414","11414","0","2935","1329","1414"
"6","ALIGN_RAMP","51508","1","5.4931640625","4","4000","9000000","720","11415","11415","0","2935","1329","1324"
"7","ALIGN_RAMP","51505","-2","-10.986328125","-3","-3000","-7000000","840","11416","11416","0","2935","1329","1234"
"8","ALIGN_RAMP","51505","-2","-10.986328125","0","0","3000000","960","11417","11417","0","2935","1329","1144"
"9","ALIGN_RAMP","51505","-2","-10.986328125","0","0","0","1080","11418","11418","0","2935","1329","1054"
"10","ALIGN_RAMP","51508","1","5.4931640625","3","3000","3000000","1200","11419","11419","0","2935","1329","964"
"11","ALIGN_RAMP","51508","1","5.4931640625","0","0","-3000000","1320","11420","11420","0","2935","1329","874"
"12","ALIGN_RAMP","51506","-1","-5.4931640625","-2","-2000","-2000000","1440","11421","11421","0","2935","1329","784"
"13","ALIGN_RAMP","51506","-1","-5.4931640625","0","0","2000000","1560","11422","11422","0","2935","1329","694"
"14","ALIGN_RAMP","51505","-2","-10.986328125","-1","-1000","-1000000","1680","11423","11423","0","2935","1329","604"
"15","ALIGN_RAMP","51507","0","0","2","2000","3000000","1800","11424","11424","0","2935","1329","514"
"16","ALIGN_RAMP","51505","-2","-10.986328125","-2","-2000","-4000000","1920","11425","11425","0","2935","1329","424"
"17","ALIGN_RAMP","51507","0","0","2","2000","4000000","2040","11426","11426","0","2935","1329","334"
"18","ALIGN_RAMP","51505","-2","-10.986328125","-2","-2000","-4000000","2160","11427","11427","0","2935","1329","244"
"19","ALIGN_RAMP","51507","0","0","2","2000","4000000","2280","11428","11428","0","2935","1329","154"
"20","ALIGN_RAMP","51507","0","0","0","0","-2000000","2400","11429","11429","0","2935","1329","64"
"21","ALIGN_RAMP","51507","0","0","0","0","0","2520","11430","11430","0","2935","1329","2129"
"22","ALIGN_RAMP","51508","1","5.4931640625","1","1000","1000000","2640","11431","11431","0","2935","1329","2039"
"23","ALIGN_RAMP","51507","0","0","-1","-1000","-2000000","2760","11432","11432","0","2935","1329","1949"
"24","ALIGN_RAMP","51509","2","10.986328125","2","2000","3000000","2880","11433","11433","0","2935","1329","1859"
"25","ALIGN_RAMP","51504","-3","-16.4794921875","-5","-5000","-7000000","3000","11434","11434","0","2935","1329","1769"
"26","ALIGN_RAMP","51504","-3","-16.4794921875","0","0","5000000","3120","11435","11435","0","2935","1329","1679"
"27","ALIGN_RAMP","51509","2","10.986328125","5","5000","5000000","3240","11436","11436","0","2935","1329","1589"
"28","ALIGN_RAMP","51508","1","5.4931640625","-1","-1000","-6000000","3360","11437","11437","0","2935","1329","1499"
"29","ALIGN_RAMP","51506","-1","-5.4931640625","-2","-2000","-1000000","3480","11438","11438","0","2935","1329","1409"
"30","ALIGN_RAMP","51506","-1","-5.4931640625","0","0","2000000","3600","11439","11439","0","2935","1329","1319"
"31","ALIGN_RAMP","51506","-1","-5.4931640625","0","0","0","3720","11440","11440","0","2935","1329","1229"
"32","ALIGN_RAMP","51506","-1","-5.4931640625","0","0","0","3840","11441","11441","0","2935","1329","1139"
"33","ALIGN_RAMP","51507","0","0","1","1000","1000000","3960","11442","11442","0","2935","1329","1049"
"34","ALIGN_RAMP","51507","0","0","0","0","-1000000","4080","11443","11443","0","2935","1329","959"
"35","ALIGN_RAMP","51511","4","21.97265625","4","4000","4000000","4200","11444","11444","0","2935","1329","869"
"36","ALIGN_RAMP","51505","-2","-10.986328125","-6","-6000","-10000000","4320","11445","11445","0","2935","1329","779"
"37","ALIGN_RAMP","51508","1","5.4931640625","3","3000","9000000","4440","11446","11446","0","2935","1329","689"
"38","ALIGN_RAMP","51508","1","5.4931640625","0","0","-3000000","4560","11447","11447","0","2935","1329","599"
"39","ALIGN_RAMP","51507","0","0","-1","-1000","-1000000","4680","11448","11448","0","2935","1329","509"
"40","ALIGN_RAMP","51510","3","16.4794921875","3","3000","4000000","4800","11449","11449","0","2935","1329","419"
"41","ALIGN_RAMP","51505","-2","-10.986328125","-5","-5000","-8000000","4920","11450","11450","0","2935","1329","329"
"42","ALIGN_RAMP","51508","1","5.4931640625","3","3000","8000000","5040","11451","11451","0","2935","1329","239"
"43","ALIGN_RAMP","51508","1","5.4931640625","0","0","-3000000","5160","11452","11452","0","2935","1329","149"
"44","ALIGN_RAMP","51510","3","16.4794921875","2","2000","2000000","5280","11453","11453","0","2935","1329","59"
"45","ALIGN_RAMP","51507","0","0","-3","-3000","-5000000","5400","11454","11454","0","2935","1329","2124"
"46","ALIGN_RAMP","51507","0","0","0","0","3000000","5520","11455","11455","0","2935","1329","2034"
"47","ALIGN_RAMP","51509","2","10.986328125","2","2000","2000000","5640","11456","11456","0","2935","1329","1944"
"48","ALIGN_RAMP","51506","-1","-5.4931640625","-3","-3000","-5000000","5760","11457","11457","0","2935","1329","1854"
"49","ALIGN_RAMP","51507","0","0","1","1000","4000000","5880","11458","11458","0","2935","1329","1764"
"50","ALIGN_RAMP","51508","1","5.4931640625","1","1000","0","6000","11459","11459","0","2935","1329","1674"
"51","ALIGN_RAMP","51507","0","0","-1","-1000","-2000000","6120","11460","11460","0","2935","1329","1584"
"52","ALIGN_RAMP","51510","3","16.4794921875","3","3000","4000000","6240","11461","11461","0","2935","1329","1494"
"53","ALIGN_RAMP","51509","2","10.986328125","-1","-1000","-4000000","6360","11462","11462","0","2935","1329","1404"
"54","ALIGN_RAMP","51506","-1","-5.4931640625","-3","-3000","-2000000","6480","11463","11463","0","2935","1329","1314"
"55","ALIGN_RAMP","51507","0","0","1","1000","4000000","6600","11464","11464","0","2935","1329","1224"
"56","ALIGN_RAMP","51505","-2","-10.986328125","-2","-2000","-3000000","6720","11465","11465","0","2935","1329","1134"
"57","ALIGN_RAMP","51506","-1","-5.4931640625","1","1000","3000000","6840","11466","11466","0","2935","1329","1044"
"58","ALIGN_RAMP","51507","0","0","1","1000","0","6960","11467","11467","0","2935","1329","954"
"59","ALIGN_RAMP","51507","0","0","0","0","-1000000","7080","11468","11468","0","2935","1329","864"
"60","ALIGN_RAMP","51509","2","10.986328125","2","2000","2000000","7200","11469","11469","0","2935","1329","774"
"61","ALIGN_RAMP","51508","1","5.4931640625","-1","-1000","-3000000","7320","11470","11470","0","2935","1329","684"
"62","ALIGN_RAMP","51506","-1","-5.4931640625","-2","-2000","-1000000","7440","11471","11471","0","2935","1329","594"
"63","ALIGN_RAMP","51507","0","0","1","1000","3000000","7560","11472","11472","0","2935","1329","504"
"64","ALIGN_RAMP","51505","-2","-10.986328125","-2","-2000","-3000000","7680","11473","11473","0","2935","1329","414"
"65","ALIGN_RAMP","51509","2","10.986328125","4","4000","6000000","7800","11474","11474","0","2935","1329","324"
