"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","49674","0","0","0","0","0","0","278028","278028","0","2897","1336","521"
"1","ALIGN_RAMP","49672","-2","-10.986328125","-2","-2000","-2000000","140","278029","278029","0","2902","1336","1931"
"2","ALIGN_RAMP","49671","-3","-16.4794921875","-1","-1000","1000000","280","278030","278030","0","2902","1336","1841"
"3","ALIGN_RAMP","49668","-6","-32.958984375","-3","-3000","-2000000","420","278031","278031","0","2902","1336","1751"
"4","ALIGN_RAMP","49676","2","10.986328125","8","8000","11000000","560","278032","278032","0","2902","1336","1661"
"5","ALIGN_RAMP","49674","0","0","-2","-2000","-10000000","700","278033","278033","0","2902","1336","1571"
"6","ALIGN_RAMP","49673","-1","-5.4931640625","-1","-1000","1000000","840","278034","278034","0","2902","1336","1481"
"7","ALIGN_RAMP","49675","1","5.4931640625","2","2000","3000000","980","278035","278035","0","2902","1336","1391"
"8","ALIGN_RAMP","49670","-4","-21.97265625","-5","-5000","-7000000","1120","278036","278036","0","2902","1336","1301"
"9","ALIGN_RAMP","49671","-3","-16.4794921875","1","1000","6000000","1260","278037","278037","0","2902","1336","1211"
"10","ALIGN_RAMP","49673","-1","-5.4931640625","2","2000","1000000","1400","278038","278038","0","2902","1336","1121"
"11","ALIGN_RAMP","49672","-2","-10.986328125","-1","-1000","-3000000","1540","278039","278039","0","2902","1336","1031"
"12","ALIGN_RAMP","49672","-2","-10.986328125","0","0","1000000","1680","278040","278040","0","2902","1336","941"
"13","ALIGN_RAMP","49672","-2","-10.986328125","0","0","0","1820","278041","278041","0","2902","1336","851"
"14","ALIGN_RAMP","49668","-6","-32.958984375","-4","-4000","-4000000","1960","278042","278042","0","2902","1336","761"
"15","ALIGN_RAMP","49672","-2","-10.986328125","4","4000","8000000","2100","278043","278043","0","2902","1336","671"
"16","ALIGN_RAMP","49674","0","0","2","2000","-2000000","2240","278044","278044","0","2902","1336","581"
"17","ALIGN_RAMP","49672","-2","-10.986328125","-2","-2000","-4000000","2380","278045","278045","0","2902","1336","491"
"18","ALIGN_RAMP","49673","-1","-5.4931640625","1","1000","3000000","2520","278046","278046","0","2902","1336","401"
"19","ALIGN_RAMP","49673","-1","-5.4931640625","0","0","-1000000","2660","278047","278047","0","2902","1336","311"
"20","ALIGN_RAMP","49673","-1","-5.4931640625","0","0","0","2800","278048","278048","0","2902","1336","221"
"21","ALIGN_RAMP","49674","0","0","1","1000","1000000","2940","278049","278049","0","2902","1336","131"
"22","ALIGN_RAMP","49674","0","0","0","0","-1000000","3080","278050","278050","0","2902","1336","41"
"23","ALIGN_RAMP","49672","-2","-10.986328125","-2","-2000","-2000000","3220","278051","278051","0","2902","1336","2106"
"24","ALIGN_RAMP","49673","-1","-5.4931640625","1","1000","3000000","3360","278052","278052","0","2902","1336","2016"
"25","ALIGN_RAMP","49671","-3","-16.4794921875","-2","-2000","-3000000","3500","278053","278053","0","2902","1336","1926"
"26","ALIGN_RAMP","49672","-2","-10.986328125","1","1000","3000000","3640","278054","278054","0","2902","1336","1836"
"27","ALIGN_RAMP","49674","0","0","2","2000","1000000","3780","278055","278055","0","2902","1336","1746"
"28","ALIGN_RAMP","49674","0","0","0","0","-2000000","3920","278056","278056","0","2902","1336","1656"
"29","ALIGN_RAMP","49668","-6","-32.958984375","-6","-6000","-6000000","4060","278057","278057","0","2902","1336","1566"
"30","ALIGN_RAMP","49673","-1","-5.4931640625","5","5000","11000000","4200","278058","278058","0","2902","1336","1476"
"31","ALIGN_RAMP","49672","-2","-10.986328125","-1","-1000","-6000000","4340","278059","278059","0","2902","1336","1386"
"32","ALIGN_RAMP","49675","1","5.4931640625","3","3000","4000000","4480","278060","278060","0","2902","1336","1296"
"33","ALIGN_RAMP","49671","-3","-16.4794921875","-4","-4000","-7000000","4620","278061","278061","0","2902","1336","1206"
"34","ALIGN_RAMP","49671","-3","-16.4794921875","0","0","4000000","4760","278062","278062","0","2902","1336","1116"
