"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","31581","2","10.986328125","2","2000","2000000","0","15810","15810","0","2897","1336","736"
"1","ALIGN_RAMP","31581","2","10.986328125","0","0","-2000000","160","15811","15811","0","2902","1336","2146"
"2","ALIGN_RAMP","31577","-2","-10.986328125","-4","-4000","-4000000","320","15812","15812","0","2902","1336","2056"
"3","ALIGN_RAMP","31577","-2","-10.986328125","0","0","4000000","480","15813","15813","0","2902","1336","1966"
"4","ALIGN_RAMP","31577","-2","-10.986328125","0","0","0","640","15814","15814","0","2902","1336","1876"
"5","ALIGN_RAMP","31576","-3","-16.4794921875","-1","-1000","-1000000","800","15815","15815","0","2902","1336","1786"
"6","ALIGN_RAMP","31578","-1","-5.4931640625","2","2000","3000000","960","15816","15816","0","2902","1336","1696"
"7","ALIGN_RAMP","31582","3","16.4794921875","4","4000","2000000","1120","15817","15817","0","2902","1336","1606"
"8","ALIGN_RAMP","31574","-5","-27.4658203125","-8","-8000","-12000000","1280","15818","15818","0","2902","1336","1516"
"9","ALIGN_RAMP","31580","1","5.4931640625","6","6000","14000000","1440","15819","15819","0","2902","1336","1426"
"10","ALIGN_RAMP","31576","-3","-16.4794921875","-4","-4000","-10000000","1600","15820","15820","0","2902","1336","1336"
"11","ALIGN_RAMP","31579","0","0","3","3000","7000000","1760","15821","15821","0","2902","1336","1246"
"12","ALIGN_RAMP","31577","-2","-10.986328125","-2","-2000","-5000000","1920","15822","15822","0","2902","1336","1156"
"13","ALIGN_RAMP","31580","1","5.4931640625","3","3000","5000000","2080","15823","15823","0","2902","1336","1066"
"14","ALIGN_RAMP","31578","-1","-5.4931640625","-2","-2000","-5000000","2240","15824","15824","0","2902","1336","976"
"15","ALIGN_RAMP","31577","-2","-10.986328125","-1","-1000","1000000","2400","15825","15825","0","2902","1336","886"
"16","ALIGN_RAMP","31580","1","5.4931640625","3","3000","4000000","2560","15826","15826","0","2902","1336","796"
