"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","24289","2","10.986328125","2","2000","2000000","0","279806","279806","0","2897","1336","35"
"1","ALIGN_RAMP","24288","1","5.4931640625","-1","-1000","-3000000","180","279807","279807","0","2902","1336","1381"
"2","ALIGN_RAMP","24289","2","10.986328125","1","1000","2000000","360","279808","279808","0","2902","1336","1291"
"3","ALIGN_RAMP","24289","2","10.986328125","0","0","-1000000","540","279809","279809","0","2902","1336","1201"
"4","ALIGN_RAMP","24288","1","5.4931640625","-1","-1000","-1000000","720","279810","279810","0","2902","1336","1111"
"5","ALIGN_RAMP","24287","0","0","-1","-1000","0","900","279811","279811","0","2902","1336","1021"
"6","ALIGN_RAMP","24289","2","10.986328125","2","2000","3000000","1080","279812","279812","0","2902","1336","931"
"7","ALIGN_RAMP","24286","-1","-5.4931640625","-3","-3000","-5000000","1260","279813","279813","0","2902","1336","841"
"8","ALIGN_RAMP","24286","-1","-5.4931640625","0","0","3000000","1440","279814","279814","0","2902","1336","751"
"9","ALIGN_RAMP","24288","1","5.4931640625","2","2000","2000000","1620","279815","279815","0","2902","1336","661"
"10","ALIGN_RAMP","24290","3","16.4794921875","2","2000","0","1800","279816","279816","0","2902","1336","571"
"11","ALIGN_RAMP","24286","-1","-5.4931640625","-4","-4000","-6000000","1980","279817","279817","0","2902","1336","481"
"12","ALIGN_RAMP","24292","5","27.4658203125","6","6000","10000000","2160","279818","279818","0","2902","1336","391"
"13","ALIGN_RAMP","24292","5","27.4658203125","0","0","-6000000","2340","279819","279819","0","2902","1336","301"
"14","ALIGN_RAMP","24289","2","10.986328125","-3","-3000","-3000000","2520","279820","279820","0","2902","1336","211"
"15","ALIGN_RAMP","24290","3","16.4794921875","1","1000","4000000","2700","279821","279821","0","2902","1336","121"
"16","ALIGN_RAMP","24291","4","21.97265625","1","1000","0","2880","279822","279822","0","2902","1336","31"
"17","ALIGN_RAMP","24290","3","16.4794921875","-1","-1000","-2000000","3060","279823","279823","0","2902","1336","2096"
"18","ALIGN_RAMP","24285","-2","-10.986328125","-5","-5000","-4000000","3240","279824","279824","0","2902","1336","2006"
"19","ALIGN_RAMP","24289","2","10.986328125","4","4000","9000000","3420","279825","279825","0","2902","1336","1916"
"20","ALIGN_RAMP","24289","2","10.986328125","0","0","-4000000","3600","279826","279826","0","2902","1336","1826"
"21","ALIGN_RAMP","24290","3","16.4794921875","1","1000","1000000","3780","279827","279827","0","2902","1336","1736"
"22","ALIGN_RAMP","24289","2","10.986328125","-1","-1000","-2000000","3960","279828","279828","0","2902","1336","1646"
"23","ALIGN_RAMP","24288","1","5.4931640625","-1","-1000","0","4140","279829","279829","0","2902","1336","1556"
"24","ALIGN_RAMP","24290","3","16.4794921875","2","2000","3000000","4320","279830","279830","0","2902","1336","1466"
"25","ALIGN_RAMP","24287","0","0","-3","-3000","-5000000","4500","279831","279831","0","2902","1336","1376"
"26","ALIGN_RAMP","24289","2","10.986328125","2","2000","5000000","4680","279832","279832","0","2902","1336","1286"
"27","ALIGN_RAMP","24292","5","27.4658203125","3","3000","1000000","4860","279833","279833","0","2902","1336","1196"
"28","ALIGN_RAMP","24288","1","5.4931640625","-4","-4000","-7000000","5040","279834","279834","0","2902","1336","1106"
"29","ALIGN_RAMP","24289","2","10.986328125","1","1000","5000000","5220","279835","279835","0","2902","1336","1016"
"30","ALIGN_RAMP","24290","3","16.4794921875","1","1000","0","5400","279836","279836","0","2902","1336","926"
"31","ALIGN_RAMP","24286","-1","-5.4931640625","-4","-4000","-5000000","5580","279837","279837","0","2902","1336","836"
"32","ALIGN_RAMP","24291","4","21.97265625","5","5000","9000000","5760","279838","279838","0","2902","1336","746"
