"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","35094","-2","-10.986328125","-2","-2000","-2000000","0","237373","237373","0","2897","1336","409"
"1","ALIGN_RAMP","35097","1","5.4931640625","3","3000","5000000","180","237374","237374","0","2902","1336","1691"
"2","ALIGN_RAMP","35097","1","5.4931640625","0","0","-3000000","360","237375","237375","0","2902","1336","1601"
"3","ALIGN_RAMP","35096","0","0","-1","-1000","-1000000","540","237376","237376","0","2902","1336","1511"
"4","ALIGN_RAMP","35096","0","0","0","0","1000000","720","237377","237377","0","2902","1336","1421"
"5","ALIGN_RAMP","35093","-3","-16.4794921875","-3","-3000","-3000000","900","237378","237378","0","2902","1336","1331"
"6","ALIGN_RAMP","35096","0","0","3","3000","6000000","1080","237379","237379","0","2902","1336","1241"
"7","ALIGN_RAMP","35094","-2","-10.986328125","-2","-2000","-5000000","1260","237380","237380","0","2902","1336","1151"
"8","ALIGN_RAMP","35094","-2","-10.986328125","0","0","2000000","1440","237381","237381","0","2902","1336","1061"
"9","ALIGN_RAMP","35096","0","0","2","2000","2000000","1620","237382","237382","0","2902","1336","971"
"10","ALIGN_RAMP","35098","2","10.986328125","2","2000","0","1800","237383","237383","0","2902","1336","881"
"11","ALIGN_RAMP","35092","-4","-21.97265625","-6","-6000","-8000000","1980","237384","237384","0","2902","1336","791"
"12","ALIGN_RAMP","35092","-4","-21.97265625","0","0","6000000","2160","237385","237385","0","2902","1336","701"
"13","ALIGN_RAMP","35096","0","0","4","4000","4000000","2340","237386","237386","0","2902","1336","611"
"14","ALIGN_RAMP","35095","-1","-5.4931640625","-1","-1000","-5000000","2520","237387","237387","0","2902","1336","521"
"15","ALIGN_RAMP","35096","0","0","1","1000","2000000","2700","237388","237388","0","2902","1336","431"
"16","ALIGN_RAMP","35096","0","0","0","0","-1000000","2880","237389","237389","0","2902","1336","341"
"17","ALIGN_RAMP","35095","-1","-5.4931640625","-1","-1000","-1000000","3060","237390","237390","0","2902","1336","251"
"18","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","1000000","3240","237391","237391","0","2902","1336","161"
"19","ALIGN_RAMP","35097","1","5.4931640625","2","2000","2000000","3420","237392","237392","0","2902","1336","71"
"20","ALIGN_RAMP","35097","1","5.4931640625","0","0","-2000000","3600","237393","237393","0","2902","1336","2136"
"21","ALIGN_RAMP","35097","1","5.4931640625","0","0","0","3780","237394","237394","0","2902","1336","2046"
"22","ALIGN_RAMP","35096","0","0","-1","-1000","-1000000","3960","237395","237395","0","2902","1336","1956"
"23","ALIGN_RAMP","35092","-4","-21.97265625","-4","-4000","-3000000","4140","237396","237396","0","2902","1336","1866"
"24","ALIGN_RAMP","35096","0","0","4","4000","8000000","4320","237397","237397","0","2902","1336","1776"
"25","ALIGN_RAMP","35096","0","0","0","0","-4000000","4500","237398","237398","0","2902","1336","1686"
"26","ALIGN_RAMP","35095","-1","-5.4931640625","-1","-1000","-1000000","4680","237399","237399","0","2902","1336","1596"
"27","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","1000000","4860","237400","237400","0","2902","1336","1506"
"28","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","0","5040","237401","237401","0","2902","1336","1416"
"29","ALIGN_RAMP","35097","1","5.4931640625","2","2000","2000000","5220","237402","237402","0","2902","1336","1326"
"30","ALIGN_RAMP","35092","-4","-21.97265625","-5","-5000","-7000000","5400","237403","237403","0","2902","1336","1236"
"31","ALIGN_RAMP","35094","-2","-10.986328125","2","2000","7000000","5580","237404","237404","0","2902","1336","1146"
"32","ALIGN_RAMP","35094","-2","-10.986328125","0","0","-2000000","5760","237405","237405","0","2902","1336","1056"
"33","ALIGN_RAMP","35094","-2","-10.986328125","0","0","0","5940","237406","237406","0","2902","1336","966"
"34","ALIGN_RAMP","35095","-1","-5.4931640625","1","1000","1000000","6120","237407","237407","0","2902","1336","876"
"35","ALIGN_RAMP","35094","-2","-10.986328125","-1","-1000","-2000000","6300","237408","237408","0","2902","1336","786"
"36","ALIGN_RAMP","35097","1","5.4931640625","3","3000","4000000","6480","237409","237409","0","2902","1336","696"
"37","ALIGN_RAMP","35096","0","0","-1","-1000","-4000000","6660","237410","237410","0","2902","1336","606"
"38","ALIGN_RAMP","35093","-3","-16.4794921875","-3","-3000","-2000000","6840","237411","237411","0","2902","1336","516"
"39","ALIGN_RAMP","35096","0","0","3","3000","6000000","7020","237412","237412","0","2902","1336","426"
"40","ALIGN_RAMP","35097","1","5.4931640625","1","1000","-2000000","7200","237413","237413","0","2902","1336","336"
"41","ALIGN_RAMP","35093","-3","-16.4794921875","-4","-4000","-5000000","7380","237414","237414","0","2902","1336","246"
"42","ALIGN_RAMP","35095","-1","-5.4931640625","2","2000","6000000","7560","237415","237415","0","2902","1336","156"
"43","ALIGN_RAMP","35097","1","5.4931640625","2","2000","0","7740","237416","237416","0","2902","1336","66"
"44","ALIGN_RAMP","35097","1","5.4931640625","0","0","-2000000","7920","237417","237417","0","2902","1336","2131"
"45","ALIGN_RAMP","35096","0","0","-1","-1000","-1000000","8100","237418","237418","0","2902","1336","2041"
"46","ALIGN_RAMP","35096","0","0","0","0","1000000","8280","237419","237419","0","2902","1336","1951"
"47","ALIGN_RAMP","35097","1","5.4931640625","1","1000","1000000","8460","237420","237420","0","2902","1336","1861"
"48","ALIGN_RAMP","35096","0","0","-1","-1000","-2000000","8640","237421","237421","0","2902","1336","1771"
"49","ALIGN_RAMP","35092","-4","-21.97265625","-4","-4000","-3000000","8820","237422","237422","0","2902","1336","1681"
"50","ALIGN_RAMP","35095","-1","-5.4931640625","3","3000","7000000","9000","237423","237423","0","2902","1336","1591"
"51","ALIGN_RAMP","35098","2","10.986328125","3","3000","0","9180","237424","237424","0","2902","1336","1501"
"52","ALIGN_RAMP","35096","0","0","-2","-2000","-5000000","9360","237425","237425","0","2902","1336","1411"
"53","ALIGN_RAMP","35096","0","0","0","0","2000000","9540","237426","237426","0","2902","1336","1321"
"54","ALIGN_RAMP","35095","-1","-5.4931640625","-1","-1000","-1000000","9720","237427","237427","0","2902","1336","1231"
"55","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","1000000","9900","237428","237428","0","2902","1336","1141"
"56","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","0","10080","237429","237429","0","2902","1336","1051"
"57","ALIGN_RAMP","35098","2","10.986328125","3","3000","3000000","10260","237430","237430","0","2902","1336","961"
"58","ALIGN_RAMP","35095","-1","-5.4931640625","-3","-3000","-6000000","10440","237431","237431","0","2902","1336","871"
"59","ALIGN_RAMP","35094","-2","-10.986328125","-1","-1000","2000000","10620","237432","237432","0","2902","1336","781"
"60","ALIGN_RAMP","35094","-2","-10.986328125","0","0","1000000","10800","237433","237433","0","2902","1336","691"
"61","ALIGN_RAMP","35095","-1","-5.4931640625","1","1000","1000000","10980","237434","237434","0","2902","1336","601"
"62","ALIGN_RAMP","35097","1","5.4931640625","2","2000","1000000","11160","237435","237435","0","2902","1336","511"
"63","ALIGN_RAMP","35094","-2","-10.986328125","-3","-3000","-5000000","11340","237436","237436","0","2902","1336","421"
"64","ALIGN_RAMP","35095","-1","-5.4931640625","1","1000","4000000","11520","237437","237437","0","2902","1336","331"
"65","ALIGN_RAMP","35093","-3","-16.4794921875","-2","-2000","-3000000","11700","237438","237438","0","2902","1336","241"
"66","ALIGN_RAMP","35093","-3","-16.4794921875","0","0","2000000","11880","237439","237439","0","2902","1336","151"
"67","ALIGN_RAMP","35094","-2","-10.986328125","1","1000","1000000","12060","237440","237440","0","2902","1336","61"
"68","ALIGN_RAMP","35097","1","5.4931640625","3","3000","2000000","12240","237441","237441","0","2902","1336","2126"
"69","ALIGN_RAMP","35093","-3","-16.4794921875","-4","-4000","-7000000","12420","237442","237442","0","2902","1336","2036"
"70","ALIGN_RAMP","35098","2","10.986328125","5","5000","9000000","12600","237443","237443","0","2902","1336","1946"
"71","ALIGN_RAMP","35094","-2","-10.986328125","-4","-4000","-9000000","12780","237444","237444","0","2902","1336","1856"
"72","ALIGN_RAMP","35097","1","5.4931640625","3","3000","7000000","12960","237445","237445","0","2902","1336","1766"
"73","ALIGN_RAMP","35095","-1","-5.4931640625","-2","-2000","-5000000","13140","237446","237446","0","2902","1336","1676"
"74","ALIGN_RAMP","35091","-5","-27.4658203125","-4","-4000","-2000000","13320","237447","237447","0","2902","1336","1586"
"75","ALIGN_RAMP","35096","0","0","5","5000","9000000","13500","237448","237448","0","2902","1336","1496"
"76","ALIGN_RAMP","35093","-3","-16.4794921875","-3","-3000","-8000000","13680","237449","237449","0","2902","1336","1406"
"77","ALIGN_RAMP","35096","0","0","3","3000","6000000","13860","237450","237450","0","2902","1336","1316"
"78","ALIGN_RAMP","35096","0","0","0","0","-3000000","14040","237451","237451","0","2902","1336","1226"
"79","ALIGN_RAMP","35101","5","27.4658203125","5","5000","5000000","14220","237452","237452","0","2902","1336","1136"
"80","ALIGN_RAMP","35099","3","16.4794921875","-2","-2000","-7000000","14400","237453","237453","0","2902","1336","1046"
"81","ALIGN_RAMP","35093","-3","-16.4794921875","-6","-6000","-4000000","14580","237454","237454","0","2902","1336","956"
"82","ALIGN_RAMP","35098","2","10.986328125","5","5000","11000000","14760","237455","237455","0","2902","1336","866"
"83","ALIGN_RAMP","35095","-1","-5.4931640625","-3","-3000","-8000000","14940","237456","237456","0","2902","1336","776"
"84","ALIGN_RAMP","35093","-3","-16.4794921875","-2","-2000","1000000","15120","237457","237457","0","2902","1336","686"
"85","ALIGN_RAMP","35097","1","5.4931640625","4","4000","6000000","15300","237458","237458","0","2902","1336","596"
"86","ALIGN_RAMP","35095","-1","-5.4931640625","-2","-2000","-6000000","15480","237459","237459","0","2902","1336","506"
"87","ALIGN_RAMP","35093","-3","-16.4794921875","-2","-2000","0","15660","237460","237460","0","2902","1336","416"
"88","ALIGN_RAMP","35096","0","0","3","3000","5000000","15840","237461","237461","0","2902","1336","326"
"89","ALIGN_RAMP","35094","-2","-10.986328125","-2","-2000","-5000000","16020","237462","237462","0","2902","1336","236"
"90","ALIGN_RAMP","35096","0","0","2","2000","4000000","16200","237463","237463","0","2902","1336","146"
"91","ALIGN_RAMP","35097","1","5.4931640625","1","1000","-1000000","16380","237464","237464","0","2902","1336","56"
"92","ALIGN_RAMP","35095","-1","-5.4931640625","-2","-2000","-3000000","16560","237465","237465","0","2902","1336","2121"
"93","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","2000000","16740","237466","237466","0","2902","1336","2031"
"94","ALIGN_RAMP","35095","-1","-5.4931640625","0","0","0","16920","237467","237467","0","2902","1336","1941"
"95","ALIGN_RAMP","35096","0","0","1","1000","1000000","17100","237468","237468","0","2902","1336","1851"
"96","ALIGN_RAMP","35091","-5","-27.4658203125","-5","-5000","-6000000","17280","237469","237469","0","2902","1336","1761"
"97","ALIGN_RAMP","35099","3","16.4794921875","8","8000","13000000","17460","237470","237470","0","2902","1336","1671"
"98","ALIGN_RAMP","35095","-1","-5.4931640625","-4","-4000","-12000000","17640","237471","237471","0","2902","1336","1581"
"99","ALIGN_RAMP","35093","-3","-16.4794921875","-2","-2000","2000000","17820","237472","237472","0","2902","1336","1491"
