"Run","Source","Result","ContractPass","Reasons","StartQuadrant","BaselineRaw","SeedPhaseRaw","SweepSpanRaw","SweepTicks","CaptureRequired","CaptureDetected","RampCreepRaw","RampMaxStepRawEvidence","SweepMaxStepRawEvidence","MaxStepMilliDeg","FinalOffsetRaw","HoldTail20P2PRaw","DeadlineMisses","AcquisitionClean"
"1","A4 test 1#1","OK","True","","1","50453","19","10904","2396","1","1","27","8","85","516","6624","8","0","True"
"2","A4 test 1#2","OK","True","","4","26783","9118","1805","397","1","1","17","8","87","549","6754","7","0","True"
"3","A4 test 2 lần 1#1","OK","True","","1","18769","1104","9819","2157","1","1","1411","47","89","489","7970","8","0","True"
"4","A4 test 2 lần 1#2","SAMPLE_STEP_LIMIT","False","Result=SAMPLE_STEP_LIMIT;Duration=144/2450;Evidence=49/818;CaptureRequiredButMissing;Health","2","32000","3412","7511","1650","1","0","0","140","0","851","595","NaN","0","False"
"5","A4 test 2 lần 2#1","OK","True","","3","35291","6703","4220","927","1","1","1563","59","82","478","7965","6","0","True"
"6","A4 test 2 lần 2#2","OK","True","","2","42535","3024","7899","1736","1","1","829","16","97","533","7958","7","0","True"
"7","A4 test 2 lần 3#1","OK","True","","2","55315","4881","6042","1328","1","1","1488","65","94","516","7908","6","0","True"
"8","A4 test 2 lần 3#2","OK","True","","2","64234","2877","8046","1768","1","1","680","63","126","736","7928","6","0","True"
"9","A4 test 2 lần 4#1","OK","True","","2","9978","3236","7687","1689","1","1","1587","118","94","692","8025","8","0","True"
"10","A4 test 2 lần 4#2","OK","True","","3","24433","6768","4155","913","1","1","1646","98","77","544","7989","10","0","True"
"11","A4 test 2 lần 5#1","OK","True","","2","33764","5176","5747","1263","1","1","1397","118","98","681","7958","8","0","True"
"12","A4 test 2 lần 5#2","OK","True","","4","48027","8516","2407","529","1","1","1526","58","80","483","7953","8","0","True"
"13","A4 test 2#1","OK","True","","4","6129","10310","613","240","0","1","635","20","73","401","7968","7","0","True"
"14","A4 test 2#2","OK","True","","1","40932","1421","9502","2088","1","1","1532","101","82","555","7961","7","0","True"
"15","A4 test 3#1","OK","True","","1","62577","1220","9703","2132","1","1","1500","51","82","478","7951","7","0","True"
"16","A4 test 3#2","OK","True","","4","17362","10620","303","240","0","0","1563","127","6","780","8066","7","0","True"
"17","A4 test 4#1","OK","True","","3","24520","6855","4068","894","1","1","1623","103","85","604","8008","5","0","True"
"18","A4 test 4#2","OK","True","","4","39074","10486","437","240","0","0","1571","105","6","577","7991","8","0","True"
"19","A4 test 5#1","OK","True","","2","42584","3073","7850","1725","1","1","1585","52","82","522","7969","7","0","True"
"20","A4 test 5#2","OK","True","","2","55450","5016","5907","1298","1","1","1496","77","89","516","7940","7","0","True"
