"Run","Source","Result","ContractPass","Reasons","StartQuadrant","BaselineRaw","SeedPhaseRaw","SweepSpanRaw","SweepTicks","CaptureRequired","CaptureDetected","RampCreepRaw","RampMaxStepRawEvidence","SweepMaxStepRawEvidence","MaxStepMilliDeg","FinalOffsetRaw","HoldTail20P2PRaw","DeadlineMisses","AcquisitionClean"
"1","A4B test 1#1","OK","True","","4","62503","10840","83","240","0","0","10","8","7","55","7912","7","0","True"
"2","A4B test 1#2","OK","True","","3","4335","7287","3636","799","1","1","8","7","86","472","7928","8","0","True"
"3","A4B test 2 lần 1#1","OK","True","","3","46252","5512","5411","1189","1","1","15","7","75","450","7950","8","0","True"
"4","A4B test 2 lần 1#2","OK","True","","3","57157","5494","5429","1193","1","1","-7","7","88","494","7912","7","0","True"
"5","A4B test 2 lần 2#1","OK","True","","3","4359","7311","3612","794","1","1","3","8","75","423","7942","7","0","True"
"6","A4B test 2 lần 2#2","OK","True","","3","13556","5585","5338","1173","1","1","4","10","98","538","8028","6","0","True"
"7","A4B test 2 lần 3#1","OK","True","","4","40714","10897","26","240","0","0","22","6","7","44","7970","7","0","True"
"8","A4B test 2 lần 3#2","OK","True","","2","44302","3562","7361","1617","1","1","46","7","87","478","7944","10","0","True"
"9","A4B test 2 lần 4#1","OK","True","","2","55369","3706","7217","1586","1","1","2","9","100","577","7903","6","0","True"
"10","A4B test 2 lần 4#2","OK","True","","2","786","3738","7185","1579","1","1","-2","8","81","478","7941","8","0","True"
"11","A4B test 2 lần 5#1","OK","True","","1","9961","1990","8933","1963","1","1","2","6","96","549","8006","7","0","True"
"12","A4B test 2 lần 5#2","OK","True","","2","22571","3677","7246","1592","1","1","12","7","83","489","7975","4","0","True"
"13","A4B test 2#1","OK","True","","3","13489","5518","5405","1188","1","1","14","8","86","505","8025","6","0","True"
"14","A4B test 2#2","OK","True","","2","22636","3742","7181","1578","1","1","3","8","84","511","7989","6","0","True"
"15","A4B test 3#1","OK","True","","1","42569","1829","9094","1998","1","1","3","7","92","505","7955","8","0","True"
"16","A4B test 3#2","OK","True","","2","57086","5423","5500","1208","1","1","-1","5","80","467","7908","9","0","True"
"17","A4B test 4#1","OK","True","","2","515","3467","7456","1638","1","1","60","9","84","505","7929","5","0","True"
"18","A4B test 4#2","OK","True","","2","11680","3709","7214","1585","1","1","10","8","92","505","8023","8","0","True"
"19","A4B test 5#1","OK","True","","2","22499","3605","7318","1608","1","1","31","9","84","461","7979","8","0","True"
"20","A4B test 5#2","OK","True","","2","33503","3686","7237","1590","1","1","4","7","86","494","7960","5","0","True"
