"Run","Source","File","RunInFile","ThermalRoleProxy","Valid","Reasons","Accepted","FirstRaw","LastRaw","MinRelRaw","MaxRelRaw","P2PRaw","DriftRaw","MeanRelRaw","MeanRelRawQ16","PopulationSdRaw","RmsRelRaw","MedianRelRaw","MadRaw","RobustSigmaRaw","SlopeRawPerSecond","DetrendedSdRaw","MaxAbsStepRaw","DeltaHistogram","RawCRC32","IntervalMinCycles","IntervalMaxCycles","MaxAbsScheduleErrorCycles","SpiLatencyMinCycles","SpiLatencyMaxCycles","SpiLatencyMeanCycles","PwmPhaseBinMask","PwmCoveredBins","PwmMinimumBinCount","PwmBinMeanRangeRaw","PwmFirstHarmonicP2PRaw","Autocorr1ms","Allan1msRaw","Autocorr2ms","Allan2msRaw","Autocorr4ms","Allan4msRaw","Autocorr8ms","Allan8msRaw","Autocorr16ms","Allan16msRaw","Autocorr32ms","Allan32msRaw","Autocorr64ms","Allan64msRaw","Autocorr128ms","Allan128msRaw"
"1","A5 test 1#1","C:\learn\rd\jig\A5 test 1.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","51650","51654","-5","10","15","4","2.25341796875","147680","2.01307688672455","3.02165039237666","2","1","1.4826","1.25124312035575","1.87223357349413","9","-8:4;-7:8;-6:31;-5:43;-4:96;-3:157;-2:236;-1:309;0:301;1:276;2:245;3:160;4:90;5:44;6:31;7:12;8:3;9:1","0x9C813D51","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","60","1.22301136363636","0.0485111492454186","0.140781399103178","1.86592617969216","0.136193411596331","1.32935173641885","0.123438226745704","0.950909528765029","0.132472876976112","0.643957450253768","0.159458402911675","0.43181239958838","0.118222073057428","0.325083926990449","0.151830371254845","0.207374560196638","0.125088194014271","0.207273160599727"
"2","A5 test 1#2","C:\learn\rd\jig\A5 test 1.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","51659","51660","-5","8","13","1","1.044921875","68480","1.87680475480176","2.14808235701055","1","1","1.4826","0.315260217251829","1.86752700675862","10","-8:2;-7:9;-6:33;-5:52;-4:101;-3:137;-2:216;-1:299;0:338;1:290;2:233;3:158;4:95;5:48;6:23;7:10;8:2;10:1","0x49FA1F05","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","59","0.822836538461538","0.162394906189547","0.0310263887361243","1.84783901831735","0.0106549163648978","1.31782958557847","-0.00443674910315419","0.933841669972051","-0.00968681890483281","0.666063708106268","0.0581966884391499","0.455891326917231","0.0153970319480168","0.35412240580102","-0.0377493231352376","0.305488927255883","-0.0230343170434547","0.237196636730227"
"3","A5 test 10#1","C:\learn\rd\jig\A5 test 10.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","51659","51659","-6","7","13","0","0.240234375","15744","1.91618883009174","1.93118931943505","0","1","1.4826","0.714184420957427","1.86909095492007","10","-10:1;-8:2;-7:10;-6:26;-5:48;-4:94;-3:160;-2:222;-1:293;0:320;1:305;2:235;3:156;4:87;5:55;6:18;7:10;8:4;9:1","0x66AF8DFD","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","59","0.73125","0.146205137874353","0.0777609258811043","1.84062074022074","0.0545133170076283","1.32716584990499","0.0703228466205125","0.93588890637508","0.0620420580485385","0.676812072808008","0.0998062976281382","0.467551869045449","0.0148580149033542","0.38715667430602","0.0410826294628247","0.227808800046396","0.0284061748403954","0.192464331414352"
"4","A5 test 10#2","C:\learn\rd\jig\A5 test 10.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","51664","51668","-4","8","12","4","2.3271484375","152512","1.94690391065951","3.03414809913755","2","1","1.4826","0.456560977622504","1.92810192256365","10","-10:3;-9:1;-8:4;-7:10;-6:28;-5:42;-4:92;-3:159;-2:250;-1:271;0:316;1:287;2:235;3:164;4:91;5:58;6:21;7:11;8:3;9:1","0xD2278EA5","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","60","0.831728454501685","0.0753761009710878","0.0632120953888768","1.88429344788778","0.0285013772027129","1.37729581618517","0.032509345199524","0.993771945699211","0.0497112059712159","0.694713254799771","0.0302660602566222","0.49445362042021","0.010017208041194","0.340092822263331","0.0142245891305174","0.256436870036329","-0.0114245536423035","0.23323656136649"
"5","A5 test 2#1","C:\learn\rd\jig\A5 test 2.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","7930","7934","-4","9","13","4","1.7216796875","112832","1.73336927792375","2.44310253571151","2","1","1.4826","0.814986609515335","1.66505653757323","9","-9:1;-8:2;-7:8;-6:11;-5:30;-4:76;-3:151;-2:259;-1:299;0:368;1:309;2:250;3:153;4:78;5:27;6:16;7:8;8:1","0xF020A4B9","167928","168072","74","1338","1338","1338","0xFFFFFFFF","32","60","0.888095238095238","0.274435838536097","0.0813019503629303","1.66121890964278","0.105341271933589","1.1497315515314","0.0950057299834964","0.813685158695688","0.101826148277078","0.590813683955476","0.0741802952743659","0.44721705989528","0.0977073489717091","0.325579932712403","0.129006115738391","0.245739594848983","0.0601843497849085","0.190494240262286"
"6","A5 test 2#2","C:\learn\rd\jig\A5 test 2.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","7940","7940","-5","6","11","0","0.31591796875","20704","1.63168712327789","1.66198887819684","0","1","1.4826","0.228977583924552","1.62606180782984","9","-8:3;-7:6;-6:12;-5:33;-4:64;-3:142;-2:241;-1:325;0:381;1:341;2:234;3:150;4:70;5:30;6:7;7:4;8:3;9:1","0x87AC330E","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","60","0.913290689410092","0.199555850941227","0.0323701051394192","1.60543775523395","0.0460487654435672","1.13679298401624","0.00347323881466002","0.819712503824967","0.0370778647154898","0.560993295520795","0.0263426650131679","0.397812074451088","0.0259822809242865","0.321761377624758","0.0276648597013305","0.217871821986359","-0.000175613443161221","0.181032870872004"
"7","A5 test 3#1","C:\learn\rd\jig\A5 test 3.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","29844","29843","-8","5","13","-1","-1.05517578125","-69152","1.85914719412247","2.13771471874757","-1","1","1.4826","0.32836043654035","1.84898411987023","10","-10:1;-9:1;-8:1;-7:5;-6:18;-5:53;-4:93;-3:169;-2:246;-1:283;0:308;1:311;2:220;3:152;4:100;5:51;6:20;7:14;8:1","0xC1399647","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","60","1.12217194570136","0.196285777347585","0.0362643641387509","1.82549656634227","0.0241071278855394","1.29546887604525","0.0485455585899257","0.908999455334885","0.00589661911051988","0.678923780700013","0.0198562507341879","0.468104517565676","0.0579750606422805","0.345777738113753","-0.025497627197899","0.309908096422632","0.00817351145326192","0.241456949914349"
"8","A5 test 3#2","C:\learn\rd\jig\A5 test 3.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","40744","40744","-6","6","12","0","0.62939453125","41248","2.06057088395003","2.15455096104734","1","1","1.4826","1.0556457752784","1.96378349684604","10","-10:1;-9:4;-8:6;-7:11;-6:26;-5:51;-4:100;-3:159;-2:221;-1:294;0:301;1:296;2:204;3:170;4:105;5:57;6:21;7:12;8:6;9:2","0xBDAAAC63","167928","168072","56","1338","1338","1338","0xFFFFFFFF","32","59","0.923891129032258","0.124097173924074","0.114230380317232","1.93973693692342","0.0865423904340877","1.40851844339326","0.15441582394993","0.968285368891834","0.0856128655159678","0.690151340182807","0.113584894176704","0.488823516750178","0.0759493393791221","0.366889893932119","0.108505617513013","0.249050611429922","0.0926146370491243","0.228086795001499"
"9","A5 test 4#1","C:\learn\rd\jig\A5 test 4.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","62526","62532","-2","11","13","6","5.0302734375","329664","1.95182744984846","5.39567245577416","5","1","1.4826","1.10810602426076","1.83859965807204","10","-10:1;-8:3;-7:11;-6:27;-5:48;-4:76;-3:152;-2:234;-1:308;0:308;1:344;2:216;3:148;4:81;5:49;6:26;7:12;8:1;9:2","0x04CB1BAC","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","60","1.08196721311475","0.125427011090458","0.12406892724304","1.8254296628013","0.158810705700706","1.26128160846162","0.109736788651245","0.919666449983835","0.148808841867648","0.652267343131547","0.11147156014664","0.462806791345501","0.116922673635006","0.378144288025247","0.0962368187419941","0.307101336906273","0.097181065124752","0.267646174095707"
"10","A5 test 4#2","C:\learn\rd\jig\A5 test 4.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","62539","62539","-7","9","16","0","0.46142578125","30240","1.94867651359784","2.00256183581182","0","1","1.4826","0.853164092088125","1.88226581043311","12","-9:3;-8:4;-7:12;-6:23;-5:44;-4:94;-3:145;-2:220;-1:306;0:321;1:333;2:230;3:137;4:95;5:42;6:21;7:9;8:3;9:1;10:3;12:1","0x5428FC6A","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","59","0.836065573770492","0.105115103890365","0.101162982432549","1.84790511052612","0.0692465075166975","1.33863047191609","0.0887960155798188","0.935406162518722","0.0699228170059123","0.682029784831963","0.0807422725230909","0.481725771525059","0.07258856277083","0.356112152392844","0.0791896910906933","0.246123297748756","0.0609780751467976","0.207123245057423"
