"Batch","Product","RunOrder","TestID","SweepID","NL_RobustP2P","MeanDC","RMS_AC","A1","A2","A3","A6","A9","A12","A18","A27","A36","A45","A72","A108","Residual_RMS_H6","Residual_RMS_H36","Residual_RMS_Full","Residual_RMS_Extended","Fitted_P2P","Fitted_P2P_Extended","FitExplainedRatio","FitExplainedRatio_Extended","Motor_Error_P2P_Deg","Motor_System_INL_Deg","CrestFactor","P99_AbsDeviation","TrackingError_RMS_Deg","TrackingError_MaxAbs_Deg","ClosureErrorDeg","AbsClosureErrorDeg","ShadowP2P","BackoffFeedforwardTargetErrorRaw","ForwardFeedforwardTargetErrorRaw","BackoffTargetErrorRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","ApproachObservedDeltaRaw","AbsApproachReturnErrorRaw","AnalysisStartRaw","MaxAbsSettlePositionErrorDeg","MotorActiveDurationMs","TimeSincePreviousRunMs"
"P02_R1","P02","1","3","2","3.25004","-0.3089","0.7729","0.2082","0.2547","0.0086","0.0163","0.405","0.0399","0.0994","0.1079","0.9036","0.1143","0.1842","0.1038","0.7728","0.4348","0.733","0.1111","0.9672","3.6903","0.1004","0.9793","3.4704","1.7352","2.4427","1.7361","0.8319","1.8787","-0.02232","0.02232","3.48146","44","27","44","27","71","-138","209","71","4679","NaN","28309","120062"
"P02_R1","P02","2","4","3","3.277798","-0.3632","0.7745","0.2192","0.2503","0.0148","0.0126","0.409","0.0305","0.1006","0.106","0.9032","0.1142","0.1853","0.107","0.7744","0.4381","0.734","0.1105","0.9594","3.6942","0.1018","0.9796","3.4241","1.7121","2.4435","1.7432","0.8537","1.8732","0.02704","0.02704","3.42181","45","31","45","31","76","-137","213","76","4669","NaN","27550","120052"
"P02_R1","P02","3","5","4","3.2438","-0.332","0.7691","0.1951","0.2501","0.0105","0.0185","0.4081","0.0288","0.1016","0.1078","0.9","0.1124","0.1847","0.1062","0.7689","0.4318","0.7317","0.1108","0.926","3.6602","0.0949","0.9793","3.3931","1.6965","2.431","1.7193","0.8363","1.8622","0.03579","0.03579","3.3898","46","34","46","34","80","-136","216","80","4675","NaN","26872","120049"
"P02_R1","P02","4","6","5","3.272914","-0.3601","0.7733","0.2138","0.2578","0.0077","0.0179","0.4083","0.0281","0.0988","0.1072","0.9006","0.1155","0.1836","0.1048","0.7732","0.4386","0.7324","0.1129","0.9627","3.6861","0.1029","0.9787","3.4247","1.7123","2.4424","1.7271","0.8516","1.9061","0.0012","0.0012","3.42533","45","33","45","33","78","-137","215","78","4671","NaN","26729","120049"
"P02_R1","P02","5","7","6","3.279608","-0.3731","0.7729","0.2133","0.2512","0.0106","0.0152","0.4092","0.0299","0.1002","0.1081","0.9003","0.1126","0.1879","0.1092","0.7728","0.4382","0.7331","0.112","0.9526","3.6869","0.1004","0.979","3.4369","1.7185","2.4449","1.7608","0.8568","1.9336","0.01493","0.01493","3.44378","49","27","49","27","76","-133","209","76","4670","NaN","27031","120050"
"P02_R1","P02","6","8","7","3.266894","-0.3684","0.7721","0.2108","0.2522","0.0083","0.0198","0.4078","0.0278","0.0987","0.1072","0.9005","0.1151","0.1854","0.1102","0.772","0.4367","0.7326","0.1114","0.9473","3.6691","0.0998","0.9792","3.42","1.71","2.4407","1.7369","0.8543","1.8896","-0.00575","0.00575","3.42198","46","28","46","28","74","-136","210","74","4672","NaN","26508","120052"
"P02_R1","P02","7","9","8","3.254974","-0.3474","0.7721","0.2113","0.2533","0.0067","0.0182","0.4077","0.0355","0.1014","0.1063","0.8996","0.1152","0.1858","0.1089","0.772","0.4377","0.732","0.1124","0.9683","3.686","0.1013","0.9788","3.4501","1.725","2.4538","1.7472","0.8448","1.9006","0.02755","0.02755","3.45151","46","28","46","28","74","-136","210","74","4675","NaN","26874","120050"
"P02_R1","P02","8","10","9","3.257516","-0.367","0.7721","0.2105","0.2552","0.0071","0.0162","0.4043","0.0337","0.1001","0.1068","0.9016","0.111","0.1865","0.1073","0.7721","0.4356","0.7319","0.112","0.9636","3.6832","0.1014","0.979","3.4518","1.7259","2.4498","1.7295","0.853","1.9226","0.01794","0.01794","3.45374","42","25","42","25","67","-140","207","67","4672","NaN","27081","120049"
"P02_R1","P02","9","11","10","3.286342","-0.3521","0.7725","0.2059","0.2514","0.0129","0.0124","0.408","0.0279","0.1012","0.1061","0.9005","0.1136","0.1899","0.1142","0.7724","0.4373","0.7336","0.1135","0.9489","3.6978","0.098","0.9784","3.5076","1.7538","2.476","1.7453","0.8477","1.972","0.02103","0.02103","3.51322","43","30","43","30","73","-139","212","73","4671","NaN","27335","120072"
"P02_R1","P02","10","12","11","3.286498","-0.3468","0.7723","0.2138","0.2507","0.0138","0.0105","0.408","0.0304","0.1017","0.1091","0.8997","0.1175","0.1855","0.1095","0.7722","0.4378","0.7324","0.1109","0.9571","3.6995","0.1007","0.9794","3.484","1.742","2.4936","1.7444","0.8454","1.9116","-0.00918","0.00918","3.48979","46","32","46","32","78","-136","214","78","4676","NaN","26865","120092"
"P02_R2","P02","1","14","13","3.268344","-0.3545","0.7756","0.2079","0.2512","0.0162","0.0139","0.4098","0.0264","0.099","0.1097","0.9042","0.1158","0.1897","0.1135","0.7756","0.4391","0.7368","0.1142","0.9605","3.7215","0.0975","0.9783","3.471","1.7355","2.4783","1.7618","0.8514","1.9116","0.00498","0.00498","3.47177","49","25","49","25","74","-133","207","74","4673","NaN","26697","120104"
"P02_R2","P02","2","15","14","3.274262","-0.3554","0.7736","0.2125","0.2474","0.0136","0.0169","0.4069","0.0261","0.1009","0.1098","0.9046","0.1131","0.1871","0.1099","0.7736","0.4352","0.7346","0.1086","0.9476","3.6893","0.0983","0.9803","3.4451","1.7226","2.448","1.7674","0.8506","1.9006","0.02163","0.02163","3.44619","48","27","48","27","75","-134","209","75","4673","NaN","26834","120090"
"P02_R2","P02","3","16","15","3.261558","-0.367","0.774","0.2096","0.2547","0.0122","0.0186","0.4108","0.0265","0.1014","0.1064","0.9026","0.1136","0.1823","0.1091","0.7739","0.4378","0.7341","0.112","0.9503","3.6904","0.1004","0.9791","3.4778","1.7389","2.4761","1.7166","0.8552","1.9226","0.0121","0.0121","3.48009","44","26","44","26","70","-138","208","70","4672","NaN","26559","120090"
"P02_R2","P02","4","17","16","3.243486","-0.3288","0.768","0.1806","0.2409","0.023","0.0347","0.4092","0.0259","0.1011","0.1073","0.8997","0.1138","0.1852","0.1099","0.7676","0.4302","0.7335","0.1194","0.959","3.7081","0.0876","0.9758","3.463","1.7315","2.4242","1.7004","0.8348","1.9336","0.03957","0.03957","3.46687","42","28","42","28","70","-140","210","70","4669","NaN","26633","120092"
"P02_R2","P02","5","18","17","3.285042","-0.3446","0.7734","0.2119","0.2509","0.0091","0.0179","0.4087","0.0276","0.1005","0.1091","0.9025","0.1153","0.1853","0.1112","0.7733","0.4369","0.7339","0.1088","0.9474","3.691","0.0996","0.9802","3.4455","1.7227","2.4553","1.7462","0.8449","1.9006","0.01081","0.01081","3.44748","46","30","46","30","76","-136","212","76","4673","NaN","26680","120092"
