MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
BackoffFeedforwardTargetErrorRaw,BackoffTargetErrorRaw,80,1,0,1,0,8,8,0,1,1
BackoffFeedforwardTargetErrorRaw,BackoffObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
ForwardFeedforwardTargetErrorRaw,ApproachTargetErrorRaw,80,1,0,1,0,8,8,0,1,1
ForwardFeedforwardTargetErrorRaw,ApproachObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
BackoffTargetErrorRaw,BackoffObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
ApproachTargetErrorRaw,ApproachObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
Motor_Error_P2P_Deg,Motor_System_INL_Deg,80,0.999996475928053,1.07001087949217e-202,0.999996218663213,1.67035687165129e-201,8,8,0,0.999997005115756,0.999996218663213
RMS_AC,Residual_RMS_H6,80,0.99929352451774,6.36462148008201e-113,0.9991975721672,9.12109604394964e-111,8,8,0,0.999561136101981,0.9991975721672
Motor_System_INL_Deg,ShadowP2P,80,0.98981280094349,8.445959821004e-68,0.98958734803698,1.97506815241981e-67,8,8,0,0.992226845007105,0.98958734803698
Motor_Error_P2P_Deg,ShadowP2P,80,0.989787426951763,9.30205357042242e-68,0.989584705169447,1.99461521559961e-67,8,8,0,0.992343211765882,0.989584705169447
Residual_RMS_Extended,FitExplainedRatio_Extended,80,-0.971575950285146,1.43940013506508e-50,-0.966434407939394,8.55702734736518e-48,8,8,0,-0.982083651133402,0.966434407939394
A36,Residual_RMS_Full,80,0.931133947571585,6.50947127033566e-36,0.896190372521656,2.96103154590017e-29,8,8,0,0.925898021759953,0.896190372521656
Residual_RMS_H36,FitExplainedRatio,80,0.819375424483606,1.54762745178763e-20,0.822677696366559,8.05696968614397e-21,8,8,0,0.771808148818871,0.822677696366559
