MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
NL_RobustP2P,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
MeanDC,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
RMS_AC,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A1,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A2,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A3,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A6,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A9,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A12,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A18,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A27,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A36,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A45,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A72,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
A108,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Residual_RMS_H6,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Residual_RMS_H36,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Residual_RMS_Full,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Residual_RMS_Extended,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Fitted_P2P,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Fitted_P2P_Extended,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
FitExplainedRatio,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
FitExplainedRatio_Extended,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Motor_Error_P2P_Deg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
Motor_System_INL_Deg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
CrestFactor,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
P99_AbsDeviation,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
TrackingError_RMS_Deg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
TrackingError_MaxAbs_Deg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ClosureErrorDeg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
AbsClosureErrorDeg,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ShadowP2P,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
BackoffFeedforwardTargetErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ForwardFeedforwardTargetErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
BackoffTargetErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ApproachTargetErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ApproachReturnErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
AbsApproachReturnErrorRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
BackoffObservedDeltaRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
ApproachObservedDeltaRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
AnalysisStartRaw,MaxAbsSettlePositionErrorDeg,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
MaxAbsSettlePositionErrorDeg,MotorActiveDurationMs,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
MaxAbsSettlePositionErrorDeg,TimeSincePreviousRunMs,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
BackoffFeedforwardTargetErrorRaw,BackoffTargetErrorRaw,80,1,0,1,0,8,8,0,1,1
BackoffFeedforwardTargetErrorRaw,BackoffObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
ForwardFeedforwardTargetErrorRaw,ApproachTargetErrorRaw,80,1,0,1,0,8,8,0,1,1
ForwardFeedforwardTargetErrorRaw,ApproachObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
BackoffTargetErrorRaw,BackoffObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
ApproachTargetErrorRaw,ApproachObservedDeltaRaw,80,1,0,1,0,8,8,0,1,1
Motor_Error_P2P_Deg,Motor_System_INL_Deg,80,0.999996475928053,1.07001087949217e-202,0.999996218663213,1.67035687165129e-201,8,8,0,0.999997005115756,0.999996218663213
RMS_AC,Residual_RMS_H6,80,0.99929352451774,6.36462148008201e-113,0.9991975721672,9.12109604394964e-111,8,8,0,0.999561136101981,0.9991975721672
Motor_System_INL_Deg,ShadowP2P,80,0.98981280094349,8.445959821004e-68,0.98958734803698,1.97506815241981e-67,8,8,0,0.992226845007105,0.98958734803698
Motor_Error_P2P_Deg,ShadowP2P,80,0.989787426951763,9.30205357042242e-68,0.989584705169447,1.99461521559961e-67,8,8,0,0.992343211765882,0.989584705169447
Residual_RMS_Extended,FitExplainedRatio_Extended,80,-0.971575950285146,1.43940013506508e-50,-0.966434407939394,8.55702734736518e-48,8,8,0,-0.982083651133402,0.966434407939394
A36,Residual_RMS_Full,80,0.931133947571585,6.50947127033566e-36,0.896190372521656,2.96103154590017e-29,8,8,0,0.925898021759953,0.896190372521656
Residual_RMS_H36,FitExplainedRatio,80,0.819375424483606,1.54762745178763e-20,0.822677696366559,8.05696968614397e-21,8,8,0,0.771808148818871,0.822677696366559
RMS_AC,Residual_RMS_H36,80,0.724311123361881,3.11993296973782e-14,0.797177201307608,9.04656670317616e-19,8,8,0,0.835874044604657,0.797177201307608
Residual_RMS_H6,Residual_RMS_H36,80,0.72497137581923,2.88163615376093e-14,0.796763779521441,9.71164895180777e-19,8,8,0,0.83820215347259,0.796763779521441
A1,FitExplainedRatio,80,0.831760683389655,1.244999019272e-21,0.773740553281026,3.96929526129849e-17,8,8,0,0.814723152167345,0.773740553281026
