Group,Order,PeriodMechanicalDeg,AmplitudeMeanDeg,AmplitudeSDDeg,EnergyRatioMean,PhaseCircularMeanDeg,PhaseCoherence
ALL,1,360.0,0.2503033563347452,0.04427251726372515,0.06037596914579837,-30.184330625268515,0.9636343641340754
ALL,2,180.0,0.1853659514510065,0.06404140544392396,0.03468654728582937,16.4162495716776,0.5676623590575037
ALL,3,120.0,0.03638136511020601,0.025475072710853523,0.0018695882048377136,-3.7934715221258255,0.7020860497711129
ALL,4,90.0,0.04574399699232452,0.020821380977287845,0.0024122097030560836,-7.256244957317608,0.300633475182734
ALL,5,72.0,0.03201832558316783,0.012010753965456629,0.0010717820946548376,4.8582200975045495,0.14122872111915397
ALL,6,60.0,0.031125037516507942,0.018646199419594695,0.0012347956571674252,-4.8891080441635655,0.3706518190423114
ALL,7,51.42857142857143,0.03376832004672887,0.019921052903272014,0.0014343821275591246,6.73413318688993,0.6768871232708766
ALL,8,45.0,0.028238504605721537,0.013052785003145261,0.0009074280623813522,-110.90685094297957,0.16390655927217326
ALL,9,40.0,0.21637869367782298,0.1311993925883409,0.0561397947020061,-171.83200767390943,0.12860212764993287
ALL,10,36.0,0.03243467306922347,0.005112549137704808,0.0010024944683022416,-132.46164012406228,0.19915123194515272
ALL,11,32.72727272727273,0.043508629145777064,0.00914079479140668,0.0018682057048152502,-95.71617536431687,0.25848466924456964
ALL,12,30.0,0.04965077470340792,0.032399694122611886,0.0035588606772116818,-77.25723645612149,0.5844527707774556
ALL,13,27.692307692307693,0.03346632667482591,0.010914078466520953,0.001167749497941628,-22.179551221475304,0.24478679230040337
ALL,14,25.714285714285715,0.027308188880662564,0.012256485180178411,0.0008401539441721251,21.237040759008874,0.28731700510314695
ALL,15,24.0,0.019396749844402518,0.006079345264615315,0.0003765412930345349,66.730117842072,0.40035919425259336
ALL,16,22.5,0.019311022999682834,0.008852877272970978,0.00040808082270735885,81.00217964707387,0.5624714298189488
ALL,17,21.176470588235293,0.019296917038627702,0.007082214192915096,0.0003971515369357775,67.55176495991232,0.542189667617208
ALL,18,20.0,0.2040040804661556,0.15504262208068167,0.06079757475064125,73.11561062062289,0.4440353545919486
ALL,19,18.94736842105263,0.016356247436897883,0.006884955435977509,0.0002957751465580658,63.02296109584242,0.48020625547130513
ALL,20,18.0,0.01174152465973574,0.003928088866968881,0.00014312234184684158,109.45143228748027,0.4535666382708425
ALL,21,17.142857142857142,0.011033997308263887,0.004792241149231253,0.00013616910949369542,95.15758352042126,0.3328462030892502
ALL,22,16.363636363636363,0.013907813721039122,0.0061191041789459225,0.00021096156616704815,106.49677750242653,0.7287836662699182
ALL,23,15.652173913043478,0.009420865932299774,0.004526874823826806,9.965300788390161e-05,110.33376810373736,0.3738410743517027
ALL,24,15.0,0.016419313777115033,0.007875313041933552,0.0003305145648039276,166.44328885707438,0.3004894267459166
ALL,25,14.4,0.00675173211246548,0.0031999855303868423,5.277262182476753e-05,28.26586488014611,0.7563429363759872
ALL,26,13.846153846153847,0.007379691977737471,0.0028872792551880903,5.921886130281425e-05,98.18269976367942,0.3819181326480238
ALL,27,13.333333333333334,0.051131888119532135,0.03716846585394885,0.0034481962346888523,70.45060761507942,0.5559848028308837
ALL,28,12.857142857142858,0.007802484109557031,0.0022155802765406333,5.973124451940444e-05,42.982038180428574,0.6025487504145653
ALL,29,12.413793103448276,0.007959705963158353,0.0038141619914341,7.120776405875666e-05,109.82788369778147,0.8242246078163894
ALL,30,12.0,0.007900504856268094,0.003172231606515351,6.806910923382369e-05,116.6921461630321,0.6991713765935574
ALL,31,11.612903225806452,0.006757952189717892,0.002818433487429419,5.009166647537533e-05,81.65455794893866,0.4319945708923109
ALL,32,11.25,0.004789691658902291,0.0030859417921977553,2.952400596037998e-05,121.500169936558,0.354803068011113
ALL,33,10.909090909090908,0.0047205159373657855,0.0023400925574397313,2.570475975767431e-05,115.95842414144992,0.3321165097576096
ALL,34,10.588235294117647,0.007016646994912159,0.004557671159411333,6.126939788253211e-05,53.33458032147932,0.09210879734100684
ALL,35,10.285714285714286,0.007240714580746266,0.004098617846569241,6.371749546850295e-05,12.407478154289182,0.5069055927620292
ALL,36,10.0,0.8640984203369404,0.033552110016403854,0.6989389534462335,96.97770459290125,0.9995317393270914
ALL,37,9.72972972972973,0.005502525698743826,0.002248390026146618,3.2391543208475395e-05,107.48011894978862,0.8261958271760699
ALL,38,9.473684210526315,0.005881846019355047,0.003006225556527036,4.051568752566508e-05,63.49183403481684,0.3314571551630867
ALL,39,9.23076923076923,0.005626826387889856,0.002201223627280728,3.367897205111717e-05,72.8340164548456,0.8570232919585938
ALL,40,9.0,0.004951027980400024,0.002340675750021548,2.7828422698003822e-05,63.843544985899364,0.6853476565517725
ALL,41,8.78048780487805,0.0035206885877985526,0.0012345296325367628,1.2830601161063884e-05,90.66889017386929,0.6190558510152208
ALL,42,8.571428571428571,0.005755210034789,0.003645326669204396,4.323496584533068e-05,116.50263678378383,0.7572678817514321
ALL,43,8.372093023255815,0.006386138730032212,0.003629518661446149,5.0180427646099126e-05,77.0790012706176,0.7908560615705356
ALL,44,8.181818181818182,0.006986068474127452,0.004584348197632686,6.374130649027894e-05,79.08163474238722,0.6645594806253154
ALL,45,8.0,0.06241340248159695,0.033734759568331725,0.00441331870854781,28.84085460578633,0.11417509310226578
ALL,46,7.826086956521739,0.009765131697968136,0.003749761252537602,9.980374564581696e-05,76.02627522330307,0.6443018723049506
ALL,47,7.659574468085107,0.010911162551733886,0.0052336036400447,0.0001341319809501076,95.66787747166383,0.5750792640192447
ALL,48,7.5,0.018458580767157062,0.011528478884156229,0.0004711241764760269,98.45702755254409,0.7974792041649493
ALL,49,7.346938775510204,0.011253849136794076,0.003398563931847582,0.00013047637312614237,130.9679104301196,0.6143014388604247
ALL,50,7.2,0.00875567792609259,0.002611820738539938,7.820191875242689e-05,141.84082248321073,0.5554118477402596
ALL,51,7.0588235294117645,0.007526052481729234,0.002092962133433585,5.713946960049526e-05,151.1708335881818,0.4550601774528283
ALL,52,6.923076923076923,0.005410521112496305,0.001800398095238823,2.980795435051708e-05,148.33775561391073,0.4894800572063223
ALL,53,6.7924528301886795,0.0050039665160573395,0.0018824809880988523,2.752457500853014e-05,171.75588013620884,0.5184077648375333
ALL,54,6.666666666666667,0.09395700589065663,0.057983150563987194,0.011305486822798586,-144.64057594705858,0.6231883726517742
ALL,55,6.545454545454546,0.004362084903951,0.0019244201376601346,2.182777791831597e-05,153.26443408763419,0.3589969963073534
ALL,56,6.428571428571429,0.00609402816856902,0.002430797527312421,4.121552620754248e-05,153.06455924239347,0.46720396054222507
ALL,57,6.315789473684211,0.004880017286982075,0.0018918886020866273,2.6570061610268053e-05,117.35802414472417,0.36629429636542593
ALL,58,6.206896551724138,0.004361264312374843,0.0022794764430671185,2.314888563993052e-05,29.173672592681616,0.22465139322583674
ALL,59,6.101694915254237,0.0041611246312483205,0.0025736111708829523,2.3076715772576884e-05,90.28602213229031,0.5847516935646568
ALL,60,6.0,0.007512542330536531,0.004841526999778964,8.101985324037434e-05,80.51768623799941,0.6775188128458721
