"Source","SchemaVersion","MCU_UID","Jig","JigKnown","Product","MetaMotorID","MotorIDSource","MotorIDValid","MotorIdentityConsistent","MotorPoleCount","MotorPolePairs","ElectricalRippleOrder","AElectrical6","ElectricalRippleValid","H2AmplitudeDeg","H2PhaseSweepDeg","H2C","H2S","Run","SessionID","BatchID","CycleOrder","RunRole","EligibleForStatistics","PreconditionProtocol","PreconditionValid","BatchRunCount","ThermalProtocol","TestID","SweepID","MA600Mode","MathContractVersion","SignedRoundingMode","CanonicalMeanSource","OfficialResultSource","ShadowCanonicalEnabled","ShadowContractVersion","ShadowContractEffectiveVersion","ShadowContractLegacyAlias","ShadowValid","ShadowRMS_AC","ShadowA36","ShadowP2P","ShadowClosureErrorDeg","ShadowClosureValid","ShadowLegacyMinusCanonicalRMS","ShadowLegacyMinusCanonicalA36","ShadowTransactions","ShadowAcceptedSamples","ShadowFailedPoints","ShadowEndStatus","ClosureProbeEnabled","ClosureProbeProtocol","ClosureProbeStatus","ClosureProbeComplete","ClosureProbeAttemptedStages","ClosureProbeValidStages","PostTurnTimingComparable","ClosureProbeInitialDeg","ClosureProbeHold50Deg","ClosureProbeHold100Deg","ClosureProbeHold200Deg","ClosureProbeDelta50InitialDeg","ClosureProbeDelta100InitialDeg","ClosureProbeDelta200InitialDeg","ClosureProbeInitialWindowP2PRaw","ClosureProbeHold200WindowP2PRaw","ClosureProbeInitialWindowDriftRaw","ClosureProbeHold200WindowDriftRaw","ApproachProtocol","ApproachStructuralValid","ApproachStatus","ApproachComplete","ApproachAcquisitionClean","ApproachStepCountValid","ApproachDirectionValid","BackoffDirectionValid","ApproachObservedDeltaRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","BackoffTargetErrorRaw","ApproachMotionQualification","ApproachPath","ReversalCount","PreRollCommandDeltaRaw","PreRollObservedDeltaRaw","PreRollTargetErrorRaw","PreRollDurationMs","FinalCommandDeltaRaw","FinalObservedDeltaRaw","FinalTargetErrorRaw","FinalDurationMs","OriginShiftObservedRaw","OriginShiftTargetErrorRaw","InitialSettleResult","PreRollSettleResult","FinalSettleResult","PrePositionSettleResult","LocalBackoffSettleResult","LocalBackoffCommandDeltaRaw","LocalBackoffObservedDeltaRaw","LocalBackoffTargetErrorRaw","LocalBackoffDurationMs","ApproachReadAttempts","ApproachRetries","ApproachTransportErrors","ApproachJumpRejects","ApproachFailedSamples","OfficialMeasurementValid","OfficialInvalidReasonMask","TrackingValid","SettleStabilityValid","SettleTargetProximityValid","SettleValid","ContinuousSweepContext","RampFeedbackEnabled","ContextReacquireCount","ContextReadAttempts","ContextAcceptedSamples","RampReadAttempts","RampAcceptedSamples","SettleReadAttempts","SettleAcceptedSamples","SettleTimeoutPoints","SettleWrongPositionPoints","MaxAbsSettlePositionErrorRaw","MaxAbsSettlePositionErrorDeg","ClosureErrorDeg","ClosureLimitDeg","ClosureValid","ClosureMeaning","PostTurnRepeatRMSDeg","ClosureNormalizedDeltaRMSDeg","ClosureNormalizedDeltaMaxAbsDeg","PostTurnAnalysisValid","AnalysisStartRaw","AcquisitionResult","EndStatus","MotorOffset1","MotorOffset2","MotorOffset3","MotorOffsetUsedMean","AngleOffset1","AngleOffset2","AngleOffset3","AngleOffsetUsedMean","StartRaw1","StartRaw2","StartRaw3","StartRawUsedMean","StartCount1","StartCount2","StartCount3","StartCountUsedMean","StartFilteredUsedMean","StartRawAngleUsedMean","NL1","NL2","NL3","NLAvg","RawNL1","RawNL2","RawNL3","RawNLAvg","NLMinusRawAvg","FilterRawDiff2","FilterRawDiff3","FilterRawDiffUsedMax","PowerMinCW","Result"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8353","1","0.2466","-67.3766","0.0948601980961818","-0.227624916951447","0","BOOT_UNFRAMED","1","1","PRECONDITION","0","ONE_FULL_SWEEP_120S_V1","NA","10","COOLDOWN_120S_V1","1","1","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76989","0.83537","3.53331","-0.09862","1","-7E-05","-9E-05","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.09862","-0.07175","-0.05974","-0.023","0.02687","0.03888","0.07562","8","11","2","-2","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","10978","55","2348","182","75","-107","47","10975","52","OK","NA","OK","OK","OK","-182","-78","104","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44765","44765","14800","14800","3342","3342","0","0","341","1.87317","0.10061","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0496377055271494","0.130075157543629","0.20053","1","13003","OK","VALID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8248","1","0.2623","-66.2896","0.105474495861579","-0.240159157066196","1","BOOT_UNFRAMED","1","2","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","2","2","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.7677","0.825","3.50352","-0.05545","1","-0.00027","-0.0002","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.05545","-0.02283","-0.01416","-0.01176","0.03262","0.04129","0.04369","9","10","3","0","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11160","237","2348","182","79","-103","47","11163","240","OK","NA","OK","OK","OK","-182","-76","106","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44762","44762","14800","14800","3339","3339","0","0","336","1.8457","0.05532","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0496208951954718","0.0465134952460036","0.0877","1","13007","OK","VALID","2084",,,,"71.45",,,,"13007",,,,"13007",,,,,,"3.33",,,"3.33","3.33",,,"3.33","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8245","1","0.265","-66.6423","0.105064610376066","-0.243282608598571","2","BOOT_UNFRAMED","1","3","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","3","3","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76727","0.82468","3.47357","-0.11527","1","5E-05","-0.00015","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.11527","-0.08429","-0.07373","-0.0606","0.03098","0.04154","0.05467","9","9","-3","3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11162","239","2348","182","83","-99","47","11169","246","OK","NA","OK","OK","OK","-182","-76","106","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44782","44782","14800","14800","3359","3359","0","0","338","1.85669","0.11618","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0444232896125445","0.0772989817526725","0.11921","1","13010","OK","VALID","2086",,,,"71.46",,,,"13009",,,,"13009",,,,,,"3.31",,,"3.31","3.31",,,"3.31","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8229","1","0.2676","-66.4301","0.10700456215366","-0.245274914490462","3","BOOT_UNFRAMED","1","4","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","4","4","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76591","0.82284","3.49237","-0.06017","1","0.00022","0.0001","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.06017","-0.02764","-0.02498","-0.02103","0.03253","0.03519","0.03914","7","10","0","3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11170","247","2348","182","86","-96","47","11176","253","OK","NA","OK","OK","OK","-182","-80","102","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44771","44771","14800","14800","3348","3348","0","0","339","1.86218","0.0638","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0382719590562072","0.0533958504942098","0.09503","1","13005","OK","VALID","2086",,,,"71.46",,,,"13009",,,,"13009",,,,,,"3.32",,,"3.32","3.32",,,"3.32","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8228","1","0.2748","-67.3031","0.106033263876949","-0.253519204305317","4","BOOT_UNFRAMED","1","5","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","5","5","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76712","0.82254","3.4976","-0.07708","1","0.00028","0.00028","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.07708","-0.05261","-0.02669","-0.02386","0.02447","0.05039","0.05322","7","12","-3","3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11168","245","2348","182","79","-103","47","11166","243","OK","NA","OK","OK","OK","-182","-81","101","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44776","44776","14800","14800","3353","3353","0","0","335","1.84021","0.07332","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.043119692948814","0.0623179466927465","0.12727","1","13005","OK","VALID","2078",,,,"71.42",,,,"13001",,,,"13001",,,,,,"3.33",,,"3.33","3.33",,,"3.33","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8204","1","0.2721","-66.1691","0.109938925251715","-0.248901271018245","5","BOOT_UNFRAMED","1","6","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","6","6","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76535","0.82011","3.47013","-0.08111","1","0.00022","0.00034","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.08111","-0.05279","-0.04446","-0.02918","0.02832","0.03665","0.05193","8","9","3","3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11166","243","2348","182","82","-100","47","11168","245","OK","NA","OK","OK","OK","-182","-80","102","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44783","44783","14800","14800","3360","3360","0","0","325","1.78528","0.08969","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0496246213083788","0.0605332112150016","0.0923","1","13001","OK","VALID","2078",,,,"71.42",,,,"13001",,,,"13001",,,,,,"3.3",,,"3.3","3.3",,,"3.3","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.818","1","0.2695","-66.6933","0.106628456624871","-0.247508832646025","6","BOOT_UNFRAMED","1","7","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","7","7","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76278","0.81752","3.46215","-0.04935","1","0.0003","0.00048","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.04935","-0.01416","-0.00532","0.00687","0.03519","0.04403","0.05622","10","10","2","-2","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11158","235","2348","182","81","-101","47","11162","239","OK","NA","OK","OK","OK","-182","-77","105","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44767","44767","14800","14800","3344","3344","0","0","328","1.80176","0.05069","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0478222481696543","0.0190120246160161","0.04129","1","13006","OK","VALID","2079",,,,"71.42",,,,"13002",,,,"13002",,,,,,"3.29",,,"3.29","3.29",,,"3.29","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8185","1","0.2682","-66.7477","0.105880194121819","-0.246415552457076","7","BOOT_UNFRAMED","1","8","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","8","8","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76225","0.81773","3.47005","-0.08841","1","0.00038","0.0008","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.08841","-0.06515","-0.05828","-0.05116","0.02326","0.03013","0.03725","12","10","3","-1","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11159","236","2348","182","90","-92","47","11166","243","OK","NA","OK","OK","OK","-182","-83","99","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44775","44775","14800","14800","3352","3352","0","0","336","1.8457","0.08993","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0536857869458947","0.0578292664660378","0.11355","1","13000","OK","VALID","2084",,,,"71.45",,,,"13007",,,,"13007",,,,,,"3.29",,,"3.29","3.29",,,"3.29","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8188","1","0.2707","-67.071","0.105462054717275","-0.249311542081008","8","BOOT_UNFRAMED","1","9","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","9","9","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76521","0.81903","3.51906","-0.06995","1","-0.00018","-0.00026","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.06995","-0.03725","-0.02644","-0.02275","0.0327","0.04351","0.0472","8","9","3","-2","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11164","241","2348","182","81","-101","47","11163","240","OK","NA","OK","OK","OK","-182","-82","100","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44777","44777","14800","14800","3354","3354","0","0","340","1.86768","0.07615","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0317243181171794","0.0526502256405421","0.0751300000000001","1","13005","OK","VALID","2081",,,,"71.43",,,,"13004",,,,"13004",,,,,,"3.32",,,"3.32","3.32",,,"3.32","0",,,,,"OK"
"B0-B-v32-a0-p03-jig5-test-31.txt","5","001D00283234470438353535","JIG5","1","P03","UNKNOWN","UNSET","0","0","12","6","36","0.8208","1","0.2696","-66.8446","0.106013815839611","-0.247881485494833","9","BOOT_UNFRAMED","1","10","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1","1","10","COOLDOWN_120S_V1","10","10","","","","","LEGACY","1","CANONICAL_Q16_V1","CANONICAL_Q16_1DEG360_V2","1","1","0.76497","0.8207","3.50661","-0.06969","1","5E-05","6E-05","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.06969","-0.05064","-0.02884","-0.02292","0.01905","0.04085","0.04677","8","9","2","1","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11161","238","2348","182","81","-101","47","11168","245","OK","NA","OK","OK","OK","-182","-74","108","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44777","44777","14800","14800","3354","3354","0","0","334","1.83472","0.0671","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0377187909403258","0.0396595132345318","0.06539","1","13007","OK","VALID","2080",,,,"71.43",,,,"13003",,,,"13003",,,,,,"3.33",,,"3.33","3.33",,,"3.33","0",,,,,"OK"
