motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
UNKNOWN,114008,3,TOP,1,224,224.0,1.6581,0.02871273410875392,3,1.0
UNKNOWN,114008,3,TOP,2,254,254.0,1.6507766666666666,0.024585890940401863,3,1.0
UNKNOWN,114008,3,TOP,3,294,294.0,1.6240866666666667,0.0021936803170319046,3,1.0
UNKNOWN,114008,3,TOP,4,304,304.0,1.6098633333333332,0.024999284656432343,3,1.0
UNKNOWN,114008,3,TOP,5,293,293.0,1.6009133333333334,0.021508027183666456,3,1.0
UNKNOWN,114008,3,BOTTOM,1,116,116.0,-1.2802499999999999,0.011201124943504535,3,1.0
UNKNOWN,114008,3,BOTTOM,2,77,77.0,-1.2087733333333333,0.019236570207116842,3,1.0
UNKNOWN,114008,3,BOTTOM,3,117,117.0,-1.2030033333333334,0.015204112382290882,3,1.0
UNKNOWN,114008,3,BOTTOM,4,76,76.0,-1.18736,0.02462144796716873,3,1.0
UNKNOWN,114008,3,BOTTOM,5,156,156.0,-1.0711866666666667,0.021336903086749296,3,1.0
p03,100554,10,TOP,1,334,334.0,1.712051,0.028225118226304916,10,1.0
p03,100554,10,TOP,2,294,294.0,1.7057949999999997,0.06447990716322236,10,1.0
p03,100554,10,TOP,3,254,254.0,1.562256,0.031329296619405096,10,1.0
p03,100554,10,TOP,4,333,333.0,1.5532569999999999,0.030164953929279526,10,1.0
p03,100554,10,TOP,5,293,293.0,1.544326,0.03401975902978217,9,0.9
p03,100554,10,BOTTOM,1,27,27.0,-1.1791719999999999,0.03366542631378502,10,1.0
p03,100554,10,BOTTOM,2,26,26.0,-1.0954460000000001,0.0553843700775669,10,1.0
p03,100554,10,BOTTOM,3,28,28.0,-0.991746,0.0324473892803583,10,1.0
p03,100554,10,BOTTOM,4,7,7.0,-0.9367979999999999,0.0395681445385328,10,1.0
p03,100554,10,BOTTOM,5,67,67.0,-0.9068950000000001,0.0339831393651486,6,0.6
p03,103321,10,TOP,1,294,294.0,1.707055,0.030572491357064413,10,1.0
p03,103321,10,TOP,2,334,334.0,1.6873580000000001,0.04181312042887976,10,1.0
p03,103321,10,TOP,3,333,333.0,1.558268,0.028902921728511218,10,1.0
p03,103321,10,TOP,4,293,293.0,1.549021,0.024777088632668542,10,1.0
p03,103321,10,TOP,5,254,254.0,1.54549,0.05417602811412276,9,0.9
p03,103321,10,BOTTOM,1,27,27.0,-1.177858,0.03970512975534636,10,1.0
p03,103321,10,BOTTOM,2,26,26.0,-1.086371,0.0317823030596868,10,1.0
p03,103321,10,BOTTOM,3,28,28.0,-0.9944470000000001,0.03782826781066715,10,1.0
p03,103321,10,BOTTOM,4,7,7.0,-0.937792,0.037182232853877915,8,0.8
p03,103321,10,BOTTOM,5,106,106.0,-0.908395,0.042173690653455206,3,0.3
p03,112833,3,TOP,1,294,294.0,1.7764199999999999,0.026319202115565796,3,1.0
p03,112833,3,TOP,2,254,254.0,1.7585666666666668,0.009724614816707739,3,1.0
p03,112833,3,TOP,3,244,244.0,1.6276466666666665,0.06442528721964179,2,0.6666666666666666
p03,112833,3,TOP,4,253,253.0,1.621063333333333,0.02550557847478339,3,1.0
p03,112833,3,TOP,5,293,293.0,1.6183266666666665,0.014282928037812618,3,1.0
p03,112833,3,BOTTOM,1,106,106.0,-0.9932500000000001,0.08255911397295877,2,0.6666666666666666
p03,112833,3,BOTTOM,2,187,187.0,-0.97809,0.02861861806586759,3,1.0
p03,112833,3,BOTTOM,3,346,346.0,-0.9765133333333335,0.021627797699565545,3,1.0
p03,112833,3,BOTTOM,4,347,347.0,-0.9758,0.00645547054830242,3,1.0
p03,112833,3,BOTTOM,5,107,107.0,-0.95823,0.02605032053545599,3,1.0
p05,111810,3,TOP,1,264,264.0,1.8207433333333334,0.02025019094560177,3,1.0
p05,111810,3,TOP,2,254,254.0,1.8151666666666666,0.034473464191075026,3,1.0
p05,111810,3,TOP,3,263,263.0,1.7910566666666667,0.03246498780738001,3,1.0
p05,111810,3,TOP,4,253,253.0,1.7596833333333333,0.011291418570460217,3,1.0
p05,111810,3,TOP,5,304,304.0,1.7382633333333333,0.0404212930685466,3,1.0
p05,111810,3,BOTTOM,1,196,196.0,-1.1139533333333334,0.047264894301514544,3,1.0
p05,111810,3,BOTTOM,2,116,116.0,-1.1008733333333334,0.042167012383299514,3,1.0
p05,111810,3,BOTTOM,3,77,77.0,-1.0947466666666665,0.015330852335513899,3,1.0
p05,111810,3,BOTTOM,4,197,197.0,-1.0921833333333335,0.03254213934782611,3,1.0
p05,111810,3,BOTTOM,5,76,76.0,-1.0837899999999998,0.04867226417581166,2,0.6666666666666666
p05,115352,3,TOP,1,264,264.0,2.1217866666666665,0.027060270385443976,3,1.0
p05,115352,3,TOP,2,254,254.0,2.09509,0.02043641602629959,3,1.0
p05,115352,3,TOP,3,263,263.0,2.0881966666666667,0.028104932544543482,3,1.0
p05,115352,3,TOP,4,294,294.0,2.0391833333333333,0.017505868539816366,3,1.0
p05,115352,3,TOP,5,253,253.0,2.02535,0.02567391477745449,3,1.0
p05,115352,3,BOTTOM,1,196,196.0,-0.98423,0.011251364361711858,3,1.0
p05,115352,3,BOTTOM,2,356,356.0,-0.9707833333333333,0.012121412183954983,3,1.0
p05,115352,3,BOTTOM,3,197,197.0,-0.9289333333333333,0.013846415902078546,3,1.0
p05,115352,3,BOTTOM,4,357,357.0,-0.9259266666666667,0.012313595467341497,3,1.0
p05,115352,3,BOTTOM,5,156,156.0,-0.7887166666666667,0.02685348084203113,3,1.0
p07,112644,3,TOP,1,264,264.0,2.17045,0.04505876496310123,3,1.0
p07,112644,3,TOP,2,284,284.0,2.1238166666666665,0.03758507194796002,3,1.0
p07,112644,3,TOP,3,244,244.0,1.9991500000000002,0.04365278799801911,3,1.0
p07,112644,3,TOP,4,263,263.0,1.9791366666666665,0.03685669862227675,3,1.0
p07,112644,3,TOP,5,283,283.0,1.9490766666666666,0.0408761230222893,3,1.0
p07,112644,3,BOTTOM,1,56,56.0,-1.2406300000000001,0.05009646793936677,3,1.0
p07,112644,3,BOTTOM,2,57,57.0,-1.1624033333333335,0.0450405920624201,3,1.0
p07,112644,3,BOTTOM,3,36,36.0,-1.0727666666666666,0.03548346986039181,3,1.0
p07,112644,3,BOTTOM,4,37,37.0,-1.0054233333333333,0.04839038885288415,2,0.6666666666666666
p07,112644,3,BOTTOM,5,16,16.0,-0.99295,0.03757738548648643,2,0.6666666666666666
