motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
UNKNOWN,114008,3,1,geometric,0.30715169381681595,0.004407350423013779
UNKNOWN,114008,3,2,geometric,0.04685681351723403,0.004715910325178176
UNKNOWN,114008,3,3,motor,0.06661217629838548,0.004098135847120332
UNKNOWN,114008,3,4,geometric,0.039547899316305896,0.003922117772039158
UNKNOWN,114008,3,6,motor,0.02216796601806731,0.0005305027017840766
UNKNOWN,114008,3,8,geometric,0.01087653313501561,0.0015232174518968987
UNKNOWN,114008,3,9,motor,0.28841001557608603,0.0006722643441906214
UNKNOWN,114008,3,12,motor,0.030451869499893026,0.0009452906584893011
UNKNOWN,114008,3,18,motor,0.09324756942840391,0.00047356578433716754
UNKNOWN,114008,3,27,motor,0.06745729032448465,0.0008977043985935306
UNKNOWN,114008,3,36,motor,0.8558809246206541,0.0021699964334292274
UNKNOWN,114008,3,45,motor,0.07884040799613777,0.0004134061613570165
UNKNOWN,114008,3,72,motor,0.16375122113449264,0.0007026401508927314
UNKNOWN,114008,3,108,motor,0.09088762809635721,0.0014065247839290468
p03,100554,10,1,geometric,0.14706201285210438,0.0019528780816992605
p03,100554,10,2,geometric,0.17740249755456686,0.0007362903003990463
p03,100554,10,3,motor,0.05731592752480154,0.0008349473157757971
p03,100554,10,4,geometric,0.059630841932476863,0.0012652818040263113
p03,100554,10,6,motor,0.0032966432541648278,0.0014822109780471364
p03,100554,10,8,geometric,0.005898263779294349,0.0010236992942251903
p03,100554,10,9,motor,0.1641465617831856,0.0011181882003032757
p03,100554,10,12,motor,0.03887043202437287,0.0005580387131871171
p03,100554,10,18,motor,0.10720433914905311,0.0008163987199166475
p03,100554,10,27,motor,0.03324940384899326,0.001453253152822805
p03,100554,10,36,motor,0.9036985924177527,0.001595920099211462
p03,100554,10,45,motor,0.048505076841021635,0.003088266648394196
p03,100554,10,72,motor,0.19131957690975762,0.002011225913795317
p03,100554,10,108,motor,0.11324670599286428,0.001879910975645932
p03,103321,10,1,geometric,0.14914551901425668,0.002323972072627918
p03,103321,10,2,geometric,0.17777713407411486,0.0012346199550246262
p03,103321,10,3,motor,0.05832943139511162,0.0015843983043608355
p03,103321,10,4,geometric,0.05730064488559011,0.0013519876193420256
p03,103321,10,6,motor,0.0032217956413245993,0.001045272563446195
p03,103321,10,8,geometric,0.004286593236503924,0.0011116700317123187
p03,103321,10,9,motor,0.1644888194416674,0.0015198309464270708
p03,103321,10,12,motor,0.035406519096908194,0.0016157700603437676
p03,103321,10,18,motor,0.10870483914271875,0.0016957421192983393
p03,103321,10,27,motor,0.03270442202315573,0.0019065706562911228
p03,103321,10,36,motor,0.9024910097506297,0.0006799377024738075
p03,103321,10,45,motor,0.04777998734156668,0.0019488249721054537
p03,103321,10,72,motor,0.191434706134678,0.0019524390328668748
p03,103321,10,108,motor,0.11372704752233638,0.0021659623611186138
p03,112833,3,1,geometric,0.1924663116170754,0.0012047624214305557
p03,112833,3,2,geometric,0.1607763389418662,0.0015085841823154378
p03,112833,3,3,motor,0.03669874830569463,0.0003626253810709239
p03,112833,3,4,geometric,0.0707086501093261,0.0014742652881448712
p03,112833,3,6,motor,0.009270662028437156,0.0014440376684794792
p03,112833,3,8,geometric,0.011625530932072739,0.0008950996350450714
p03,112833,3,9,motor,0.17311710679583903,0.0007186957520693577
p03,112833,3,12,motor,0.05497451587174373,0.0015404742347154795
p03,112833,3,18,motor,0.11208891326288523,0.0010272759051019142
p03,112833,3,27,motor,0.025587033653719907,0.0017293115879954564
p03,112833,3,36,motor,0.8908559288296821,0.0018227086875582303
p03,112833,3,45,motor,0.047080306424481334,0.0037860103299125003
p03,112833,3,72,motor,0.19426672014895996,0.0025141580736098746
p03,112833,3,108,motor,0.11944904617102776,0.0039000102013510727
p05,111810,3,1,geometric,0.30432348049346003,0.0011087362984537805
p05,111810,3,2,geometric,0.1501077538309649,0.0003544226754660054
p05,111810,3,3,motor,0.06388423986809086,0.0034497281106326554
p05,111810,3,4,geometric,0.07270641125933763,0.002676953946432909
p05,111810,3,6,motor,0.026999988600227395,0.003602976535755002
p05,111810,3,8,geometric,0.02465135134479779,0.0013701279022344589
p05,111810,3,9,motor,0.279410874056288,0.0012590206644341863
p05,111810,3,12,motor,0.015799561907466054,0.0018279579018652616
p05,111810,3,18,motor,0.10618448800376645,0.0011107086548812048
p05,111810,3,27,motor,0.06654112131522054,0.000703863790706837
p05,111810,3,36,motor,0.8504163906462233,0.00018475516893491753
p05,111810,3,45,motor,0.0767013692936555,0.002063847765350437
p05,111810,3,72,motor,0.16105782574013905,0.00019814150764802156
p05,111810,3,108,motor,0.09140166350040851,0.0009809718084416563
p05,115352,3,1,geometric,0.20108798866379407,0.0028865328920020354
p05,115352,3,2,geometric,0.3069189995283897,0.001830010976488713
p05,115352,3,3,motor,0.09424355603016428,0.0007002791462134561
p05,115352,3,4,geometric,0.04765680286709237,0.0005806588529926703
p05,115352,3,6,motor,0.015477289344307948,0.0006298281094367593
p05,115352,3,8,geometric,0.021472932654419585,0.0015719990186124646
p05,115352,3,9,motor,0.28426631889362536,0.0011868826352404323
p05,115352,3,12,motor,0.009765347818759583,0.0022506383891891
p05,115352,3,18,motor,0.10820220262372565,0.0006071293996258554
p05,115352,3,27,motor,0.06728559089040552,0.0017076326187796828
p05,115352,3,36,motor,0.8520334777860414,0.0016568905830057243
p05,115352,3,45,motor,0.078516954330887,0.001535086530014447
p05,115352,3,72,motor,0.1626186289048757,0.001130637445046804
p05,115352,3,108,motor,0.0896796168411802,0.0014838050728259256
p07,112644,3,1,geometric,0.4174659316957574,0.004616093630441806
p07,112644,3,2,geometric,0.10011333720529957,0.001710893033009332
p07,112644,3,3,motor,0.010579197135126582,0.0016795436659524101
p07,112644,3,4,geometric,0.06316878413190614,0.0005770227394174237
