SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,2,2,1,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.826516612104818,-0.0003633878951819769,9305.0,6.299999999999272,0.07253,3.34,0.82688,0.79362,0.008411777777777777,0.0019499999999998963,3.3419499999999998,0.7933770047798878,-0.00024299522011217434,3.5293,3.52944,1.76465
2,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,3,3,2,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8251430284998629,0.0004430284998628853,9305.0,6.299999999999272,0.10549,3.33,0.8247,0.79103,0.03252772222222223,0.002993999999999719,3.332994,0.7912138014341078,0.0001838014341077887,3.48666,3.48764,1.74333
3,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,4,4,3,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8261171543706606,0.0007171543706605554,9307.0,8.299999999999272,0.08223,3.33,0.8254,0.78968,0.03817855555555555,-0.0002580000000000915,3.329742,0.7903812743059322,0.0007012743059321425,3.49753,3.49056,1.748765
4,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,5,5,4,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.823612359467559,-2.7640532441086663e-05,9298.0,-0.7000000000007276,0.11767,3.33,0.82364,0.78949,0.003082333333333336,0.003258000000000205,3.3332580000000003,0.7897271494348891,0.00023714943488906126,3.49475,3.49151,1.747375
5,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,6,6,5,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8214749664426868,7.496644268678576e-05,9295.0,-3.7000000000007276,0.09665,3.3,0.8214,0.7876,-0.021253916666666664,0.0020899999999999253,3.3020899999999997,0.7874787362839596,-0.00012126371604037622,3.4640500000000003,3.46885,1.7320250000000001
6,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,7,7,6,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8209037960759561,-0.00021620392404386735,9300.0,1.2999999999992724,0.09373,3.3,0.82112,0.78843,-0.002503527777777777,0.0044680000000001385,3.304468,0.7885228257251017,9.282572510171949e-05,3.448,3.44499,1.724
7,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,8,8,7,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.819836874066427,-6.312593357293839e-05,9297.0,-1.7000000000007276,0.05768,3.32,0.8199,0.7908,0.015783472222222227,0.003834000000000337,3.323834,0.7908392219537697,3.922195376970805e-05,3.4858700000000002,3.48129,1.7429350000000001
8,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,9,9,8,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8227220747011783,0.00016207470117834966,9292.0,-6.700000000000728,0.12188,3.3,0.82256,0.78722,-0.020473777777777775,0.00188000000000077,3.3018800000000006,0.7871260747841942,-9.392521580586788e-05,3.44717,3.44439,1.723585
9,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,10,10,9,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.819203511982185,-0.0002464880178150164,9296.0,-2.7000000000007276,0.10128,3.33,0.81945,0.78781,-0.031183944444444445,0.000608000000000164,3.3306080000000002,0.7875174624173226,-0.00029253758267744345,3.47207,3.47116,1.736035
10,Clamp0p30N,H2-p06-jig1-remount04-0-3N.txt,11,11,10,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8219969797659049,0.0003469797659049201,9292.0,-6.700000000000728,0.10368,3.3,0.82165,0.78713,-0.011616361111111115,-0.00014599999999997948,3.299854,0.7872143568959775,8.435689597752205e-05,3.46295,3.46224,1.731475
