SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,Remount01,H2-p06-jig1-remount01.txt,1,1,0,PRECONDITION,0,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8268390488976722,2.904889767219032e-05,9731.0,146.46153846153902,0.07502,,0.82681,0.78414,-0.49442025,,3.3999079999999995,0.7840545734391011,-8.542656089882694e-05,3.6501399999999995,3.64746,1.8250699999999997
2,Remount01,H2-p06-jig1-remount01.txt,2,2,1,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8235931962049932,-0.0001668037950068868,9723.0,138.46153846153902,0.1139,3.4,0.82376,0.78489,-0.5687527222222222,-0.0016759999999993447,3.3983240000000006,0.7847503387184365,-0.00013966128156350788,3.6383,3.63982,1.81915
3,Remount01,H2-p06-jig1-remount01.txt,3,3,2,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8223578750490645,0.0003278750490645077,9723.0,138.46153846153902,0.1133,3.41,0.82203,0.7849,-0.5567126388888889,0.004100000000000215,3.4141000000000004,0.7852684977314608,0.0003684977314607485,3.64301,3.63476,1.821505
4,Remount01,H2-p06-jig1-remount01.txt,4,4,3,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8217265177016426,-0.0004234822983574249,9723.0,138.46153846153902,0.1405,3.41,0.82215,0.78508,-0.5642311944444445,-0.0015140000000002374,3.408486,0.7848445109184692,-0.00023548908153081527,3.6510100000000003,3.64798,1.8255050000000002
5,Remount02,H2-p06-jig1-remount02.txt,1,1,0,PRECONDITION,0,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8182055677760021,0.0001655677760020735,9385.0,-199.53846153846098,0.06703,,0.81804,0.84765,-0.7574522777777778,,3.7395899999999997,0.8476527420784675,2.7420784675102894e-06,3.94547,3.94993,1.972735
6,Remount02,H2-p06-jig1-remount02.txt,2,2,1,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8216301110713472,-0.0004098889286527907,9383.0,-201.53846153846098,0.09905,3.77,0.82204,0.85333,-0.7724763888888889,-0.003357999999999972,3.766642,0.8531723537140429,-0.00015764628595715813,3.9808,3.9816,1.9904
7,Remount02,H2-p06-jig1-remount02.txt,3,3,2,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8204520802685407,-0.0001079197314592939,9380.0,-204.53846153846098,0.10935,3.76,0.82056,0.85204,-0.7912924722222223,0.004582000000000086,3.764582,0.8520689881558556,2.8988155855613762e-05,3.99167,3.99422,1.995835
8,Remount02,H2-p06-jig1-remount02.txt,4,4,3,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8203260830894644,0.00015608308946446492,9382.0,-202.53846153846098,0.11707,3.76,0.82017,0.8512,-0.8045731666666667,-0.0007999999999994678,3.7592000000000003,0.8511968451659861,-3.1548340138076725e-06,3.97507,3.9713,1.987535
9,Remount03,H2-p06-jig1-remount03.txt,1,1,0,PRECONDITION,0,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8150438268201975,-9.617317980248341e-05,9615.0,30.46153846153902,0.27457,,0.81514,0.86496,-0.9857786944444444,,3.9388300000000003,0.8650095477647219,4.954776472199107e-05,4.20148,4.20725,2.10074
10,Remount03,H2-p06-jig1-remount03.txt,2,2,1,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.81717821295574,-0.0001417870442600444,9640.0,55.46153846153902,0.11484,3.83,0.81732,0.85435,-0.8150925277777777,0.0026120000000000587,3.832612,0.8543251550701025,-2.4844929897516188e-05,4.08328,4.08734,2.04164
11,Remount03,H2-p06-jig1-remount03.txt,3,3,2,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8158307694056576,-0.0004292305943424113,9639.0,54.46153846153902,0.1048,3.86,0.81626,0.8582,-0.8451140555555555,-0.0031080000000001107,3.8568919999999998,0.8580191932278912,-0.00018080677210874363,4.12717,4.12631,2.063585
12,Remount03,H2-p06-jig1-remount03.txt,4,4,3,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8157517265773568,-0.0005982734226431807,9636.0,51.46153846153902,0.13132,3.86,0.81635,0.85663,-0.8712401111111111,-0.002425999999999817,3.857574,0.8563423771742422,-0.00028762282575778286,4.1068999999999996,4.10434,2.0534499999999998
13,Remount03,H2-p06-jig1-remount03.txt,5,5,4,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8143908060123054,-0.00040919398769456716,9639.0,54.46153846153902,0.11295,3.87,0.8148,0.85917,-0.8444205555555555,0.0034200000000002007,3.8734200000000003,0.8588152674946538,-0.0003547325053462336,4.11533,4.11009,2.057665
