Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.7301025385135441,0.7519261218016835,0.7464879521565981,0.5572442627149548,0.013306263686371961,0.6507934216405376,-7.538878676851126,8.999083753878214
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,3,-21.747542514307078,19.339324598960765,-0.7484848624378697,0.5602295892987188,0.013261328379960339,19.268156700919832,-266.5687415561945,223.0736565275803
ALL,A36_Deg,NL_RobustP2P_Deg,3,-10.179679420351965,11.372159105771155,-0.7450130768307934,0.555044484648842,0.013339278007180563,9.114408780871026,-125.9873573900992,105.62799854939529
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,3,0.5972237526462263,3.0215397791084144,0.5636755338527044,0.3177301074641431,0.016517797219818907,0.8751570400184389,-10.522521597828058,11.71696910312051
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,-0.004596999999999961,3.1005126666666643,-0.18769592655613204,0.0352297608457649,0.019642012167800288,0.02405645366632459,-0.3102583002843202,0.3010643002843203
BlindUnknown,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.7301025385135441,0.7519261218016835,0.7464879521565981,0.5572442627149548,0.013306263686371961,0.6507934216405376,-7.538878676851126,8.999083753878214
BlindUnknown,RMS_AC_Deg,NL_RobustP2P_Deg,3,-21.747542514307078,19.339324598960765,-0.7484848624378697,0.5602295892987188,0.013261328379960339,19.268156700919832,-266.5687415561945,223.0736565275803
BlindUnknown,A36_Deg,NL_RobustP2P_Deg,3,-10.179679420351965,11.372159105771155,-0.7450130768307934,0.555044484648842,0.013339278007180563,9.114408780871026,-125.9873573900992,105.62799854939529
BlindUnknown,ClosureErrorDeg,NL_RobustP2P_Deg,3,0.5972237526462263,3.0215397791084144,0.5636755338527044,0.3177301074641431,0.016517797219818907,0.8751570400184389,-10.522521597828058,11.71696910312051
BlindUnknown,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,-0.004596999999999961,3.1005126666666643,-0.18769592655613204,0.0352297608457649,0.019642012167800288,0.02405645366632459,-0.3102583002843202,0.3010643002843203
