File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,13,12,PRECONDITION,0.21077282823478,0.253425770091965,0.913526585946882,0.277414772586269,0.230724350530326
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,14,13,OFFICIAL,0.207937470355308,0.251202981218616,0.904179974466034,0.277824092893635,0.229973540918229
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,15,14,OFFICIAL,0.212473480801144,0.247399366982224,0.904578769929865,0.273496764689056,0.234886654279558
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,16,15,OFFICIAL,0.209571384204927,0.254697644129974,0.902599942483139,0.282182207356757,0.232186347839083
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,17,16,OFFICIAL,0.180647512177421,0.240948796585019,0.899669886706891,0.267819119151556,0.200793107390372
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,18,17,OFFICIAL,0.211930688173973,0.250934909834235,0.902526918601109,0.278035928527403,0.234819243399919
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,19,18,OFFICIAL,0.215254394768892,0.252999945806188,0.90025063897693,0.281032786706715,0.239104961939836
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,20,19,OFFICIAL,0.20789422149213,0.254418091444878,0.902212126139584,0.281993651020288,0.230427208268276
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,21,20,OFFICIAL,0.212432685181795,0.251759787986211,0.898352706047028,0.280246039547224,0.236469132615574
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,22,21,OFFICIAL,0.20818056492034,0.255202049881848,0.900686856747993,0.283341594217637,0.231135342278662
C:\learn\rd\jig\B0-B p02 jig 1 test 23 lần 2.txt,legacy-root,P02,JIG1,23,22,OFFICIAL,0.211537669981629,0.249228524186558,0.900839722073677,0.276662449578543,0.234822760140597
