ProductId,Era,N,MeanH1_Deg,MeanH2_Deg,MeanH36_Deg,MeanRatioH2H36,SDRatioH2H36,CVRatioH2H36Pct
P02,assembly-swap-era,4,0.0398371196367763,0.036255582122605,0.0970706992863449,0.374686993475288,0.0841077215916617,22.4474622968755
P05,assembly-swap-era,132,0.338149757582053,0.223638142429798,0.858587530138065,0.260807699464452,0.0874977084022963,33.548744374482
P08,assembly-swap-era,57,0.117127916091486,0.0313712154834463,0.365532488072325,0.113010327280233,0.0941793765309015,83.3369646805496
P09,assembly-swap-era,4,0.010986724893369,0.0100755507138496,0.0961657620497949,0.104912698492284,0.0301997139856761,28.7855659226011
P03,assembly-swap-era,74,0.0477190281371907,0.0326287842071064,0.239971072161964,0.0975296887604284,0.112049435487894,114.887514675795
P04,legacy-root,33,0.367471497756074,0.2840493881085,0.854158374011381,0.332456133692947,0.0410372160979164,12.3436483610851
P06,legacy-root,217,0.371239511707491,0.247256644693316,0.823113988774375,0.300274358966146,0.150121856476692,49.9948969980543
P03,legacy-root,432,0.214996433808528,0.164244567503535,0.868653608095874,0.225300770392717,0.317590567003803,140.96292988711
P05,legacy-root,125,0.396953089020413,0.177656903101567,0.856848918239208,0.207350310188464,0.0840237316718356,40.5225975285327
P07,legacy-root,55,0.259170355182498,0.160003123185302,0.86438270984714,0.184767531825676,0.0543776189945484,29.4302892165343
P02,legacy-root,114,0.305223304790354,0.166235910134154,0.901322112710493,0.184534704951476,0.0740976228102187,40.153760144848
P02,v5.x-latest,8,0.0246527156642058,0.0190990798974241,0.0936758031400042,0.203999632793141,0.0138434950360663,6.78603919356258
P08,v5.x-latest,8,0.00649188007653582,0.0110877752951025,0.095398068018043,0.116169233969202,0.00477734495780314,4.11240118796831
P09,v5.x-latest,16,0.0100282440435187,0.00464826402120588,0.0968261907287996,0.0478091675460824,0.0236016732197737,49.3664174282567
