motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,JIG7,3,1,geometric,0.01270614053052345,0.0011653427818608668
P03,JIG7,3,2,geometric,0.0035899799387158807,0.001431836074986172
P03,JIG7,3,3,motor,0.0023148668706669015,0.001581296772419954
P03,JIG7,3,4,geometric,0.007382917931533672,0.0015159523001246008
P03,JIG7,3,6,motor,0.002972687809486426,0.002166833660002548
P03,JIG7,3,8,geometric,0.00810886664401707,0.0013161239535730335
P03,JIG7,3,9,motor,0.02108007130422863,0.0004889356888217971
P03,JIG7,3,12,motor,0.011694232366649163,0.0010627951357396594
P03,JIG7,3,18,motor,0.019963562572083485,0.0008016065876918356
P03,JIG7,3,27,motor,0.00930339551595376,0.0014285639622664804
P03,JIG7,3,36,motor,0.10993737334896315,0.0016034993664460087
P03,JIG7,3,45,motor,0.009553171434959009,0.002388762368439716
P03,JIG7,3,72,motor,0.008020443990264867,0.0016106487320978562
P03,JIG7,3,108,motor,0.013695095405725777,0.0014653747527198198
P03,JIG8,3,1,geometric,0.0123021433006601,0.000609116419871216
P03,JIG8,3,2,geometric,0.013444029218497902,0.002205201884156964
P03,JIG8,3,3,motor,0.00569684713640047,0.0007794528550317683
P03,JIG8,3,4,geometric,0.003070177297392756,0.0007991592094071781
P03,JIG8,3,6,motor,0.0036466606227837403,0.0018273748338857043
P03,JIG8,3,8,geometric,0.002184167743999973,0.001307449182792938
P03,JIG8,3,9,motor,0.012684025684323315,0.0012286723355231658
P03,JIG8,3,12,motor,0.0034985300129013615,0.000554137863500705
P03,JIG8,3,18,motor,0.005028355564451303,0.0006378226042723714
P03,JIG8,3,27,motor,0.005782652262260941,0.0011957942901432888
P03,JIG8,3,36,motor,0.09418056960375147,0.0010748875194300613
P03,JIG8,3,45,motor,0.0014831903950916787,0.00041073686307277783
P03,JIG8,3,72,motor,0.01822122454950008,0.0011020830493312231
P03,JIG8,3,108,motor,0.015294837357033332,0.0008690874011066373
