motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P09,JIG8,3,TOP,1,12,12.0,0.10031666666666667,0.01656442372475823,2,0.6666666666666666
P09,JIG8,3,TOP,2,61,61.0,0.09984666666666668,0.00408006535895362,0,0.0
P09,JIG8,3,TOP,3,220,220.0,0.09849999999999999,0.014315379841275603,1,0.3333333333333333
P09,JIG8,3,TOP,4,33,33.0,0.09797666666666667,0.010936842932644382,1,0.3333333333333333
P09,JIG8,3,TOP,5,101,101.0,0.09788666666666668,0.010594339683686442,1,0.3333333333333333
P09,JIG8,3,BOTTOM,1,107,107.0,-0.10257666666666666,0.009925166665267307,1,0.3333333333333333
P09,JIG8,3,BOTTOM,2,179,179.0,-0.10167666666666668,0.013196580365129952,1,0.3333333333333333
P09,JIG8,3,BOTTOM,3,60,60.0,-0.10060000000000001,0.020463140032751573,2,0.6666666666666666
P09,JIG8,3,BOTTOM,4,357,357.0,-0.09998666666666667,0.004723688530516519,0,0.0
P09,JIG8,3,BOTTOM,5,187,187.0,-0.09983333333333333,0.009941480439719898,0,0.0
