motor,config,n_config,n_baseline,effective_weight,max_order,rmse_deg,r2,aicc,bic,max_abs_residual_deg,top10pct_residual_energy_fraction
P011,path1,3,10,2.3076923076923075,1,0.13246339051686984,0.761313058083515,-1449.3758424673924,-1437.784946103379,0.32007102871911597,0.4053848331917098
P011,path1,3,10,2.3076923076923075,2,0.11097081710032619,0.8324846944009154,-1572.7418837691796,-1553.4808551373526,0.22534777098214276,0.31720441130932175
P011,path1,3,10,2.3076923076923075,3,0.07910765426276706,0.9148717040782581,-1812.2826804058288,-1785.3981340038595,0.2303903409912371,0.4106000183987563
P011,path1,3,10,2.3076923076923075,4,0.04888959055169016,0.9674860505317988,-2154.5830739527873,-2120.1224233840217,0.1567556029664196,0.5135916930403082
P011,path1,3,10,2.3076923076923075,5,0.04726274738895358,0.9696139076438024,-2174.7050496116553,-2132.716525955359,0.14299267359313916,0.4868871439796201
P011,path1,3,10,2.3076923076923075,6,0.04088078461967502,0.9772660253492739,-2274.856477700424,-2225.389148412959,0.13400457843876623,0.4289873536869205
P011,path1,3,10,2.3076923076923075,12,0.0236576987581659,0.9923865426147234,-2641.8357998852557,-2548.575414667864,0.08087141367885275,0.4554664181315097
P011,path1,3,10,2.3076923076923075,18,0.02161052948417742,0.9936471625705486,-2678.160797749757,-2543.10786784076,0.07376040186165234,0.4592812720629465
P011,path2_new,3,10,2.3076923076923075,1,0.08208285804688611,0.7266911734950425,-1793.9513603623825,-1782.3604639983691,0.2538775178302486,0.46423237022763664
P011,path2_new,3,10,2.3076923076923075,2,0.07525737285230762,0.7702545997966688,-1852.356317949811,-1833.095289317984,0.21908372908081833,0.5023276049992943
P011,path2_new,3,10,2.3076923076923075,3,0.07364842886153661,0.7799731450938808,-1863.7675957169863,-1836.883049315017,0.20443929069245165,0.4556734996164386
P011,path2_new,3,10,2.3076923076923075,4,0.05393579455290303,0.8819943287112967,-2083.8575835890992,-2049.3969330203336,0.19148734810750853,0.4696451305173153
P011,path2_new,3,10,2.3076923076923075,5,0.052511606400048545,0.8881439893263233,-2098.880542172837,-2056.8920185165407,0.2031404177932415,0.45725531590394447
P011,path2_new,3,10,2.3076923076923075,6,0.05152763461214774,0.892296670030497,-2108.2066318669326,-2058.7393025794677,0.2003196460779266,0.44012603076379914
P011,path2_new,3,10,2.3076923076923075,12,0.029988458925296207,0.963519816454243,-2471.1065095866456,-2377.846124369254,0.11658708036856136,0.4816386613529926
