Motor,Path,OpenLoopNL_MaxMinDeg,RobustP2P_Top5Bottom5Deg,MeanPos_minus_MeanNeg_Deg,MeanPosDeg,MeanNegDeg,NPosPoints,NNegPoints
P011,path1,3.38943958282471,3.055832862854,1.24995885462914,0.455165183801445,-0.794793670827692,139,220
P011,path2,3.03770542144775,2.79022979736328,1.22909326093859,0.501605021725794,-0.727488239212791,157,202
P08,path1,2.97572135925293,2.84643745422363,1.26567865416232,0.760988719026807,-0.504689935135515,213,146
P08,path2,3.15874099731445,2.93365859985352,1.28087146725594,0.746359305806679,-0.534512161449262,202,157
P010,path1,3.72076034545898,3.57535743713379,1.3778534517041,0.663776280689825,-0.71407717101428,163,196
P010,path2,3.29174995422363,3.13237953186035,1.33655659779704,0.770297286534073,-0.566259311262969,202,157
P013,path1,2.86980628967285,2.71267318725586,1.2167694874008,0.548909368690538,-0.667860118710265,163,196
P013,path2,2.63740539550781,2.55536842346191,1.20237449749289,0.688047560434493,-0.514326937058393,189,170
P03,path1,2.8073787689209,2.71863555908203,1.23475845823897,0.804033279418945,-0.430725178820022,218,141
P03,path2,2.91260719299316,2.66122627258301,1.23458307681096,0.688306874242322,-0.546276202568641,203,156
