motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,JIG1,10,TOP,1,334,334.0,1.5239319999999998,0.04221073212663654,10,1.0
P03,JIG1,10,TOP,2,254,254.0,1.46034,0.0760133663684662,10,1.0
P03,JIG1,10,TOP,3,294,294.0,1.453341,0.027915453088049824,10,1.0
P03,JIG1,10,TOP,4,333,333.0,1.3769680000000002,0.026380340238729143,10,1.0
P03,JIG1,10,TOP,5,293,293.0,1.331962,0.016440892649461334,6,0.6
P03,JIG1,10,BOTTOM,1,187,187.0,-1.272016,0.040772567084581116,10,1.0
P03,JIG1,10,BOTTOM,2,107,107.0,-1.2367219999999999,0.04102849790084934,10,1.0
P03,JIG1,10,BOTTOM,3,186,186.0,-1.186611,0.04127196047089488,9,0.9
P03,JIG1,10,BOTTOM,4,147,147.0,-1.174344,0.01928096539768344,10,1.0
P03,JIG1,10,BOTTOM,5,106,106.0,-1.168701,0.06209596595414051,7,0.7
P03,JIG4,10,TOP,1,334,334.0,1.750791,0.026111687655573347,10,1.0
P03,JIG4,10,TOP,2,294,294.0,1.703427,0.042445264897538595,10,1.0
P03,JIG4,10,TOP,3,254,254.0,1.6290300000000002,0.03451123456370563,10,1.0
P03,JIG4,10,TOP,4,333,333.0,1.582173,0.030693855356840802,10,1.0
P03,JIG4,10,TOP,5,293,293.0,1.568881,0.04687946611612952,8,0.8
P03,JIG4,10,BOTTOM,1,27,27.0,-1.206165,0.0399517114777327,10,1.0
P03,JIG4,10,BOTTOM,2,26,26.0,-1.086426,0.05402418413184144,10,1.0
P03,JIG4,10,BOTTOM,3,28,28.0,-1.026377,0.029592974410228613,10,1.0
P03,JIG4,10,BOTTOM,4,107,107.0,-0.9718709999999999,0.03508697525040057,10,1.0
P03,JIG4,10,BOTTOM,5,67,67.0,-0.949666,0.03300407826651462,7,0.7
P03,JIG5,10,TOP,1,304,304.0,1.836374,0.022796729395049425,10,1.0
P03,JIG5,10,TOP,2,324,324.0,1.7959530000000001,0.024738302308588436,10,1.0
P03,JIG5,10,TOP,3,344,344.0,1.7317799999999999,0.020400373634922617,10,1.0
P03,JIG5,10,TOP,4,284,284.0,1.693551,0.01758935059757592,10,1.0
P03,JIG5,10,TOP,5,303,303.0,1.6436799999999998,0.030380820704297398,5,0.5
P03,JIG5,10,BOTTOM,1,76,76.0,-1.6497890000000002,0.020906261395944415,10,1.0
P03,JIG5,10,BOTTOM,2,77,77.0,-1.611747,0.02359578778322752,10,1.0
P03,JIG5,10,BOTTOM,3,56,56.0,-1.599064,0.019631291461451157,10,1.0
P03,JIG5,10,BOTTOM,4,57,57.0,-1.5425419999999999,0.01928593142970053,10,1.0
P03,JIG5,10,BOTTOM,5,96,96.0,-1.448545,0.015746066351808502,10,1.0
P03,JIG6,10,TOP,1,334,334.0,1.820911,0.021750545050641862,10,1.0
P03,JIG6,10,TOP,2,294,294.0,1.7880610000000001,0.02764751001446601,10,1.0
P03,JIG6,10,TOP,3,254,254.0,1.6811479999999999,0.024821989713424152,10,1.0
P03,JIG6,10,TOP,4,293,293.0,1.661793,0.014614993860948272,10,1.0
P03,JIG6,10,TOP,5,333,333.0,1.657356,0.019985805073712816,9,0.9
P03,JIG6,10,BOTTOM,1,27,27.0,-1.175252,0.025219850559077904,10,1.0
P03,JIG6,10,BOTTOM,2,26,26.0,-1.111511,0.040765573833812276,10,1.0
P03,JIG6,10,BOTTOM,3,67,67.0,-1.004512,0.030903746914141883,9,0.9
P03,JIG6,10,BOTTOM,4,107,107.0,-0.980707,0.019003779770234035,10,1.0
P03,JIG6,10,BOTTOM,5,106,106.0,-0.963965,0.029253682104423494,5,0.5
