motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,JIG1,10,1,geometric,0.1908106276680614,0.001898439820482078
P03,JIG1,10,2,geometric,0.12195969981873336,0.0014033457477624861
P03,JIG1,10,3,motor,0.0367393743447533,0.0013448706333039466
P03,JIG1,10,4,geometric,0.05711954620178137,0.001133749839526886
P03,JIG1,10,6,motor,0.008629501647689834,0.0015640119993840336
P03,JIG1,10,8,geometric,0.012051107716072566,0.0017687556738327993
P03,JIG1,10,9,motor,0.1737256419197935,0.0009363402475157477
P03,JIG1,10,12,motor,0.04777587190141903,0.014167642642101658
P03,JIG1,10,18,motor,0.11181547946926244,0.0023103032662267564
P03,JIG1,10,27,motor,0.02707982218399786,0.0008968868303819981
P03,JIG1,10,36,motor,0.8998881710494068,0.00471854423653393
P03,JIG1,10,45,motor,0.047943843135157004,0.0026048388582157406
P03,JIG1,10,72,motor,0.1944133857925467,0.0013715121073349182
P03,JIG1,10,108,motor,0.1150343190112858,0.0017120229882871638
P03,JIG4,10,1,geometric,0.21400454646187908,0.0019204578504644204
P03,JIG4,10,2,geometric,0.15616097113071453,0.0014212670451126611
P03,JIG4,10,3,motor,0.056915317895944194,0.0009335202083343497
P03,JIG4,10,4,geometric,0.05195991485049832,0.0009325547855574713
P03,JIG4,10,6,motor,0.0031929522213603708,0.0011773068563531142
P03,JIG4,10,8,geometric,0.006648155958175697,0.001000776030546888
P03,JIG4,10,9,motor,0.16419037046160836,0.0008701785450372287
P03,JIG4,10,12,motor,0.06065844185097545,0.00780052694292001
P03,JIG4,10,18,motor,0.10859666038271461,0.0009633848711713167
P03,JIG4,10,27,motor,0.03182506231901828,0.0014353119738086454
P03,JIG4,10,36,motor,0.9090601642980461,0.004326185952149465
P03,JIG4,10,45,motor,0.04876797021202793,0.0036954146960463743
P03,JIG4,10,72,motor,0.19036003450230438,0.0015508692178655557
P03,JIG4,10,108,motor,0.106463366095115,0.003431231829935085
P03,JIG5,10,1,geometric,0.40695524885662004,0.007052047092295885
P03,JIG5,10,2,geometric,0.27021339060292165,0.005505470157254748
P03,JIG5,10,3,motor,0.04178917147172388,0.0014878254552484049
P03,JIG5,10,4,geometric,0.004108824092758734,0.0018166817175037761
P03,JIG5,10,6,motor,0.010905765516870284,0.0014687215000469753
P03,JIG5,10,8,geometric,0.005818287920075346,0.0012961407702041549
P03,JIG5,10,9,motor,0.04346829707499445,0.0019250581632417978
P03,JIG5,10,12,motor,0.01985115128958618,0.0013706740784355448
P03,JIG5,10,18,motor,0.4252161732754334,0.0016533331070558552
P03,JIG5,10,27,motor,0.00660427088649629,0.0015849701038819432
P03,JIG5,10,36,motor,0.8208415481477409,0.0028223444022640706
P03,JIG5,10,45,motor,0.02050115349857364,0.0010495709255707968
P03,JIG5,10,72,motor,0.14127898203810624,0.0013804174880354264
P03,JIG5,10,108,motor,0.0731399358075632,0.0012141659547167812
P03,JIG6,10,1,geometric,0.26032330298110873,0.009644178336263505
P03,JIG6,10,2,geometric,0.1642978918516565,0.0011159493155897685
P03,JIG6,10,3,motor,0.056764063384237874,0.0010185880678244654
P03,JIG6,10,4,geometric,0.059623821610959284,0.0016108232820553575
P03,JIG6,10,6,motor,0.008520446440579237,0.0008095943745334533
P03,JIG6,10,8,geometric,0.00717534857636809,0.0012104838565385626
P03,JIG6,10,9,motor,0.1672885326493563,0.0016788108597966288
P03,JIG6,10,12,motor,0.043641719065177456,0.0022152053638727297
P03,JIG6,10,18,motor,0.11274195187033953,0.001664849303460312
P03,JIG6,10,27,motor,0.02764335306811675,0.0016052124303349762
P03,JIG6,10,36,motor,0.8971774785212558,0.0019485211122668693
P03,JIG6,10,45,motor,0.048774674532517534,0.003311354734291888
P03,JIG6,10,72,motor,0.19634145470162262,0.0021974146178491125
P03,JIG6,10,108,motor,0.12361572308508303,0.0016061731946899079
