motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,JIG4_batch001,10,1,geometric,0.14706201285210438,0.0019528780816992605
P03,JIG4_batch001,10,2,geometric,0.17740249755456686,0.0007362903003990463
P03,JIG4_batch001,10,3,motor,0.05731592752480154,0.0008349473157757971
P03,JIG4_batch001,10,4,geometric,0.059630841932476863,0.0012652818040263113
P03,JIG4_batch001,10,6,motor,0.0032966432541648278,0.0014822109780471364
P03,JIG4_batch001,10,8,geometric,0.005898263779294349,0.0010236992942251903
P03,JIG4_batch001,10,9,motor,0.1641465617831856,0.0011181882003032757
P03,JIG4_batch001,10,12,motor,0.03887043202437287,0.0005580387131871171
P03,JIG4_batch001,10,18,motor,0.10720433914905311,0.0008163987199166475
P03,JIG4_batch001,10,27,motor,0.03324940384899326,0.001453253152822805
P03,JIG4_batch001,10,36,motor,0.9036985924177527,0.001595920099211462
P03,JIG4_batch001,10,45,motor,0.048505076841021635,0.003088266648394196
P03,JIG4_batch001,10,72,motor,0.19131957690975762,0.002011225913795317
P03,JIG4_batch001,10,108,motor,0.11324670599286428,0.001879910975645932
P03,JIG4_batch002,10,1,geometric,0.14914551901425668,0.002323972072627918
P03,JIG4_batch002,10,2,geometric,0.17777713407411486,0.0012346199550246262
P03,JIG4_batch002,10,3,motor,0.05832943139511162,0.0015843983043608355
P03,JIG4_batch002,10,4,geometric,0.05730064488559011,0.0013519876193420256
P03,JIG4_batch002,10,6,motor,0.0032217956413245993,0.001045272563446195
P03,JIG4_batch002,10,8,geometric,0.004286593236503924,0.0011116700317123187
P03,JIG4_batch002,10,9,motor,0.1644888194416674,0.0015198309464270708
P03,JIG4_batch002,10,12,motor,0.035406519096908194,0.0016157700603437676
P03,JIG4_batch002,10,18,motor,0.10870483914271875,0.0016957421192983393
P03,JIG4_batch002,10,27,motor,0.03270442202315573,0.0019065706562911228
P03,JIG4_batch002,10,36,motor,0.9024910097506297,0.0006799377024738075
P03,JIG4_batch002,10,45,motor,0.04777998734156668,0.0019488249721054537
P03,JIG4_batch002,10,72,motor,0.191434706134678,0.0019524390328668748
P03,JIG4_batch002,10,108,motor,0.11372704752233638,0.0021659623611186138
P03,JIG5-remount02,3,1,geometric,0.20577201056588731,0.0017648158903175032
P03,JIG5-remount02,3,2,geometric,0.163900187124827,0.00011867240219528962
P03,JIG5-remount02,3,3,motor,0.034574378299523374,0.0003685782196849078
P03,JIG5-remount02,3,4,geometric,0.07610864792137899,0.002605964358220944
P03,JIG5-remount02,3,6,motor,0.013507222614819145,0.0006580494777498236
P03,JIG5-remount02,3,8,geometric,0.011826415349087592,0.0005202664847447851
P03,JIG5-remount02,3,9,motor,0.17440012516375522,0.0007501531026475023
P03,JIG5-remount02,3,12,motor,0.024892011115671315,0.0007492833036446766
P03,JIG5-remount02,3,18,motor,0.11189812609983125,0.000940751273903874
P03,JIG5-remount02,3,27,motor,0.025755560050233203,0.0007703653479691879
P03,JIG5-remount02,3,36,motor,0.8909450661006201,0.0006962835865510288
P03,JIG5-remount02,3,45,motor,0.045762752776672445,0.004025667405951194
P03,JIG5-remount02,3,72,motor,0.19592796102371188,0.0009668347703009484
P03,JIG5-remount02,3,108,motor,0.11663612575870302,0.0012273390514436783
