motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,112833_UNKNOWN_JIG1,3,TOP,1,294,294.0,1.7764199999999999,0.026319202115565796,3,1.0
P03,112833_UNKNOWN_JIG1,3,TOP,2,254,254.0,1.7585666666666668,0.009724614816707739,3,1.0
P03,112833_UNKNOWN_JIG1,3,TOP,3,244,244.0,1.6276466666666665,0.06442528721964179,2,0.6666666666666666
P03,112833_UNKNOWN_JIG1,3,TOP,4,253,253.0,1.621063333333333,0.02550557847478339,3,1.0
P03,112833_UNKNOWN_JIG1,3,TOP,5,293,293.0,1.6183266666666665,0.014282928037812618,3,1.0
P03,112833_UNKNOWN_JIG1,3,BOTTOM,1,106,106.0,-0.9932500000000001,0.08255911397295877,2,0.6666666666666666
P03,112833_UNKNOWN_JIG1,3,BOTTOM,2,187,187.0,-0.97809,0.02861861806586759,3,1.0
P03,112833_UNKNOWN_JIG1,3,BOTTOM,3,346,346.0,-0.9765133333333335,0.021627797699565545,3,1.0
P03,112833_UNKNOWN_JIG1,3,BOTTOM,4,347,347.0,-0.9758,0.00645547054830242,3,1.0
P03,112833_UNKNOWN_JIG1,3,BOTTOM,5,107,107.0,-0.95823,0.02605032053545599,3,1.0
P03,JIG4_batch001,10,TOP,1,334,334.0,1.712051,0.028225118226304916,10,1.0
P03,JIG4_batch001,10,TOP,2,294,294.0,1.7057949999999997,0.06447990716322236,10,1.0
P03,JIG4_batch001,10,TOP,3,254,254.0,1.562256,0.031329296619405096,10,1.0
P03,JIG4_batch001,10,TOP,4,333,333.0,1.5532569999999999,0.030164953929279526,10,1.0
P03,JIG4_batch001,10,TOP,5,293,293.0,1.544326,0.03401975902978217,9,0.9
P03,JIG4_batch001,10,BOTTOM,1,27,27.0,-1.1791719999999999,0.03366542631378502,10,1.0
P03,JIG4_batch001,10,BOTTOM,2,26,26.0,-1.0954460000000001,0.0553843700775669,10,1.0
P03,JIG4_batch001,10,BOTTOM,3,28,28.0,-0.991746,0.0324473892803583,10,1.0
P03,JIG4_batch001,10,BOTTOM,4,7,7.0,-0.9367979999999999,0.0395681445385328,10,1.0
P03,JIG4_batch001,10,BOTTOM,5,67,67.0,-0.9068950000000001,0.0339831393651486,6,0.6
P03,JIG4_batch002,10,TOP,1,294,294.0,1.707055,0.030572491357064413,10,1.0
P03,JIG4_batch002,10,TOP,2,334,334.0,1.6873580000000001,0.04181312042887976,10,1.0
P03,JIG4_batch002,10,TOP,3,333,333.0,1.558268,0.028902921728511218,10,1.0
P03,JIG4_batch002,10,TOP,4,293,293.0,1.549021,0.024777088632668542,10,1.0
P03,JIG4_batch002,10,TOP,5,254,254.0,1.54549,0.05417602811412276,9,0.9
P03,JIG4_batch002,10,BOTTOM,1,27,27.0,-1.177858,0.03970512975534636,10,1.0
P03,JIG4_batch002,10,BOTTOM,2,26,26.0,-1.086371,0.0317823030596868,10,1.0
P03,JIG4_batch002,10,BOTTOM,3,28,28.0,-0.9944470000000001,0.03782826781066715,10,1.0
P03,JIG4_batch002,10,BOTTOM,4,7,7.0,-0.937792,0.037182232853877915,8,0.8
P03,JIG4_batch002,10,BOTTOM,5,106,106.0,-0.908395,0.042173690653455206,3,0.3
P03,JIG5-remount02,3,TOP,1,254,254.0,1.8201666666666665,0.02228127988544042,3,1.0
P03,JIG5-remount02,3,TOP,2,294,294.0,1.7610066666666668,0.0286726181806499,3,1.0
P03,JIG5-remount02,3,TOP,3,253,253.0,1.6781433333333335,0.00751378289101651,2,0.6666666666666666
P03,JIG5-remount02,3,TOP,4,244,244.0,1.6528933333333333,0.03598948920634101,3,1.0
P03,JIG5-remount02,3,TOP,5,293,293.0,1.6517033333333335,0.03928851910333772,2,0.6666666666666666
P03,JIG5-remount02,3,BOTTOM,1,187,187.0,-0.96127,0.01808577064987836,3,1.0
P03,JIG5-remount02,3,BOTTOM,2,347,347.0,-0.9431266666666667,0.03266205800823543,2,0.6666666666666666
P03,JIG5-remount02,3,BOTTOM,3,346,346.0,-0.9357700000000001,0.012166918262238775,3,1.0
P03,JIG5-remount02,3,BOTTOM,4,107,107.0,-0.9307833333333333,0.022814855540487945,3,1.0
P03,JIG5-remount02,3,BOTTOM,5,186,186.0,-0.9207766666666667,0.0012273684586681358,3,1.0
