motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,JIG4-B,3,1,geometric,0.13698768964914224,0.002102082051050064
P03,JIG4-B,3,2,geometric,0.15649119217378774,0.0015009028845770493
P03,JIG4-B,3,3,motor,0.06507825047892878,0.00506593979607388
P03,JIG4-B,3,4,geometric,0.05179334095203284,0.0010923108570292832
P03,JIG4-B,3,6,motor,0.0029749061139028635,0.0021899751746992575
P03,JIG4-B,3,8,geometric,0.00611736797260767,0.0007846204041955814
P03,JIG4-B,3,9,motor,0.16290312026569528,0.0006629170582554868
P03,JIG4-B,3,12,motor,0.03982539656058807,0.0002406172590547027
P03,JIG4-B,3,18,motor,0.1067508858552323,0.0013937367092500667
P03,JIG4-B,3,27,motor,0.033325305416042374,0.001607797964139315
P03,JIG4-B,3,36,motor,0.9059470674091598,0.0018891691743383112
P03,JIG4-B,3,45,motor,0.047686609915574385,0.004078231970109463
P03,JIG4-B,3,72,motor,0.19108978317902478,0.0024200883845492366
P03,JIG4-B,3,108,motor,0.11192326406079169,0.0006696553721783409
P03,JIG4-test-1,3,1,geometric,0.06873995903431847,0.0007060981018291824
P03,JIG4-test-1,3,2,geometric,0.1299593429200997,0.0007165764097703679
P03,JIG4-test-1,3,3,motor,0.05217229414240323,0.0011589383850189937
P03,JIG4-test-1,3,4,geometric,0.05099924251315988,0.0008727194636701522
P03,JIG4-test-1,3,6,motor,0.018508951582019068,0.00030791241694006014
P03,JIG4-test-1,3,8,geometric,0.010676748876925954,0.0014657071872537875
P03,JIG4-test-1,3,9,motor,0.1671941213950524,0.0008373580237821099
P03,JIG4-test-1,3,12,motor,0.039953944099777476,0.01580780777706287
P03,JIG4-test-1,3,18,motor,0.11434771159931277,0.0005889792243271043
P03,JIG4-test-1,3,27,motor,0.03401185483686953,0.001694722887503191
P03,JIG4-test-1,3,36,motor,0.9104191121257844,0.0025959127233086492
P03,JIG4-test-1,3,45,motor,0.04844954923942668,0.006078783148172397
P03,JIG4-test-1,3,72,motor,0.19194016138703765,0.0007740953511807314
P03,JIG4-test-1,3,108,motor,0.11233035702686318,0.0011075624885680281
P03,S1-P03-JIG1,9,1,geometric,0.17396682059832164,0.004406691189073841
P03,S1-P03-JIG1,9,2,geometric,0.13592851751989082,0.006727146953384969
P03,S1-P03-JIG1,9,3,motor,0.0359815643226262,0.001376173879269056
P03,S1-P03-JIG1,9,4,geometric,0.049034375197892076,0.0018943212670542572
P03,S1-P03-JIG1,9,6,motor,0.008942798673493367,0.0013534356801931345
P03,S1-P03-JIG1,9,8,geometric,0.012874284475230235,0.0010772365218987888
P03,S1-P03-JIG1,9,9,motor,0.1733891441772636,0.0015313840265961224
P03,S1-P03-JIG1,9,12,motor,0.03466372076263838,0.005030584134857664
P03,S1-P03-JIG1,9,18,motor,0.11172165598016173,0.0013739563648194595
P03,S1-P03-JIG1,9,27,motor,0.02738752219313982,0.0010624341376487027
P03,S1-P03-JIG1,9,36,motor,0.8984925102102671,0.0039936279051672186
P03,S1-P03-JIG1,9,45,motor,0.047399990703885946,0.003151345524435255
P03,S1-P03-JIG1,9,72,motor,0.19239648528540948,0.0011351652690748156
P03,S1-P03-JIG1,9,108,motor,0.11248610798823136,0.002106751609836048
