motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,JIG1-remount01-test-2,JIG1-remount02-test-2,360,3,3,0.9988008106004579,0.0,0,0.9988008106004579,10.0,0.8740841015085139,0.12471670909194399,1,0.036600429244541495,0.036600429244541495,2.321149333333333,2.3599580000000002,0.03880866666666716,-0.8711926666666668,-0.8598673333333332,0.011325333333333631,3.192342,3.2198253333333335,0.027483333333333526,0.0,0.0,0.0,0.0
P05,JIG1-remount01-test-2,JIG1-remount03-test-2,360,3,3,0.9988733141011943,0.0,0,0.9988733141011943,40.0,0.8813551015108853,0.11751821259030903,1,0.03677023575137708,0.03677023575137708,2.321149333333333,2.2335499999999997,-0.08759933333333336,-0.8711926666666668,-0.902034,-0.030841333333333165,3.192342,3.1355839999999997,-0.05675800000000031,8.0,29.0,0.0,0.0
P05,JIG1-remount01-test-2,JIG4-remount01-test-2,360,3,3,0.8760757198805182,40.0,40,0.9015762454973328,0.0,0.8760757198805182,0.025500525616814596,1,0.3826912800934559,0.3415193400071958,2.321149333333333,1.6563353333333335,-0.6648139999999996,-0.8711926666666668,-1.6444340000000002,-0.7732413333333333,3.192342,3.3007693333333337,0.10842733333333365,13.8,39.0,87.6,159.0
P05,JIG1-remount01-test-2,JIG4-remount02-test-2,360,3,3,0.8593919394848433,40.0,40,0.8935867297542596,0.0,0.8593919394848433,0.0341947902694163,1,0.4083398126446988,0.35583915439062647,2.321149333333333,1.5952353333333333,-0.7259139999999997,-0.8711926666666668,-1.7049246666666669,-0.833732,3.192342,3.30016,0.10781799999999997,21.8,69.0,87.6,159.0
P05,JIG1-remount01-test-2,JIG4-remount03-test-2,360,3,3,0.8476537645899302,40.0,40,0.8921327585942794,0.0,0.8476537645899302,0.04447899400434918,1,0.42426493846498586,0.35766528664401115,2.321149333333333,1.5718133333333333,-0.7493359999999998,-0.8711926666666668,-1.7478073333333335,-0.8766146666666667,3.192342,3.3196206666666668,0.12727866666666676,15.6,39.0,87.6,159.0
P05,JIG1-remount01-test-2,JIG5-remount01-test-1,360,3,3,0.9885978020959604,0.0,0,0.9885978020959604,40.0,0.8747393875867445,0.11385841450921586,1,0.11251483807140193,0.11251483807140193,2.321149333333333,2.024243333333333,-0.2969059999999999,-0.8711926666666668,-1.085246,-0.2140533333333331,3.192342,3.1094893333333333,-0.08285266666666669,0.0,0.0,56.0,159.0
P05,JIG1-remount02-test-2,JIG1-remount03-test-2,360,3,3,0.9982313369915963,0.0,0,0.9982313369915963,40.0,0.877484188590226,0.12074714840137024,1,0.04591825288649547,0.04591825288649547,2.3599580000000002,2.2335499999999997,-0.12640800000000052,-0.8598673333333332,-0.902034,-0.0421666666666668,3.2198253333333335,3.1355839999999997,-0.08424133333333383,8.0,29.0,0.0,0.0
P05,JIG1-remount02-test-2,JIG4-remount01-test-2,360,3,3,0.8715458074947983,40.0,40,0.8996790860479326,0.0,0.8715458074947983,0.0281332785531343,1,0.3898764619214143,0.3449900719269147,2.3599580000000002,1.6563353333333335,-0.7036226666666667,-0.8598673333333332,-1.6444340000000002,-0.784566666666667,3.2198253333333335,3.3007693333333337,0.08094400000000013,13.8,39.0,87.6,159.0
P05,JIG1-remount02-test-2,JIG4-remount02-test-2,360,3,3,0.8546484910818904,40.0,40,0.8917069564844365,0.0,0.8546484910818904,0.03705846540254609,1,0.415458501188316,0.3591756082257443,2.3599580000000002,1.5952353333333333,-0.7647226666666669,-0.8598673333333332,-1.7049246666666669,-0.8450573333333337,3.2198253333333335,3.30016,0.08033466666666644,21.8,69.0,87.6,159.0
P05,JIG1-remount02-test-2,JIG4-remount03-test-2,360,3,3,0.8427613236486493,40.0,40,0.8903269058805414,0.0,0.8427613236486493,0.04756558223189211,1,0.43136023240807375,0.3608729966815886,2.3599580000000002,1.5718133333333333,-0.7881446666666669,-0.8598673333333332,-1.7478073333333335,-0.8879400000000003,3.2198253333333335,3.3196206666666668,0.09979533333333324,15.6,39.0,87.6,159.0
