motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,JIG1-remount01-test-2,3,TOP,1,264,264.0,2.3821,0.01802364280604788,3,1.0
P05,JIG1-remount01-test-2,3,TOP,2,263,263.0,2.3492200000000003,0.027083986043416886,3,1.0
P05,JIG1-remount01-test-2,3,TOP,3,254,254.0,2.3335966666666668,0.011766963641200615,3,1.0
P05,JIG1-remount01-test-2,3,TOP,4,294,294.0,2.2716866666666666,0.01849438383221619,3,1.0
P05,JIG1-remount01-test-2,3,TOP,5,253,253.0,2.2691433333333335,0.01954873226921207,3,1.0
P05,JIG1-remount01-test-2,3,BOTTOM,1,356,356.0,-0.9509066666666667,0.037975984955407466,3,1.0
P05,JIG1-remount01-test-2,3,BOTTOM,2,357,357.0,-0.9124966666666667,0.04236457285673176,3,1.0
P05,JIG1-remount01-test-2,3,BOTTOM,3,196,196.0,-0.8722966666666666,0.007818582565486724,3,1.0
P05,JIG1-remount01-test-2,3,BOTTOM,4,197,197.0,-0.8236733333333334,0.02490216322597966,3,1.0
P05,JIG1-remount01-test-2,3,BOTTOM,5,156,156.0,-0.79659,0.020870380926087555,3,1.0
P05,JIG1-remount02-test-2,3,TOP,1,263,263.0,2.3947766666666666,0.007212228042244135,3,1.0
P05,JIG1-remount02-test-2,3,TOP,2,264,264.0,2.3925966666666665,0.01465063252331908,3,1.0
P05,JIG1-remount02-test-2,3,TOP,3,254,254.0,2.3841966666666665,0.013597008249366167,3,1.0
P05,JIG1-remount02-test-2,3,TOP,4,294,294.0,2.3214733333333335,0.021821833867329696,3,1.0
P05,JIG1-remount02-test-2,3,TOP,5,253,253.0,2.3067466666666667,0.009512398926313673,3,1.0
P05,JIG1-remount02-test-2,3,BOTTOM,1,356,356.0,-0.9650466666666667,0.01941591185943458,3,1.0
P05,JIG1-remount02-test-2,3,BOTTOM,2,357,357.0,-0.9390066666666667,0.02334678207662318,3,1.0
P05,JIG1-remount02-test-2,3,BOTTOM,3,156,156.0,-0.8285133333333333,0.02693123898622817,3,1.0
P05,JIG1-remount02-test-2,3,BOTTOM,4,196,196.0,-0.7811866666666667,0.04090733960224414,2,0.6666666666666666
P05,JIG1-remount02-test-2,3,BOTTOM,5,197,197.0,-0.77879,0.02662288301442951,3,1.0
P05,JIG1-remount03-test-2,3,TOP,1,264,264.0,2.293416666666667,0.03406416347620088,3,1.0
P05,JIG1-remount03-test-2,3,TOP,2,263,263.0,2.260336666666667,0.03583373317606357,3,1.0
P05,JIG1-remount03-test-2,3,TOP,3,254,254.0,2.2332566666666667,0.04197291666459842,3,1.0
P05,JIG1-remount03-test-2,3,TOP,4,294,294.0,2.214843333333333,0.04256692651969762,3,1.0
P05,JIG1-remount03-test-2,3,TOP,5,293,293.0,2.165896666666667,0.037073443774935974,3,1.0
P05,JIG1-remount03-test-2,3,BOTTOM,1,356,356.0,-0.9508666666666666,0.04932344912243394,3,1.0
P05,JIG1-remount03-test-2,3,BOTTOM,2,357,357.0,-0.91276,0.03318737862501343,3,1.0
P05,JIG1-remount03-test-2,3,BOTTOM,3,196,196.0,-0.90745,0.041501304798765036,3,1.0
P05,JIG1-remount03-test-2,3,BOTTOM,4,197,197.0,-0.8754866666666666,0.03917732039501083,3,1.0
P05,JIG1-remount03-test-2,3,BOTTOM,5,156,156.0,-0.8636066666666666,0.0261994128432935,3,1.0
P05,JIG4-remount01-test-2,3,TOP,1,304,304.0,1.7178933333333333,0.03588783405742589,3,1.0
P05,JIG4-remount01-test-2,3,TOP,2,303,303.0,1.6814166666666666,0.02753350020127002,3,1.0
P05,JIG4-remount01-test-2,3,TOP,3,254,254.0,1.6282133333333333,0.05657773089593935,3,1.0
P05,JIG4-remount01-test-2,3,TOP,4,264,264.0,1.62549,0.026430000000000065,3,1.0
P05,JIG4-remount01-test-2,3,TOP,5,334,334.0,1.6210733333333334,0.022221026828959458,2,0.6666666666666666
P05,JIG4-remount01-test-2,3,BOTTOM,1,77,77.0,-1.7434066666666668,0.03992241266924298,3,1.0
P05,JIG4-remount01-test-2,3,BOTTOM,2,76,76.0,-1.7412733333333332,0.03799016495533202,3,1.0
P05,JIG4-remount01-test-2,3,BOTTOM,3,36,36.0,-1.6049,0.04404609290277621,3,1.0
P05,JIG4-remount01-test-2,3,BOTTOM,4,37,37.0,-1.5953366666666666,0.020141574748100785,3,1.0
P05,JIG4-remount01-test-2,3,BOTTOM,5,78,78.0,-1.5372533333333334,0.0365021346407759,3,1.0
P05,JIG4-remount02-test-2,3,TOP,1,304,304.0,1.66083,0.00650740347604178,3,1.0
P05,JIG4-remount02-test-2,3,TOP,2,303,303.0,1.5983666666666665,0.010987380640231451,3,1.0
P05,JIG4-remount02-test-2,3,TOP,3,334,334.0,1.5889466666666667,0.02493310516829652,3,1.0
P05,JIG4-remount02-test-2,3,TOP,4,254,254.0,1.5815233333333332,0.025391920631045915,3,1.0
P05,JIG4-remount02-test-2,3,TOP,5,224,224.0,1.541953333333333,0.008689173340044116,1,0.3333333333333333
P05,JIG4-remount02-test-2,3,BOTTOM,1,76,76.0,-1.8186466666666667,0.007176143346765949,3,1.0
P05,JIG4-remount02-test-2,3,BOTTOM,2,77,77.0,-1.80764,0.014672855891066308,3,1.0
P05,JIG4-remount02-test-2,3,BOTTOM,3,37,37.0,-1.6392433333333336,0.013682698320628673,3,1.0
