motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,1,geometric,0.30432348049346003,0.0011087362984537805
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,2,geometric,0.1501077538309649,0.0003544226754660054
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,3,motor,0.06388423986809086,0.0034497281106326554
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,4,geometric,0.07270641125933763,0.002676953946432909
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,6,motor,0.026999988600227395,0.003602976535755002
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,8,geometric,0.02465135134479779,0.0013701279022344589
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,9,motor,0.279410874056288,0.0012590206644341863
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,12,motor,0.015799561907466054,0.0018279579018652616
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,18,motor,0.10618448800376645,0.0011107086548812048
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,27,motor,0.06654112131522054,0.000703863790706837
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,36,motor,0.8504163906462233,0.00018475516893491753
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,45,motor,0.0767013692936555,0.002063847765350437
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,72,motor,0.16105782574013905,0.00019814150764802156
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,3,108,motor,0.09140166350040851,0.0009809718084416563
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,1,geometric,0.20108798866379407,0.0028865328920020354
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,2,geometric,0.3069189995283897,0.001830010976488713
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,3,motor,0.09424355603016428,0.0007002791462134561
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,4,geometric,0.04765680286709237,0.0005806588529926703
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,6,motor,0.015477289344307948,0.0006298281094367593
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,8,geometric,0.021472932654419585,0.0015719990186124646
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,9,motor,0.28426631889362536,0.0011868826352404323
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,12,motor,0.009765347818759583,0.0022506383891891
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,18,motor,0.10820220262372565,0.0006071293996258554
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,27,motor,0.06728559089040552,0.0017076326187796828
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,36,motor,0.8520334777860414,0.0016568905830057243
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,45,motor,0.078516954330887,0.001535086530014447
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,72,motor,0.1626186289048757,0.001130637445046804
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,3,108,motor,0.0896796168411802,0.0014838050728259256
P05,S1-P05-JIG4-remount01-test-2,3,1,geometric,0.5291219836174728,0.0002722892094219953
P05,S1-P05-JIG4-remount01-test-2,3,2,geometric,0.22179803971636627,0.007332168440317062
P05,S1-P05-JIG4-remount01-test-2,3,3,motor,0.05229749989338642,0.0024586471273174786
P05,S1-P05-JIG4-remount01-test-2,3,4,geometric,0.02129072204967243,0.0015864345506144927
P05,S1-P05-JIG4-remount01-test-2,3,6,motor,0.011195841791265237,0.0008230422643942374
P05,S1-P05-JIG4-remount01-test-2,3,8,geometric,0.012300443088090925,0.00179630864860745
P05,S1-P05-JIG4-remount01-test-2,3,9,motor,0.2793127012116325,0.000516804711420701
P05,S1-P05-JIG4-remount01-test-2,3,12,motor,0.027616290022399393,0.0018185013983467164
P05,S1-P05-JIG4-remount01-test-2,3,18,motor,0.10478436914682342,0.002713230231124271
P05,S1-P05-JIG4-remount01-test-2,3,27,motor,0.07010456296442426,0.0015597572328425987
P05,S1-P05-JIG4-remount01-test-2,3,36,motor,0.8676838750769634,0.0012517555446961398
P05,S1-P05-JIG4-remount01-test-2,3,45,motor,0.07806022256168237,0.0011517815680800838
P05,S1-P05-JIG4-remount01-test-2,3,72,motor,0.16089225844758823,0.0005503797598001255
P05,S1-P05-JIG4-remount01-test-2,3,108,motor,0.08790317522248314,0.00039233121077111274
P05,S1-P05-JIG4-remount02-test-2,3,1,geometric,0.5360167910961319,0.0038298439361386574
P05,S1-P05-JIG4-remount02-test-2,3,2,geometric,0.23951296287549448,0.0015530907409063977
P05,S1-P05-JIG4-remount02-test-2,3,3,motor,0.056794275451472996,0.0013950953871008
P05,S1-P05-JIG4-remount02-test-2,3,4,geometric,0.01865897496776326,0.0014466065541282166
P05,S1-P05-JIG4-remount02-test-2,3,6,motor,0.012116210288071388,0.0006340179877824913
P05,S1-P05-JIG4-remount02-test-2,3,8,geometric,0.013386903881481676,0.0007646082159877691
P05,S1-P05-JIG4-remount02-test-2,3,9,motor,0.27923449008715556,0.000720995138260829
P05,S1-P05-JIG4-remount02-test-2,3,12,motor,0.028690932300123345,0.0015196005589994319
P05,S1-P05-JIG4-remount02-test-2,3,18,motor,0.10477353419796502,0.0014764133677551156
P05,S1-P05-JIG4-remount02-test-2,3,27,motor,0.07054918755704033,0.0010279109661960025
P05,S1-P05-JIG4-remount02-test-2,3,36,motor,0.8636183604956907,0.0007971257922526419
P05,S1-P05-JIG4-remount02-test-2,3,45,motor,0.07804652952774747,0.0007841065515019311
P05,S1-P05-JIG4-remount02-test-2,3,72,motor,0.15945468854075925,0.001115032820993682
P05,S1-P05-JIG4-remount02-test-2,3,108,motor,0.08774971404520526,0.0011518976576572087
P05,S1-P05-JIG4-remount03-test-2,3,1,geometric,0.5255103099617817,0.0015898108343930504
P05,S1-P05-JIG4-remount03-test-2,3,2,geometric,0.26245523400757187,0.0015840517621024325
P05,S1-P05-JIG4-remount03-test-2,3,3,motor,0.05466560085890049,0.0029331577810664563
P05,S1-P05-JIG4-remount03-test-2,3,4,geometric,0.0198609165967541,0.002229992539842044
P05,S1-P05-JIG4-remount03-test-2,3,6,motor,0.01199610895910474,0.0009655821203070939
P05,S1-P05-JIG4-remount03-test-2,3,8,geometric,0.014654195722844687,0.0009582061909096132
P05,S1-P05-JIG4-remount03-test-2,3,9,motor,0.2741430889993023,0.0013509928749774068
P05,S1-P05-JIG4-remount03-test-2,3,12,motor,0.029207537867128708,4.2116135801930954e-05
P05,S1-P05-JIG4-remount03-test-2,3,18,motor,0.10379378971810321,0.0017365673086899148
P05,S1-P05-JIG4-remount03-test-2,3,27,motor,0.07130444793478326,0.0018666602712179242
P05,S1-P05-JIG4-remount03-test-2,3,36,motor,0.8620308498245065,0.0010185061794551194
P05,S1-P05-JIG4-remount03-test-2,3,45,motor,0.07952802183696811,0.0010414618952115774
P05,S1-P05-JIG4-remount03-test-2,3,72,motor,0.16036794340308144,0.0009889969039476104
P05,S1-P05-JIG4-remount03-test-2,3,108,motor,0.08730733954600466,0.0005161002416481349
P05,S2-P05-JIG1-remount01,3,1,geometric,0.24431288661116257,0.00290622430455258
P05,S2-P05-JIG1-remount01,3,2,geometric,0.30532982936509184,0.001686335435595367
P05,S2-P05-JIG1-remount01,3,3,motor,0.09533099650113902,0.0030183009925668055
P05,S2-P05-JIG1-remount01,3,4,geometric,0.04460458620799423,0.0013798178419173483
P05,S2-P05-JIG1-remount01,3,6,motor,0.01372762901352978,0.001991875573072176
P05,S2-P05-JIG1-remount01,3,8,geometric,0.02224765661797019,0.000909958341324272
P05,S2-P05-JIG1-remount01,3,9,motor,0.28067967501097985,0.0014056339307695123
P05,S2-P05-JIG1-remount01,3,12,motor,0.025197389184245685,0.0009509911386833987
P05,S2-P05-JIG1-remount01,3,18,motor,0.10780419855906548,0.0022609085911089177
P05,S2-P05-JIG1-remount01,3,27,motor,0.06805001046417983,0.00035740127620251683
