motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,remount01-test-2,3,TOP,1,264,264.0,2.3821,0.01802364280604788,3,1.0
P05,remount01-test-2,3,TOP,2,263,263.0,2.3492200000000003,0.027083986043416886,3,1.0
P05,remount01-test-2,3,TOP,3,254,254.0,2.3335966666666668,0.011766963641200615,3,1.0
P05,remount01-test-2,3,TOP,4,294,294.0,2.2716866666666666,0.01849438383221619,3,1.0
P05,remount01-test-2,3,TOP,5,253,253.0,2.2691433333333335,0.01954873226921207,3,1.0
P05,remount01-test-2,3,BOTTOM,1,356,356.0,-0.9509066666666667,0.037975984955407466,3,1.0
P05,remount01-test-2,3,BOTTOM,2,357,357.0,-0.9124966666666667,0.04236457285673176,3,1.0
P05,remount01-test-2,3,BOTTOM,3,196,196.0,-0.8722966666666666,0.007818582565486724,3,1.0
P05,remount01-test-2,3,BOTTOM,4,197,197.0,-0.8236733333333334,0.02490216322597966,3,1.0
P05,remount01-test-2,3,BOTTOM,5,156,156.0,-0.79659,0.020870380926087555,3,1.0
P05,remount02-test-1,3,TOP,1,304,304.0,1.8819966666666668,0.013088056896779337,3,1.0
P05,remount02-test-1,3,TOP,2,254,254.0,1.8591966666666666,0.007356713487239621,3,1.0
P05,remount02-test-1,3,TOP,3,303,303.0,1.83478,0.017573465793633353,3,1.0
P05,remount02-test-1,3,TOP,4,294,294.0,1.8245233333333333,0.017231472175450756,3,1.0
P05,remount02-test-1,3,TOP,5,293,293.0,1.7952899999999998,0.020532111435505037,2,0.6666666666666666
P05,remount02-test-1,3,BOTTOM,1,36,36.0,-1.2544566666666668,0.005049557736409473,3,1.0
P05,remount02-test-1,3,BOTTOM,2,37,37.0,-1.23044,0.01006026341603443,3,1.0
P05,remount02-test-1,3,BOTTOM,3,76,76.0,-1.0529666666666666,0.010435383717589532,3,1.0
P05,remount02-test-1,3,BOTTOM,4,77,77.0,-1.0248133333333334,0.011597975398030947,3,1.0
P05,remount02-test-1,3,BOTTOM,5,356,356.0,-1.0125333333333333,0.021924188316408227,2,0.6666666666666666
