gate,value,limit,result
within_batch_nl_sd,0.028558628678562344,<= 0.03000 deg,PASS
a_return_nl_shift,0.2636219999999998,0.05,FAIL
a_return_curve_correlation,0.9683558086562304,>= 0.98000,FAIL
a_return_centered_rmse,0.18581608542143382,<= 0.10000 deg,FAIL
cross_jig_nl_delta,0.26780033333333364,0.051256857182896055,FAIL
top_tail_delta,0.05426833333333336,abs <= 0.10000 deg,PASS
bottom_tail_delta,0.3220686666666668,abs <= 0.10000 deg,FAIL
zero_shift_curve_correlation,0.9794687105352877,>= 0.98000,FAIL
zero_shift_centered_rmse,0.1451944089252342,<= 0.10000 deg,FAIL
closure,0.12091,abs <= 0.20000 deg,PASS
data_health,invalid=1; config=PASS,0 invalid OFFICIAL; CONFIG=PASS,FAIL
