point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,0.004536666666666667,0.0017188465124417982,0.028730435185185182,0.008169305196229732,0.0,0.0,-0.0014200000000000003,0.01534421715174808,-0.28531463888888886,0.011313237094463953,0.0,0.0,0.0016866666666666664,0.006860250238390239,-0.24250072222222221,0.029771303556520228,0.0,0.0,0.0031116666666666667,-0.10688514351851852,-0.0045316666666666665,-0.17842949537037034,0,0.0,-0.28531463888888886,-0.17842949537037034
1,1.0,0.5055633333333334,0.009875790263737569,0.5297571018518519,0.002897100143418928,0.0,0.0,0.51404,0.029175225791756926,0.2301453611111111,0.025144245734472798,0.0,0.0,0.5097566666666666,0.018219111760273427,0.2655692777777778,0.01523467877570508,0.0,0.0,0.50766,0.39766318981481485,0.006380000000000052,-0.16751782870370374,1,1.0,0.2301453611111111,-0.16751782870370374
2,2.0,0.7714500000000001,0.009286587101836706,0.7956437685185186,0.0017444731721655015,0.0,0.0,0.7894300000000001,0.03327644512263892,0.5055353611111111,0.029245465065354755,0.0,0.0,0.7853433333333334,0.023996875491057886,0.5411559444444444,0.015100271682950554,0.0,0.0,0.7783966666666667,0.6683998564814815,0.01103333333333334,-0.1628644953703704,2,2.0,0.5055353611111111,-0.1628644953703704
3,3.0,0.9621166666666667,0.010856488075493562,0.9863104351851852,0.005764806915937028,0.0,0.0,0.99123,0.00951765727477087,0.7073353611111112,0.0054866772174867445,0.0,0.0,0.9856166666666667,0.019118301005406665,0.7414292777777778,0.016444533063504577,0.0,0.0,0.9738666666666667,0.8638698564814815,0.017363333333333397,-0.15653449537037034,3,3.0,0.7073353611111112,-0.15653449537037034
4,4.0,0.91223,0.010516886421370154,0.9364237685185186,0.002341296170824272,0.0,0.0,0.96634,0.010832875887777909,0.6824453611111111,0.014863855945061956,0.0,0.0,0.9400333333333334,0.04245210988082137,0.6958459444444444,0.02013324974897185,0.0,0.0,0.9261316666666667,0.8161348564814814,0.04020833333333329,-0.13368949537037034,4,4.0,0.6824453611111111,-0.13368949537037034
5,5.0,0.19575,0.010578738110001587,0.21994376851851852,0.0027205554954753096,0.0,0.0,0.28972,0.01046518036156089,0.005825361111111121,0.006434200304276763,0.0,0.0,0.26964333333333335,0.04047599453173859,0.025455944444444444,0.017730009608915978,0.0,0.0,0.23269666666666666,0.12269985648148148,0.057023333333333315,-0.11687449537037035,5,5.0,0.005825361111111121,-0.11687449537037035
6,6.0,-0.5706266666666666,0.015169885738967664,-0.5464328981481481,0.007602013243352691,0.0,0.0,-0.5259400000000001,0.012473363620130691,-0.8098346388888888,0.008442383562846564,0.0,0.0,-0.45904666666666666,0.04482383778006222,-0.7032340555555555,0.049754894037996406,0.0,0.0,-0.5148366666666666,-0.6248334768518518,-0.011103333333333465,-0.1850011620370371,6,6.0,-0.8098346388888888,-0.1850011620370371
7,7.0,-0.7449866666666667,0.005934326695871507,-0.7207928981481482,0.005839173059498695,0.0,0.0,-0.71761,0.006279108216936541,-1.0015046388888889,0.0022481281596523363,0.0,0.0,-0.62444,0.0377594279617687,-0.8686273888888888,0.019641639263423865,0.0,0.0,-0.6847133333333333,-0.7947101435185184,-0.032896666666666685,-0.20679449537037042,7,7.0,-1.0015046388888889,-0.20679449537037042
8,8.0,-0.5848866666666667,0.004567990075879448,-0.5606928981481482,0.009256447696779791,0.0,0.0,-0.543015,0.024190122984391764,-0.8269096388888889,0.02015914292710764,0.0,0.0,-0.45056999999999997,0.04641495556391278,-0.6947573888888888,0.028370723758226354,0.0,0.0,-0.5177283333333333,-0.6277251435185185,-0.02528666666666668,-0.19918449537037042,8,8.0,-0.8269096388888889,-0.19918449537037042
9,9.0,-0.32072,0.01955484850363202,-0.2965262314814815,0.010638015321559701,0.0,0.0,-0.27027999999999996,0.036444283502354645,-0.5541746388888888,0.032413303445070554,0.0,0.0,-0.16080666666666665,0.02679535842890207,-0.40499405555555557,0.008802728769410548,0.0,0.0,-0.24076333333333333,-0.35076014351851853,-0.029516666666666636,-0.20341449537037032,9,9.0,-0.5541746388888888,-0.20341449537037032
10,10.0,0.15281999999999998,0.014950120400852964,0.1770137685185185,0.006041710090286684,0.0,0.0,0.205685,0.033057242020471105,-0.07820963888888888,0.02902626196318698,0.0,0.0,0.27934,0.037805215248692875,0.035152611111111114,0.019875811609117788,0.0,0.0,0.21608,0.10608318981481481,-0.010394999999999988,-0.18429282870370367,10,10.0,-0.07820963888888888,-0.18429282870370367
11,11.0,0.5463466666666666,0.007770008580003842,0.5705404351851852,0.0045212712261328706,0.0,0.0,0.600265,0.01465832357399715,0.3163703611111111,0.010627343516713022,0.0,0.0,0.6423666666666666,0.0340609018279513,0.3981792777777778,0.01675959811766339,0.0,0.0,0.5943566666666666,0.4843598564814815,0.005908333333333404,-0.1679894953703704,11,11.0,0.3163703611111111,-0.1679894953703704
12,12.0,0.7855133333333333,0.004060016420328074,0.8097071018518518,0.011002458718491502,0.0,0.0,0.855665,0.03433003422660695,0.5717703611111111,0.030299054169322742,0.0,0.0,0.8930866666666667,0.038646314615152264,0.6488992777777778,0.016056704498226427,0.0,0.0,0.8392999999999999,0.7293031898148148,0.016365000000000074,-0.15753282870370366,12,12.0,0.5717703611111111,-0.15753282870370366
