motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,remount01-test-1,3,TOP,1,254,254.0,1.8247866666666666,0.030343059063537587,3,1.0
P05,remount01-test-1,3,TOP,2,304,304.0,1.8228966666666668,0.008802308409351116,3,1.0
P05,remount01-test-1,3,TOP,3,303,303.0,1.8106666666666669,0.014508653739521616,2,0.6666666666666666
P05,remount01-test-1,3,TOP,4,294,294.0,1.7994566666666667,0.02014357796751439,3,1.0
P05,remount01-test-1,3,TOP,5,264,264.0,1.7844866666666668,0.02538039860469749,2,0.6666666666666666
P05,remount01-test-1,3,BOTTOM,1,36,36.0,-1.3065766666666667,0.021640855651598713,3,1.0
P05,remount01-test-1,3,BOTTOM,2,37,37.0,-1.26492,0.027152769656151075,3,1.0
P05,remount01-test-1,3,BOTTOM,3,76,76.0,-1.16157,0.027663282523952247,3,1.0
P05,remount01-test-1,3,BOTTOM,4,77,77.0,-1.1517933333333332,0.017533312103916208,3,1.0
P05,remount01-test-1,3,BOTTOM,5,38,38.0,-1.0709933333333332,0.031019326771116955,3,1.0
P05,remount01-test-2,3,TOP,1,264,264.0,2.3821,0.01802364280604788,3,1.0
P05,remount01-test-2,3,TOP,2,263,263.0,2.3492200000000003,0.027083986043416886,3,1.0
P05,remount01-test-2,3,TOP,3,254,254.0,2.3335966666666668,0.011766963641200615,3,1.0
P05,remount01-test-2,3,TOP,4,294,294.0,2.2716866666666666,0.01849438383221619,3,1.0
P05,remount01-test-2,3,TOP,5,253,253.0,2.2691433333333335,0.01954873226921207,3,1.0
P05,remount01-test-2,3,BOTTOM,1,356,356.0,-0.9509066666666667,0.037975984955407466,3,1.0
P05,remount01-test-2,3,BOTTOM,2,357,357.0,-0.9124966666666667,0.04236457285673176,3,1.0
P05,remount01-test-2,3,BOTTOM,3,196,196.0,-0.8722966666666666,0.007818582565486724,3,1.0
P05,remount01-test-2,3,BOTTOM,4,197,197.0,-0.8236733333333334,0.02490216322597966,3,1.0
P05,remount01-test-2,3,BOTTOM,5,156,156.0,-0.79659,0.020870380926087555,3,1.0
P05,remount02-test-2,3,TOP,1,263,263.0,2.3947766666666666,0.007212228042244135,3,1.0
P05,remount02-test-2,3,TOP,2,264,264.0,2.3925966666666665,0.01465063252331908,3,1.0
P05,remount02-test-2,3,TOP,3,254,254.0,2.3841966666666665,0.013597008249366167,3,1.0
P05,remount02-test-2,3,TOP,4,294,294.0,2.3214733333333335,0.021821833867329696,3,1.0
P05,remount02-test-2,3,TOP,5,253,253.0,2.3067466666666667,0.009512398926313673,3,1.0
P05,remount02-test-2,3,BOTTOM,1,356,356.0,-0.9650466666666667,0.01941591185943458,3,1.0
P05,remount02-test-2,3,BOTTOM,2,357,357.0,-0.9390066666666667,0.02334678207662318,3,1.0
P05,remount02-test-2,3,BOTTOM,3,156,156.0,-0.8285133333333333,0.02693123898622817,3,1.0
P05,remount02-test-2,3,BOTTOM,4,196,196.0,-0.7811866666666667,0.04090733960224414,2,0.6666666666666666
P05,remount02-test-2,3,BOTTOM,5,197,197.0,-0.77879,0.02662288301442951,3,1.0
P05,remount03-test-2,3,TOP,1,264,264.0,2.293416666666667,0.03406416347620088,3,1.0
P05,remount03-test-2,3,TOP,2,263,263.0,2.260336666666667,0.03583373317606357,3,1.0
P05,remount03-test-2,3,TOP,3,254,254.0,2.2332566666666667,0.04197291666459842,3,1.0
P05,remount03-test-2,3,TOP,4,294,294.0,2.214843333333333,0.04256692651969762,3,1.0
P05,remount03-test-2,3,TOP,5,293,293.0,2.165896666666667,0.037073443774935974,3,1.0
P05,remount03-test-2,3,BOTTOM,1,356,356.0,-0.9508666666666666,0.04932344912243394,3,1.0
P05,remount03-test-2,3,BOTTOM,2,357,357.0,-0.91276,0.03318737862501343,3,1.0
P05,remount03-test-2,3,BOTTOM,3,196,196.0,-0.90745,0.041501304798765036,3,1.0
P05,remount03-test-2,3,BOTTOM,4,197,197.0,-0.8754866666666666,0.03917732039501083,3,1.0
P05,remount03-test-2,3,BOTTOM,5,156,156.0,-0.8636066666666666,0.0261994128432935,3,1.0
