motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,JIG1,9,TOP,1,264,264.0,2.3560377777777775,0.0514918755188083,9,1.0
P05,JIG1,9,TOP,2,263,263.0,2.3347777777777776,0.06343205060885583,9,1.0
P05,JIG1,9,TOP,3,254,254.0,2.3170166666666665,0.07033979208101195,9,1.0
P05,JIG1,9,TOP,4,294,294.0,2.2693344444444445,0.052844334396203604,9,1.0
P05,JIG1,9,TOP,5,253,253.0,2.2445355555555557,0.07045935780844002,6,0.6666666666666666
P05,JIG1,9,BOTTOM,1,356,356.0,-0.9556066666666667,0.033363387492879065,9,1.0
P05,JIG1,9,BOTTOM,2,357,357.0,-0.9214211111111111,0.03216014553933347,9,1.0
P05,JIG1,9,BOTTOM,3,196,196.0,-0.8536444444444444,0.06363275121961783,8,0.8888888888888888
P05,JIG1,9,BOTTOM,4,156,156.0,-0.8295699999999999,0.036118593203501165,9,1.0
P05,JIG1,9,BOTTOM,5,197,197.0,-0.8259833333333333,0.049720338645266676,9,1.0
P05,JIG5,9,TOP,1,264,264.0,2.1378033333333333,0.05173395113462725,9,1.0
P05,JIG5,9,TOP,2,263,263.0,2.11326,0.05720219794728177,9,1.0
P05,JIG5,9,TOP,3,254,254.0,2.108397777777778,0.06269280177535895,9,1.0
P05,JIG5,9,TOP,4,253,253.0,2.0323544444444446,0.05871046033525693,9,1.0
P05,JIG5,9,TOP,5,294,294.0,1.9550377777777779,0.0389889054019787,5,0.5555555555555556
P05,JIG5,9,BOTTOM,1,196,196.0,-1.0314544444444445,0.08573158666896218,9,1.0
P05,JIG5,9,BOTTOM,2,156,156.0,-1.0302255555555557,0.10183215186166782,9,1.0
P05,JIG5,9,BOTTOM,3,157,157.0,-0.9883022222222222,0.08943865576161378,8,0.8888888888888888
P05,JIG5,9,BOTTOM,4,197,197.0,-0.9868711111111111,0.08070894923186096,8,0.8888888888888888
P05,JIG5,9,BOTTOM,5,356,356.0,-0.9624833333333334,0.021877507284880512,7,0.7777777777777778
