motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,JIG1,9,1,geometric,0.31056107602955385,0.010995990661126475
P05,JIG1,9,2,geometric,0.3415352547189905,0.013664112291307071
P05,JIG1,9,3,motor,0.09346094888754382,0.003991000193243133
P05,JIG1,9,4,geometric,0.04276842468256506,0.003471175791634744
P05,JIG1,9,6,motor,0.01830593571025217,0.0014976398252581834
P05,JIG1,9,8,geometric,0.022754920493733698,0.0011821447737907689
P05,JIG1,9,9,motor,0.284122272479132,0.0012636797139390526
P05,JIG1,9,12,motor,0.023815755542788763,0.01591702483574476
P05,JIG1,9,18,motor,0.10635577452476025,0.0015441196204638965
P05,JIG1,9,27,motor,0.06796361875202922,0.0011010424051276536
P05,JIG1,9,36,motor,0.8532629188349459,0.002632842056958948
P05,JIG1,9,45,motor,0.07884434796919218,0.0008951575637340679
P05,JIG1,9,72,motor,0.16409445873355594,0.0006483059883630141
P05,JIG1,9,108,motor,0.09089806892230654,0.0014698298024757414
P05,JIG5,9,1,geometric,0.2981048133633744,0.012563354841005217
P05,JIG5,9,2,geometric,0.3004050241098266,0.019313839665232983
P05,JIG5,9,3,motor,0.07944309192357718,0.009404236356726109
P05,JIG5,9,4,geometric,0.029592562325894554,0.003285760521187063
P05,JIG5,9,6,motor,0.01177141128626773,0.002482454398972805
P05,JIG5,9,8,geometric,0.020403226421283924,0.0008295591133427753
P05,JIG5,9,9,motor,0.2823614791624507,0.0018856716260970223
P05,JIG5,9,12,motor,0.017820529942483967,0.0018621402309863051
P05,JIG5,9,18,motor,0.10484853559627244,0.0010853052862891319
P05,JIG5,9,27,motor,0.06969647485082303,0.0012372451653565792
P05,JIG5,9,36,motor,0.8459739654039862,0.002013608172702957
P05,JIG5,9,45,motor,0.07907833938444325,0.0014550630750654722
P05,JIG5,9,72,motor,0.1639930731647431,0.001415997134475409
P05,JIG5,9,108,motor,0.08901410946393398,0.001090227429494286
