motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,remount01-test-1,3,TOP,1,264,264.0,2.091206666666667,0.0652700868187974,3,1.0
P05,remount01-test-1,3,TOP,2,263,263.0,2.0593466666666664,0.06791220533404392,3,1.0
P05,remount01-test-1,3,TOP,3,254,254.0,2.051023333333333,0.07680955821597545,3,1.0
P05,remount01-test-1,3,TOP,4,253,253.0,1.9741033333333335,0.0744344714049434,3,1.0
P05,remount01-test-1,3,TOP,5,294,294.0,1.94267,0.058797286502014615,2,0.6666666666666666
P05,remount01-test-1,3,BOTTOM,1,156,156.0,-1.15702,0.05467352284241434,3,1.0
P05,remount01-test-1,3,BOTTOM,2,196,196.0,-1.1224166666666666,0.06885227761906884,3,1.0
P05,remount01-test-1,3,BOTTOM,3,157,157.0,-1.0986133333333334,0.061508923200892865,3,1.0
P05,remount01-test-1,3,BOTTOM,4,197,197.0,-1.0721866666666668,0.06074644461475364,3,1.0
P05,remount01-test-1,3,BOTTOM,5,116,116.0,-0.9655166666666667,0.07414095381995929,2,0.6666666666666666
P05,remount02-test-1,3,TOP,1,254,254.0,2.164286666666667,0.0123436717930012,3,1.0
P05,remount02-test-1,3,TOP,2,264,264.0,2.1440633333333334,0.022069527256679693,3,1.0
P05,remount02-test-1,3,TOP,3,263,263.0,2.1241033333333337,0.028760230063984895,3,1.0
P05,remount02-test-1,3,TOP,4,253,253.0,2.06907,0.01456506779936153,3,1.0
P05,remount02-test-1,3,TOP,5,293,293.0,1.947,0.015728073626480772,2,0.6666666666666666
P05,remount02-test-1,3,BOTTOM,1,356,356.0,-0.95945,0.009759262267200352,3,1.0
P05,remount02-test-1,3,BOTTOM,2,156,156.0,-0.9470433333333333,0.014477711605545023,3,1.0
P05,remount02-test-1,3,BOTTOM,3,196,196.0,-0.9449466666666666,0.006568838050472338,3,1.0
P05,remount02-test-1,3,BOTTOM,4,157,157.0,-0.9225466666666667,0.006716913973941707,2,0.6666666666666666
P05,remount02-test-1,3,BOTTOM,5,197,197.0,-0.9012833333333333,0.016666494332442366,2,0.6666666666666666
