motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,JIG4,9,1,geometric,0.5302163615584621,0.005068374881868485
P05,JIG4,9,2,geometric,0.24125541219981084,0.018064252560678326
P05,JIG4,9,3,motor,0.05458579206791996,0.002818453719075217
P05,JIG4,9,4,geometric,0.019936871204729933,0.0019228794710991434
P05,JIG4,9,6,motor,0.01176938701281379,0.0008310672698998274
P05,JIG4,9,8,geometric,0.01344718089747243,0.001491039750937314
P05,JIG4,9,9,motor,0.2775634267660301,0.002689739256369086
P05,JIG4,9,12,motor,0.02850492006321715,0.0013779341859954167
P05,JIG4,9,18,motor,0.10445056435429721,0.0018390019616937082
P05,JIG4,9,27,motor,0.07065273281874929,0.0014210718447966123
P05,JIG4,9,36,motor,0.8644443617990536,0.0026805924267422456
P05,JIG4,9,45,motor,0.07854492464213264,0.001140261766092415
P05,JIG4,9,72,motor,0.16023829679714297,0.0010139162836675026
P05,JIG4,9,108,motor,0.08765340960456434,0.0007131416924444427
P05,JIG5,9,1,geometric,0.2981048133633744,0.012563354841005217
P05,JIG5,9,2,geometric,0.3004050241098266,0.019313839665232983
P05,JIG5,9,3,motor,0.07944309192357718,0.009404236356726109
P05,JIG5,9,4,geometric,0.029592562325894554,0.003285760521187063
P05,JIG5,9,6,motor,0.01177141128626773,0.002482454398972805
P05,JIG5,9,8,geometric,0.020403226421283924,0.0008295591133427753
P05,JIG5,9,9,motor,0.2823614791624507,0.0018856716260970223
P05,JIG5,9,12,motor,0.017820529942483967,0.0018621402309863051
P05,JIG5,9,18,motor,0.10484853559627244,0.0010853052862891319
P05,JIG5,9,27,motor,0.06969647485082303,0.0012372451653565792
P05,JIG5,9,36,motor,0.8459739654039862,0.002013608172702957
P05,JIG5,9,45,motor,0.07907833938444325,0.0014550630750654722
P05,JIG5,9,72,motor,0.1639930731647431,0.001415997134475409
P05,JIG5,9,108,motor,0.08901410946393398,0.001090227429494286
P05,JIG6,6,1,geometric,0.33543914082838544,0.001368015402235623
P05,JIG6,6,2,geometric,0.20068804258998763,0.003627186672920017
P05,JIG6,6,3,motor,0.007584073696471252,0.003910528104832294
P05,JIG6,6,4,geometric,0.022480501897984336,0.007507970356034719
P05,JIG6,6,6,motor,0.01992390012166724,0.0034033638368573243
P05,JIG6,6,8,geometric,0.006892008449985453,0.0029789124420625834
P05,JIG6,6,9,motor,0.27573681269602673,0.004033420472214984
P05,JIG6,6,12,motor,0.037471528718017705,0.0028129016450513427
P05,JIG6,6,18,motor,0.10219205997100282,0.003143151421869696
P05,JIG6,6,27,motor,0.06833643016317281,0.0017378911346713098
P05,JIG6,6,36,motor,0.8595123846205442,0.006576875567524159
P05,JIG6,6,45,motor,0.08109613095912344,0.004170091994671251
P05,JIG6,6,72,motor,0.1660478882660266,0.0034757064464609306
P05,JIG6,6,108,motor,0.09491372198201647,0.0017311068644268654
