motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,JIG4,9,1,geometric,0.5302163615584621,0.005068374881868485
P05,JIG4,9,2,geometric,0.24125541219981084,0.018064252560678326
P05,JIG4,9,3,motor,0.05458579206791996,0.002818453719075217
P05,JIG4,9,4,geometric,0.019936871204729933,0.0019228794710991434
P05,JIG4,9,6,motor,0.01176938701281379,0.0008310672698998274
P05,JIG4,9,8,geometric,0.01344718089747243,0.001491039750937314
P05,JIG4,9,9,motor,0.2775634267660301,0.002689739256369086
P05,JIG4,9,12,motor,0.02850492006321715,0.0013779341859954167
P05,JIG4,9,18,motor,0.10445056435429721,0.0018390019616937082
P05,JIG4,9,27,motor,0.07065273281874929,0.0014210718447966123
P05,JIG4,9,36,motor,0.8644443617990536,0.0026805924267422456
P05,JIG4,9,45,motor,0.07854492464213264,0.001140261766092415
P05,JIG4,9,72,motor,0.16023829679714297,0.0010139162836675026
P05,JIG4,9,108,motor,0.08765340960456434,0.0007131416924444427
P05,JIG5,9,1,geometric,0.2981048133633744,0.012563354841005217
P05,JIG5,9,2,geometric,0.3004050241098266,0.019313839665232983
P05,JIG5,9,3,motor,0.07944309192357718,0.009404236356726109
P05,JIG5,9,4,geometric,0.029592562325894554,0.003285760521187063
P05,JIG5,9,6,motor,0.01177141128626773,0.002482454398972805
P05,JIG5,9,8,geometric,0.020403226421283924,0.0008295591133427753
P05,JIG5,9,9,motor,0.2823614791624507,0.0018856716260970223
P05,JIG5,9,12,motor,0.017820529942483967,0.0018621402309863051
P05,JIG5,9,18,motor,0.10484853559627244,0.0010853052862891319
P05,JIG5,9,27,motor,0.06969647485082303,0.0012372451653565792
P05,JIG5,9,36,motor,0.8459739654039862,0.002013608172702957
P05,JIG5,9,45,motor,0.07907833938444325,0.0014550630750654722
P05,JIG5,9,72,motor,0.1639930731647431,0.001415997134475409
P05,JIG5,9,108,motor,0.08901410946393398,0.001090227429494286
P05,test-1,9,1,geometric,0.3369712301595123,0.003052348942157173
P05,test-1,9,2,geometric,0.20077934562453642,0.0029516362125749916
P05,test-1,9,3,motor,0.006940123846341329,0.0034943937829030654
P05,test-1,9,4,geometric,0.01959297857406222,0.007371237832193774
P05,test-1,9,6,motor,0.02022015389193181,0.003005716192043067
P05,test-1,9,8,geometric,0.007600069593493654,0.002819603779033838
P05,test-1,9,9,motor,0.2764951176854947,0.0037732240391279122
P05,test-1,9,12,motor,0.03723402892897534,0.00225802597905247
P05,test-1,9,18,motor,0.10226800801698588,0.0025918010335363624
P05,test-1,9,27,motor,0.06835108718242416,0.001378215056167092
P05,test-1,9,36,motor,0.8562293235685874,0.007231245905352483
P05,test-1,9,45,motor,0.08068802810141207,0.0038153416335601443
P05,test-1,9,72,motor,0.16598327878083022,0.002867278974104738
P05,test-1,9,108,motor,0.09422048706463797,0.0018321570511175883
P05,test-2,6,1,geometric,0.32068400333207947,0.005628160774283091
P05,test-2,6,2,geometric,0.2272209643525639,0.01128072655648219
P05,test-2,6,3,motor,0.08238574097350061,0.002946718520267893
P05,test-2,6,4,geometric,0.04926952912763958,0.006746891108201725
P05,test-2,6,6,motor,0.014038708578223154,0.0012626530400359594
P05,test-2,6,8,geometric,0.014124787739430095,0.0015841729938020509
P05,test-2,6,9,motor,0.2809040488252838,0.0019057741960295611
P05,test-2,6,12,motor,0.019768758593085873,0.001116692653910205
P05,test-2,6,18,motor,0.10572006193860872,0.003068242211009349
P05,test-2,6,27,motor,0.0665372119362538,0.0014804842999532456
P05,test-2,6,36,motor,0.8561384382954528,0.0032277417452142017
P05,test-2,6,45,motor,0.08121353838913008,0.0015621504293903976
P05,test-2,6,72,motor,0.16323585714782232,0.0032817662532444894
P05,test-2,6,108,motor,0.08988989726634344,0.0022309346388947405
