motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,JIG4,9,1,geometric,0.5302163615584621,0.005068374881868485
P05,JIG4,9,2,geometric,0.24125541219981084,0.018064252560678326
P05,JIG4,9,3,motor,0.05458579206791996,0.002818453719075217
P05,JIG4,9,4,geometric,0.019936871204729933,0.0019228794710991434
P05,JIG4,9,6,motor,0.01176938701281379,0.0008310672698998274
P05,JIG4,9,8,geometric,0.01344718089747243,0.001491039750937314
P05,JIG4,9,9,motor,0.2775634267660301,0.002689739256369086
P05,JIG4,9,12,motor,0.02850492006321715,0.0013779341859954167
P05,JIG4,9,18,motor,0.10445056435429721,0.0018390019616937082
P05,JIG4,9,27,motor,0.07065273281874929,0.0014210718447966123
P05,JIG4,9,36,motor,0.8644443617990536,0.0026805924267422456
P05,JIG4,9,45,motor,0.07854492464213264,0.001140261766092415
P05,JIG4,9,72,motor,0.16023829679714297,0.0010139162836675026
P05,JIG4,9,108,motor,0.08765340960456434,0.0007131416924444427
P05,JIG5,9,1,geometric,0.2981048133633744,0.012563354841005217
P05,JIG5,9,2,geometric,0.3004050241098266,0.019313839665232983
P05,JIG5,9,3,motor,0.07944309192357718,0.009404236356726109
P05,JIG5,9,4,geometric,0.029592562325894554,0.003285760521187063
P05,JIG5,9,6,motor,0.01177141128626773,0.002482454398972805
P05,JIG5,9,8,geometric,0.020403226421283924,0.0008295591133427753
P05,JIG5,9,9,motor,0.2823614791624507,0.0018856716260970223
P05,JIG5,9,12,motor,0.017820529942483967,0.0018621402309863051
P05,JIG5,9,18,motor,0.10484853559627244,0.0010853052862891319
P05,JIG5,9,27,motor,0.06969647485082303,0.0012372451653565792
P05,JIG5,9,36,motor,0.8459739654039862,0.002013608172702957
P05,JIG5,9,45,motor,0.07907833938444325,0.0014550630750654722
P05,JIG5,9,72,motor,0.1639930731647431,0.001415997134475409
P05,JIG5,9,108,motor,0.08901410946393398,0.001090227429494286
P05,JIG6,9,1,geometric,0.32009973056642693,0.0050009483076292665
P05,JIG6,9,2,geometric,0.22684453421505957,0.008939621888611173
P05,JIG6,9,3,motor,0.0818761330052819,0.0024727342568554586
P05,JIG6,9,4,geometric,0.052573614753725045,0.007642759571460872
P05,JIG6,9,6,motor,0.013732947269010769,0.0013018644152080806
P05,JIG6,9,8,geometric,0.014824156803934356,0.0017391352516251735
P05,JIG6,9,9,motor,0.28160370184961936,0.0020373405117818794
P05,JIG6,9,12,motor,0.021570655038298876,0.0030409866453294473
P05,JIG6,9,18,motor,0.10605257662841204,0.0026712927729969868
P05,JIG6,9,27,motor,0.06700628607936232,0.001659110230275447
P05,JIG6,9,36,motor,0.8549058485103527,0.003214464468733778
P05,JIG6,9,45,motor,0.08082799667781804,0.0015112568490998216
P05,JIG6,9,72,motor,0.16276451465421396,0.003173347262700104
P05,JIG6,9,108,motor,0.08994065463442001,0.0018588551173530172
P05,JIG7,3,1,geometric,0.3353806711276422,0.0052331518787525275
P05,JIG7,3,2,geometric,0.23765550989776627,0.008247135112754147
P05,JIG7,3,3,motor,0.08794722540658577,0.005572274628322212
P05,JIG7,3,4,geometric,0.045831239903251074,0.004168612645272951
P05,JIG7,3,6,motor,0.031418049871159905,0.0009004547335910075
P05,JIG7,3,8,geometric,0.01709782251278155,0.0006176942203552565
P05,JIG7,3,9,motor,0.28092978304132576,0.0019216625282055177
P05,JIG7,3,12,motor,0.07249520523195842,0.01386387205087148
P05,JIG7,3,18,motor,0.11001066998826152,0.006413585996182784
P05,JIG7,3,27,motor,0.06763021669037621,0.0007877950800903462
P05,JIG7,3,36,motor,0.8645826964348466,0.002738596271180741
P05,JIG7,3,45,motor,0.0801518798809368,0.0022478479953395494
P05,JIG7,3,72,motor,0.1631415740601425,0.0013848741193122705
P05,JIG7,3,108,motor,0.08961322926685339,5.4893537473605164e-05
