motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,JIG4,9,1,geometric,0.5302163615584621,0.005068374881868485
P05,JIG4,9,2,geometric,0.24125541219981084,0.018064252560678326
P05,JIG4,9,3,motor,0.05458579206791996,0.002818453719075217
P05,JIG4,9,4,geometric,0.019936871204729933,0.0019228794710991434
P05,JIG4,9,6,motor,0.01176938701281379,0.0008310672698998274
P05,JIG4,9,8,geometric,0.01344718089747243,0.001491039750937314
P05,JIG4,9,9,motor,0.2775634267660301,0.002689739256369086
P05,JIG4,9,12,motor,0.02850492006321715,0.0013779341859954167
P05,JIG4,9,18,motor,0.10445056435429721,0.0018390019616937082
P05,JIG4,9,27,motor,0.07065273281874929,0.0014210718447966123
P05,JIG4,9,36,motor,0.8644443617990536,0.0026805924267422456
P05,JIG4,9,45,motor,0.07854492464213264,0.001140261766092415
P05,JIG4,9,72,motor,0.16023829679714297,0.0010139162836675026
P05,JIG4,9,108,motor,0.08765340960456434,0.0007131416924444427
P05,JIG5,9,1,geometric,0.2981048133633744,0.012563354841005217
P05,JIG5,9,2,geometric,0.3004050241098266,0.019313839665232983
P05,JIG5,9,3,motor,0.07944309192357718,0.009404236356726109
P05,JIG5,9,4,geometric,0.029592562325894554,0.003285760521187063
P05,JIG5,9,6,motor,0.01177141128626773,0.002482454398972805
P05,JIG5,9,8,geometric,0.020403226421283924,0.0008295591133427753
P05,JIG5,9,9,motor,0.2823614791624507,0.0018856716260970223
P05,JIG5,9,12,motor,0.017820529942483967,0.0018621402309863051
P05,JIG5,9,18,motor,0.10484853559627244,0.0010853052862891319
P05,JIG5,9,27,motor,0.06969647485082303,0.0012372451653565792
P05,JIG5,9,36,motor,0.8459739654039862,0.002013608172702957
P05,JIG5,9,45,motor,0.07907833938444325,0.0014550630750654722
P05,JIG5,9,72,motor,0.1639930731647431,0.001415997134475409
P05,JIG5,9,108,motor,0.08901410946393398,0.001090227429494286
P05,JIG7,6,1,geometric,0.22488348021715399,0.004740151786026156
P05,JIG7,6,2,geometric,0.06601932886410079,0.009652019229739224
P05,JIG7,6,3,motor,0.012487969956167348,0.008681613202136064
P05,JIG7,6,4,geometric,0.01348336781350424,0.0022177639990282514
P05,JIG7,6,6,motor,0.01894296131060384,0.002035912804979629
P05,JIG7,6,8,geometric,0.022571362258786833,0.0011861901508346611
P05,JIG7,6,9,motor,0.2680115543525238,0.0021368096087239948
P05,JIG7,6,12,motor,0.05547091961073696,0.005611495586770567
P05,JIG7,6,18,motor,0.10200953282401685,0.0014900531976544888
P05,JIG7,6,27,motor,0.07065896837468015,0.0015997558836874507
P05,JIG7,6,36,motor,0.8600983300655809,0.0017269586008577618
P05,JIG7,6,45,motor,0.07851944969521753,0.0016135136511288184
P05,JIG7,6,72,motor,0.1595802215343025,0.0015861727896886945
P05,JIG7,6,108,motor,0.08798787841650346,0.0012241363077915195
