motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,JIG4,9,TOP,1,304,304.0,1.66626,0.04664145044914449,9,1.0
P05,JIG4,9,TOP,2,303,303.0,1.6144744444444443,0.054477577981934706,9,1.0
P05,JIG4,9,TOP,3,334,334.0,1.5976277777777779,0.02610195911123232,8,0.8888888888888888
P05,JIG4,9,TOP,4,254,254.0,1.582498888888889,0.05082077292909966,9,1.0
P05,JIG4,9,TOP,5,333,333.0,1.5553577777777778,0.029541150442128062,2,0.2222222222222222
P05,JIG4,9,BOTTOM,1,76,76.0,-1.8136277777777776,0.06491047676950495,9,1.0
P05,JIG4,9,BOTTOM,2,77,77.0,-1.7967333333333333,0.04804536840320825,9,1.0
P05,JIG4,9,BOTTOM,3,36,36.0,-1.6467144444444444,0.049082253694973876,9,1.0
P05,JIG4,9,BOTTOM,4,37,37.0,-1.6279633333333332,0.03164775702952741,9,1.0
P05,JIG4,9,BOTTOM,5,78,78.0,-1.6102377777777777,0.06221507791078013,9,1.0
P05,JIG5,9,TOP,1,264,264.0,2.1378033333333333,0.05173395113462725,9,1.0
P05,JIG5,9,TOP,2,263,263.0,2.11326,0.05720219794728177,9,1.0
P05,JIG5,9,TOP,3,254,254.0,2.108397777777778,0.06269280177535895,9,1.0
P05,JIG5,9,TOP,4,253,253.0,2.0323544444444446,0.05871046033525693,9,1.0
P05,JIG5,9,TOP,5,294,294.0,1.9550377777777779,0.0389889054019787,5,0.5555555555555556
P05,JIG5,9,BOTTOM,1,196,196.0,-1.0314544444444445,0.08573158666896218,9,1.0
P05,JIG5,9,BOTTOM,2,156,156.0,-1.0302255555555557,0.10183215186166782,9,1.0
P05,JIG5,9,BOTTOM,3,157,157.0,-0.9883022222222222,0.08943865576161378,8,0.8888888888888888
P05,JIG5,9,BOTTOM,4,197,197.0,-0.9868711111111111,0.08070894923186096,8,0.8888888888888888
P05,JIG5,9,BOTTOM,5,356,356.0,-0.9624833333333334,0.021877507284880512,7,0.7777777777777778
P05,test-1,9,TOP,1,304,304.0,1.770528888888889,0.0647589948278315,9,1.0
P05,test-1,9,TOP,2,303,303.0,1.70377,0.04394082924797846,9,1.0
P05,test-1,9,TOP,3,294,294.0,1.6969866666666666,0.029395412056986037,9,1.0
P05,test-1,9,TOP,4,293,293.0,1.6610722222222223,0.03802118974262177,9,1.0
P05,test-1,9,TOP,5,264,264.0,1.6261644444444443,0.048715804958737764,8,0.8888888888888888
P05,test-1,9,BOTTOM,1,36,36.0,-1.50941,0.042618731797180405,9,1.0
P05,test-1,9,BOTTOM,2,37,37.0,-1.4550577777777778,0.041920177354639675,9,1.0
P05,test-1,9,BOTTOM,3,76,76.0,-1.3090966666666666,0.060079549141117905,9,1.0
P05,test-1,9,BOTTOM,4,77,77.0,-1.2714788888888888,0.04903929303233387,9,1.0
P05,test-1,9,BOTTOM,5,38,38.0,-1.2578622222222222,0.030470900781638284,9,1.0
P05,test-2,9,TOP,1,294,294.0,1.9427144444444444,0.059473096882353214,9,1.0
P05,test-2,9,TOP,2,293,293.0,1.8936688888888886,0.07147674682098448,9,1.0
P05,test-2,9,TOP,3,264,264.0,1.8638855555555556,0.07437667932744628,9,1.0
P05,test-2,9,TOP,4,304,304.0,1.8493644444444444,0.055156030067235455,9,1.0
P05,test-2,9,TOP,5,303,303.0,1.8197688888888888,0.04921982538684094,6,0.6666666666666666
P05,test-2,9,BOTTOM,1,196,196.0,-1.4240377777777777,0.09627540765659964,9,1.0
P05,test-2,9,BOTTOM,2,197,197.0,-1.327021111111111,0.08937971658106277,9,1.0
P05,test-2,9,BOTTOM,3,76,76.0,-1.23877,0.03596660916739303,8,0.8888888888888888
P05,test-2,9,BOTTOM,4,77,77.0,-1.2001344444444444,0.0369522871792502,7,0.7777777777777778
P05,test-2,9,BOTTOM,5,36,36.0,-1.18396,0.021246763871234562,7,0.7777777777777778
P05,test-replay-sensor,3,TOP,1,264,264.0,1.6829033333333332,0.04255143515010201,3,1.0
P05,test-replay-sensor,3,TOP,2,263,263.0,1.6312666666666666,0.044873533773632485,3,1.0
P05,test-replay-sensor,3,TOP,3,294,294.0,1.58319,0.050240621015270104,3,1.0
P05,test-replay-sensor,3,TOP,4,304,304.0,1.5794666666666668,0.04975019631452054,2,0.6666666666666666
P05,test-replay-sensor,3,TOP,5,184,184.0,1.55656,0.03311046209281897,3,1.0
P05,test-replay-sensor,3,BOTTOM,1,36,36.0,-1.1220999999999999,0.0343392297525731,3,1.0
P05,test-replay-sensor,3,BOTTOM,2,37,37.0,-1.10394,0.0265767962704311,3,1.0
P05,test-replay-sensor,3,BOTTOM,3,76,76.0,-1.01943,0.020519919590485707,3,1.0
P05,test-replay-sensor,3,BOTTOM,4,77,77.0,-0.9719433333333333,0.03197680461417827,3,1.0
P05,test-replay-sensor,3,BOTTOM,5,156,156.0,-0.9507033333333332,0.014450267586911104,3,1.0
