motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,JIG4,9,TOP,1,304,304.0,1.66626,0.04664145044914449,9,1.0
P05,JIG4,9,TOP,2,303,303.0,1.6144744444444443,0.054477577981934706,9,1.0
P05,JIG4,9,TOP,3,334,334.0,1.5976277777777779,0.02610195911123232,8,0.8888888888888888
P05,JIG4,9,TOP,4,254,254.0,1.582498888888889,0.05082077292909966,9,1.0
P05,JIG4,9,TOP,5,333,333.0,1.5553577777777778,0.029541150442128062,2,0.2222222222222222
P05,JIG4,9,BOTTOM,1,76,76.0,-1.8136277777777776,0.06491047676950495,9,1.0
P05,JIG4,9,BOTTOM,2,77,77.0,-1.7967333333333333,0.04804536840320825,9,1.0
P05,JIG4,9,BOTTOM,3,36,36.0,-1.6467144444444444,0.049082253694973876,9,1.0
P05,JIG4,9,BOTTOM,4,37,37.0,-1.6279633333333332,0.03164775702952741,9,1.0
P05,JIG4,9,BOTTOM,5,78,78.0,-1.6102377777777777,0.06221507791078013,9,1.0
P05,JIG5,9,TOP,1,264,264.0,2.1378033333333333,0.05173395113462725,9,1.0
P05,JIG5,9,TOP,2,263,263.0,2.11326,0.05720219794728177,9,1.0
P05,JIG5,9,TOP,3,254,254.0,2.108397777777778,0.06269280177535895,9,1.0
P05,JIG5,9,TOP,4,253,253.0,2.0323544444444446,0.05871046033525693,9,1.0
P05,JIG5,9,TOP,5,294,294.0,1.9550377777777779,0.0389889054019787,5,0.5555555555555556
P05,JIG5,9,BOTTOM,1,196,196.0,-1.0314544444444445,0.08573158666896218,9,1.0
P05,JIG5,9,BOTTOM,2,156,156.0,-1.0302255555555557,0.10183215186166782,9,1.0
P05,JIG5,9,BOTTOM,3,157,157.0,-0.9883022222222222,0.08943865576161378,8,0.8888888888888888
P05,JIG5,9,BOTTOM,4,197,197.0,-0.9868711111111111,0.08070894923186096,8,0.8888888888888888
P05,JIG5,9,BOTTOM,5,356,356.0,-0.9624833333333334,0.021877507284880512,7,0.7777777777777778
P05,JIG8,3,TOP,1,264,264.0,1.83848,0.007623667096614222,3,1.0
P05,JIG8,3,TOP,2,294,294.0,1.825783333333333,0.016719920254993255,3,1.0
P05,JIG8,3,TOP,3,293,293.0,1.76367,0.01929187393697144,3,1.0
P05,JIG8,3,TOP,4,304,304.0,1.73175,0.017385013661196814,3,1.0
P05,JIG8,3,TOP,5,263,263.0,1.7284499999999998,0.026654800693308472,2,0.6666666666666666
P05,JIG8,3,BOTTOM,1,36,36.0,-1.40636,0.02437571742533944,3,1.0
P05,JIG8,3,BOTTOM,2,37,37.0,-1.382793333333333,0.02431993078389278,3,1.0
P05,JIG8,3,BOTTOM,3,76,76.0,-1.3725966666666665,0.034650094275966,3,1.0
P05,JIG8,3,BOTTOM,4,77,77.0,-1.3091033333333333,0.01530062199171439,3,1.0
P05,JIG8,3,BOTTOM,5,38,38.0,-1.2379233333333335,0.0054591604971216045,3,1.0
P05,test-2,18,TOP,1,294,294.0,1.9539888888888888,0.04785844456665789,18,1.0
P05,test-2,18,TOP,2,293,293.0,1.9223455555555558,0.06358789583507247,18,1.0
P05,test-2,18,TOP,3,264,264.0,1.9032972222222222,0.07080999778242979,18,1.0
P05,test-2,18,TOP,4,304,304.0,1.8711405555555554,0.049562653453182504,18,1.0
P05,test-2,18,TOP,5,303,303.0,1.8434811111111111,0.04618163601016278,10,0.5555555555555556
P05,test-2,18,BOTTOM,1,196,196.0,-1.3051688888888888,0.141649818333759,18,1.0
P05,test-2,18,BOTTOM,2,197,197.0,-1.220375,0.12875281594864588,18,1.0
P05,test-2,18,BOTTOM,3,76,76.0,-1.1467933333333333,0.10056136060664068,17,0.9444444444444444
P05,test-2,18,BOTTOM,4,77,77.0,-1.1072894444444445,0.10399727600913529,14,0.7777777777777778
P05,test-2,18,BOTTOM,5,36,36.0,-1.0938766666666666,0.09556519099238887,14,0.7777777777777778
