Point,remount01_MeanAbsPositionErrorRaw_Primary,remount01_MeanAbsPositionErrorDeg_Primary,remount01_MeanAbsPositionErrorRaw_Sensitivity,remount01_SensitivitySweepCount,remount02_MeanAbsPositionErrorRaw_Primary,remount02_MeanAbsPositionErrorDeg_Primary,remount02_MeanAbsPositionErrorRaw_Sensitivity,remount02_SensitivitySweepCount,remount03_MeanAbsPositionErrorRaw_Primary,remount03_MeanAbsPositionErrorDeg_Primary,remount03_MeanAbsPositionErrorRaw_Sensitivity,remount03_SensitivitySweepCount
0,254.000000,1.395263672,254.000000,3,256.000000,1.406250000,256.000000,3,254.500000,1.398010254,256.666667,3
1,94.000000,0.516357422,94.000000,3,95.333333,0.523681641,95.333333,3,94.000000,0.516357422,96.333333,3
2,151.666667,0.833129883,151.666667,3,153.333333,0.842285156,153.333333,3,154.500000,0.848693848,154.333333,3
3,195.666667,1.074829102,195.666667,3,197.666667,1.085815430,197.666667,3,194.000000,1.065673828,195.666667,3
4,209.333333,1.149902344,209.333333,3,206.000000,1.131591797,206.000000,3,212.000000,1.164550781,211.666667,3
5,149.333333,0.820312500,149.333333,3,156.000000,0.856933594,156.000000,3,157.500000,0.865173340,154.000000,3
6,84.666667,0.465087891,84.666667,3,71.666667,0.393676758,71.666667,3,65.500000,0.359802246,67.333333,3
7,132.333333,0.726928711,132.333333,3,114.666667,0.629882812,114.666667,3,122.500000,0.672912598,119.333333,3
8,118.333333,0.650024414,118.333333,3,96.000000,0.527343750,96.000000,3,106.500000,0.585021973,107.000000,3
9,79.000000,0.433959961,79.000000,3,58.666667,0.322265625,58.666667,3,68.500000,0.376281738,68.333333,3
10,10.666667,0.058593750,10.666667,3,20.666667,0.113525391,20.666667,3,25.000000,0.137329102,24.000000,3
11,75.000000,0.411987305,75.000000,3,91.333333,0.501708984,91.333333,3,92.500000,0.508117676,93.333333,3
12,122.666667,0.673828125,122.666667,3,142.666667,0.783691406,142.666667,3,140.000000,0.769042969,141.000000,3
13,155.666667,0.855102539,155.666667,3,178.000000,0.977783203,178.000000,3,176.500000,0.969543457,175.666667,3
14,177.666667,0.975952148,177.666667,3,193.333333,1.062011719,193.333333,3,194.000000,1.065673828,194.666667,3
15,131.333333,0.721435547,131.333333,3,143.000000,0.785522461,143.000000,3,150.500000,0.826721191,154.000000,3
16,98.333333,0.540161133,98.333333,3,83.333333,0.457763672,83.333333,3,82.500000,0.453186035,82.666667,3
17,136.666667,0.750732422,136.666667,3,124.333333,0.682983398,124.333333,3,122.500000,0.672912598,120.666667,3
18,123.000000,0.675659180,123.000000,3,111.333333,0.611572266,111.333333,3,105.000000,0.576782227,104.666667,3
19,90.666667,0.498046875,90.666667,3,78.333333,0.430297852,78.333333,3,74.000000,0.406494141,70.666667,3
20,18.666667,0.102539062,18.666667,3,9.333333,0.051269531,9.333333,3,2.000000,0.010986328,2.666667,3
21,72.666667,0.399169922,72.666667,3,81.000000,0.444946289,81.000000,3,83.500000,0.458679199,86.666667,3
22,120.666667,0.662841797,120.666667,3,123.333333,0.677490234,123.333333,3,129.000000,0.708618164,130.333333,3
23,155.666667,0.855102539,155.666667,3,158.000000,0.867919922,158.000000,3,159.000000,0.873413086,160.333333,3
24,160.666667,0.882568359,160.666667,3,156.000000,0.856933594,156.000000,3,160.000000,0.878906250,164.000000,3
25,3.666667,0.020141602,3.666667,3,10.000000,0.054931641,10.000000,3,2.000000,0.010986328,4.333333,3
