motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P08,v5-5,3,TOP,1,131,131.0,0.09969666666666667,0.006625740210220545,0,0.0
P08,v5-5,3,TOP,2,130,130.0,0.09818333333333333,0.014331190925158086,1,0.3333333333333333
P08,v5-5,3,TOP,3,260,260.0,0.09808333333333334,0.005222014298461211,0,0.0
P08,v5-5,3,TOP,4,161,161.0,0.09779333333333333,0.008971478882176186,1,0.3333333333333333
P08,v5-5,3,TOP,5,111,111.0,0.0971,0.011270900585135156,1,0.3333333333333333
P08,v5-5,3,BOTTOM,1,308,308.0,-0.15207,0.0164609568373166,3,1.0
P08,v5-5,3,BOTTOM,2,350,350.0,-0.10303666666666667,0.0016496767360102207,0,0.0
P08,v5-5,3,BOTTOM,3,46,46.0,-0.10250999999999999,0.009756295403481791,1,0.3333333333333333
P08,v5-5,3,BOTTOM,4,289,289.0,-0.10144000000000002,0.010435616895996138,1,0.3333333333333333
P08,v5-5,3,BOTTOM,5,208,208.0,-0.09910999999999999,0.011992526839661446,1,0.3333333333333333
P08,v5-6,2,TOP,1,101,101.0,0.11284,0.0014283556979968316,2,1.0
P08,v5-6,2,TOP,2,31,31.0,0.10234,0.0015273506473629393,0,0.0
P08,v5-6,2,TOP,3,213,213.0,0.101275,0.00166170093578839,0,0.0
P08,v5-6,2,TOP,4,202,202.0,0.100525,0.0044477016536633865,0,0.0
P08,v5-6,2,TOP,5,52,52.0,0.10021,0.011964246737676387,1,0.5
P08,v5-6,2,BOTTOM,1,308,308.0,-0.234755,0.003132483040656398,2,1.0
P08,v5-6,2,BOTTOM,2,237,237.0,-0.10608000000000001,0.010012632021601508,1,0.5
P08,v5-6,2,BOTTOM,3,239,239.0,-0.104475,0.004985102807365161,1,0.5
P08,v5-6,2,BOTTOM,4,319,319.0,-0.10206499999999999,0.0013647160876900375,0,0.0
P08,v5-6,2,BOTTOM,5,311,311.0,-0.09941,0.00817415439051649,0,0.0
