motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P08,v5-5,3,1,geometric,0.004383866907643848,0.001268374716953889
P08,v5-5,3,2,geometric,0.008156027754837009,0.0010161293730440882
P08,v5-5,3,3,motor,0.0050409432506536905,0.0016982478119584037
P08,v5-5,3,4,geometric,0.0016413953386668334,0.001171031393316135
P08,v5-5,3,6,motor,0.0017038822655795552,0.0010974319616218113
P08,v5-5,3,8,geometric,0.0009933354764599305,0.0007707763305045493
P08,v5-5,3,9,motor,0.02220958785305699,0.00045719276331454843
P08,v5-5,3,12,motor,0.002133310229784569,0.0007205059672697672
P08,v5-5,3,18,motor,0.0030961851108471336,0.0005497648293092975
P08,v5-5,3,27,motor,0.0021892598112691927,0.0007068663390990006
P08,v5-5,3,36,motor,0.09780666749274387,0.0015157682564734072
P08,v5-5,3,45,motor,0.001998689476832772,0.0012735751923517561
P08,v5-5,3,72,motor,0.006833059663581262,0.0026975906520461316
P08,v5-5,3,108,motor,0.01726331531629724,0.001779682433640585
P08,v5-6,2,1,geometric,0.004781603331223552,0.00018006410953693228
P08,v5-6,2,2,geometric,0.007914793958788873,0.0004399540352281054
P08,v5-6,2,3,motor,0.005099805490224393,0.0007748726942254681
P08,v5-6,2,4,geometric,0.0024352838616931013,0.0003057141448367951
P08,v5-6,2,6,motor,0.000513838026334396,8.321030606147354e-05
P08,v5-6,2,8,geometric,0.0014012382879774968,0.00024646610379887047
P08,v5-6,2,9,motor,0.024201843824561333,0.001538138849662014
P08,v5-6,2,12,motor,0.0029760937663553385,0.000602712092127489
P08,v5-6,2,18,motor,0.00297608835994029,0.0015857083514991795
P08,v5-6,2,27,motor,0.0015156991697499378,0.00037408859592364264
P08,v5-6,2,36,motor,0.0988758549261019,0.00048654606953695554
P08,v5-6,2,45,motor,0.0013198121431222682,0.0008021080626033826
P08,v5-6,2,72,motor,0.005070848388321964,0.0003454771230268242
P08,v5-6,2,108,motor,0.017108774353794473,5.06668347583834e-05
