Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,5,0.172198969128119,0.18278130317321326,0.984282643510813,0.9688123223166341,0.0018046979118598121,0.01783781319502485,0.11543904754154992,0.22895889071468806
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,5,11.910598105316819,-0.7340837235700987,0.7288989649206256,0.5312937010623598,0.006996218946011436,6.458861989668345,-8.641500745807857,32.46269695644149
ALL,A36_Deg,NL_RobustP2P_Deg,5,4.5946282136349215,-0.21785948144255896,0.6465462910958193,0.418022106529759,0.007795899670370883,3.1299930058312215,-5.365009530920025,14.554265958189868
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,5,-0.16234423969058573,0.2476673483867407,-0.6406916782722619,0.4104858266073276,0.007846213525072983,0.11232444945442492,-0.5197606378545658,0.19507215847339435
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,5,4.973779464903902e-05,0.23349079999999997,0.9575658691693348,0.9169323937980236,0.002945295303607433,8.643170640855751e-06,2.223522566983602e-05,7.724036362824203e-05
V5.5,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.29142892905438494,0.15211487918018496,0.8490758112258827,0.7209297332088908,0.0026031810656160234,0.18131885814052617,-2.012408482479141,2.5952663405879104
V5.5,RMS_AC_Deg,NL_RobustP2P_Deg,3,5.394806420534282,-0.2098312963567537,0.9794140470899498,0.9592518756371133,0.0009947212698310165,1.1118939025877728,-8.732917505745958,19.52253034681452
V5.5,A36_Deg,NL_RobustP2P_Deg,3,1.9440154685140483,0.03715032547029576,0.8456680616500769,0.7151544704949988,0.0026299790977797007,1.2268867925401663,-13.644808117501306,17.5328390545294
V5.5,ClosureErrorDeg,NL_RobustP2P_Deg,3,-0.09220111622441964,0.23662612905120925,-0.8022348131973915,0.6435806955058551,0.0029419020043688583,0.06861440215694785,-0.9640157100305989,0.7796134775817597
V5.5,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,-0.0011450000000000026,0.08485000000000012,-0.5691588836995551,0.32394183489412376,0.004051721856198907,0.001654108521228274,-0.022162102870726452,0.019872102870726445
V5.6,ShadowP2P_Deg,NL_RobustP2P_Deg,2,0.15533661740558372,0.18853824958949067,1.0,1.0,0.0,0.0,0.15533661740558372,0.15533661740558372
V5.6,RMS_AC_Deg,NL_RobustP2P_Deg,2,-3.3164098530943145,0.5132554090784481,-1.0,1.0,0.0,0.0,-3.3164098530943145,-3.3164098530943145
V5.6,A36_Deg,NL_RobustP2P_Deg,2,-1.3748400344473726,0.3787334837926154,-1.0,1.0,0.0,0.0,-1.3748400344473726,-1.3748400344473726
V5.6,ClosureErrorDeg,NL_RobustP2P_Deg,2,0.016826752045535437,0.24167787193169687,0.9999999999999999,1.0,0.0,0.0,0.016826752045535437,0.016826752045535437
V5.6,AnalysisStartRawCentered,NL_RobustP2P_Deg,2,-9.460000000000024e-05,0.26044736000000007,-1.0,1.0,0.0,0.0,-9.460000000000024e-05,-9.460000000000024e-05
