motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P08,01,2,1,geometric,0.004781603331223552,0.00018006410953693228
P08,01,2,2,geometric,0.007914793958788873,0.0004399540352281054
P08,01,2,3,motor,0.005099805490224393,0.0007748726942254681
P08,01,2,4,geometric,0.0024352838616931013,0.0003057141448367951
P08,01,2,6,motor,0.000513838026334396,8.321030606147354e-05
P08,01,2,8,geometric,0.0014012382879774968,0.00024646610379887047
P08,01,2,9,motor,0.024201843824561333,0.001538138849662014
P08,01,2,12,motor,0.0029760937663553385,0.000602712092127489
P08,01,2,18,motor,0.00297608835994029,0.0015857083514991795
P08,01,2,27,motor,0.0015156991697499378,0.00037408859592364264
P08,01,2,36,motor,0.0988758549261019,0.00048654606953695554
P08,01,2,45,motor,0.0013198121431222682,0.0008021080626033826
P08,01,2,72,motor,0.005070848388321964,0.0003454771230268242
P08,01,2,108,motor,0.017108774353794473,5.06668347583834e-05
P08,02,2,1,geometric,0.006176665390294815,0.0009843001168380273
P08,02,2,2,geometric,0.01063127594350348,0.0006470181520483671
P08,02,2,3,motor,0.0052491244010006485,0.00024700433918788383
P08,02,2,4,geometric,0.0010261325867039809,0.0010221947747546946
P08,02,2,6,motor,0.002013742128471505,0.001511205846120776
P08,02,2,8,geometric,0.0020608581947844226,0.00192582751093423
P08,02,2,9,motor,0.022399638359522467,0.0004481422768249398
P08,02,2,12,motor,0.002836121283448908,0.00017712551250199967
P08,02,2,18,motor,0.00169694316481991,0.0008128624627097266
P08,02,2,27,motor,0.0046586762244160244,0.0011147035917246774
P08,02,2,36,motor,0.09591774823230506,0.0008345638372019529
P08,02,2,45,motor,0.005375906089959554,0.0027565900187026702
P08,02,2,72,motor,0.010609450377131232,0.0028447523063152235
P08,02,2,108,motor,0.013590865911742342,0.001977068556719988
