motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,01,3,TOP,1,254,254.0,1.84626,0.010224446195271379,3,1.0
P03,01,3,TOP,2,294,294.0,1.7485133333333334,0.029156517853360573,3,1.0
P03,01,3,TOP,3,253,253.0,1.7259233333333333,0.01840433191760391,3,1.0
P03,01,3,TOP,4,244,244.0,1.7203566666666668,0.11666071160992174,3,1.0
P03,01,3,TOP,5,134,134.0,1.6238133333333333,0.0300099855603653,1,0.3333333333333333
P03,01,3,BOTTOM,1,347,347.0,-0.9566766666666666,0.0380993915087017,3,1.0
P03,01,3,BOTTOM,2,346,346.0,-0.9341833333333334,0.018081176215427278,3,1.0
P03,01,3,BOTTOM,3,27,27.0,-0.91642,0.038982134369477534,3,1.0
P03,01,3,BOTTOM,4,107,107.0,-0.8749066666666666,0.057127240729212,2,0.6666666666666666
P03,01,3,BOTTOM,5,67,67.0,-0.85202,0.0027509089406957746,2,0.6666666666666666
P03,02,3,TOP,1,254,254.0,1.7342933333333335,0.028387901178729955,3,1.0
P03,02,3,TOP,2,294,294.0,1.6711666666666665,0.020313346187502804,3,1.0
P03,02,3,TOP,3,244,244.0,1.6053233333333334,0.059927876929967566,3,1.0
P03,02,3,TOP,4,253,253.0,1.6017066666666666,0.02116303932173576,3,1.0
P03,02,3,TOP,5,334,334.0,1.5540366666666667,0.016947980213976324,1,0.3333333333333333
P03,02,3,BOTTOM,1,347,347.0,-0.99772,0.03006824404583681,3,1.0
P03,02,3,BOTTOM,2,107,107.0,-0.9751200000000001,0.031022557921615724,3,1.0
P03,02,3,BOTTOM,3,27,27.0,-0.96986,0.03079854379674464,3,1.0
P03,02,3,BOTTOM,4,346,346.0,-0.9483,0.026451292974068386,3,1.0
P03,02,3,BOTTOM,5,106,106.0,-0.93237,0.03500227992574199,3,1.0
P03,03,3,TOP,1,254,254.0,1.7716366666666667,0.03741225645872399,3,1.0
P03,03,3,TOP,2,294,294.0,1.70089,0.02933301723314534,3,1.0
P03,03,3,TOP,3,253,253.0,1.6289566666666666,0.008752744331541613,3,1.0
P03,03,3,TOP,4,244,244.0,1.6131066666666667,0.006417026829719018,3,1.0
P03,03,3,TOP,5,134,134.0,1.5803633333333333,0.021892369294649962,0,0.0
P03,03,3,BOTTOM,1,347,347.0,-0.9731533333333333,0.022038569221556423,3,1.0
P03,03,3,BOTTOM,2,346,346.0,-0.9195933333333333,0.02621375465921152,3,1.0
P03,03,3,BOTTOM,3,107,107.0,-0.9102800000000001,0.017840933271552804,3,1.0
P03,03,3,BOTTOM,4,27,27.0,-0.9090933333333333,0.02216505658312948,3,1.0
P03,03,3,BOTTOM,5,67,67.0,-0.8769966666666668,0.037191351593257954,2,0.6666666666666666
