motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,01,3,1,geometric,0.1786326041106503,0.002754418645113229
P03,01,3,2,geometric,0.14106094465234473,0.004855244136173855
P03,01,3,3,motor,0.03729067895951002,0.0015265697136896779
P03,01,3,4,geometric,0.047678841395122774,0.0009692137337966767
P03,01,3,6,motor,0.009891185100197071,0.0009581786038202805
P03,01,3,8,geometric,0.013698024387151295,5.70128552075045e-05
P03,01,3,9,motor,0.173694152901905,0.0004803827039056368
P03,01,3,12,motor,0.030507017247569407,0.001195082727812715
P03,01,3,18,motor,0.11199789219887006,0.0014747285369018665
P03,01,3,27,motor,0.027162315171707654,0.0008391364251948464
P03,01,3,36,motor,0.90214110975822,0.0027040745464164315
P03,01,3,45,motor,0.0493568637473347,0.0018963890255229265
P03,01,3,72,motor,0.19248316102680732,0.0002970911554639158
P03,01,3,108,motor,0.11177171272754054,0.0006780000336158198
P03,02,3,1,geometric,0.17393542375661228,0.0010729131744361344
P03,02,3,2,geometric,0.13904241542030368,0.0008049083088908751
P03,02,3,3,motor,0.03511035345597962,0.0011082142857296922
P03,02,3,4,geometric,0.05092871957811331,0.0009220243737209696
P03,02,3,6,motor,0.007990149716784755,0.0017334362125483982
P03,02,3,8,geometric,0.011547979158389362,0.0005733963382911723
P03,02,3,9,motor,0.17158097120040858,0.0005587004298112737
P03,02,3,12,motor,0.04114241725113023,0.0011600480730515187
P03,02,3,18,motor,0.11045080223620111,0.0010271077969426414
P03,02,3,27,motor,0.02782457226829932,0.0017751102753126656
P03,02,3,36,motor,0.8993893438764085,0.0017896547833904839
P03,02,3,45,motor,0.04750492197948225,0.003306530453137366
P03,02,3,72,motor,0.1928054898962276,0.0012889286930079515
P03,02,3,108,motor,0.1119757889613364,0.0027178204757917325
P03,03,3,1,geometric,0.16933243392770228,0.0020163462384758545
P03,03,3,2,geometric,0.12768219248702406,0.000858303031819298
P03,03,3,3,motor,0.035543660552388945,0.00014156398587906693
P03,03,3,4,geometric,0.04849556462044014,0.0019974518778159514
P03,03,3,6,motor,0.008947061203498275,0.0008329181799747717
P03,03,3,8,geometric,0.013376849880150048,0.0005238439049319029
P03,03,3,9,motor,0.1748923084294772,0.0006360821699816344
P03,03,3,12,motor,0.032341727789215485,0.0012199004825012337
P03,03,3,18,motor,0.11271627350541402,0.0005479873380950977
P03,03,3,27,motor,0.027175679139412493,0.0004795686422070291
P03,03,3,36,motor,0.8939470769961728,0.0010559561537658547
P03,03,3,45,motor,0.04533818638484088,0.0036134996731219606
P03,03,3,72,motor,0.19190080493319348,0.0016655496753490238
P03,03,3,108,motor,0.11371082227581714,0.002549766738759327
