leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,p05,JIG1,TOP,1,264,264.0,1.9048633333333334,0.010865239681356897,3,1.0
A1,p05,JIG1,TOP,2,254,254.0,1.886453333333333,0.0024888618550119113,3,1.0
A1,p05,JIG1,TOP,3,263,263.0,1.8813300000000002,0.012825462954607129,3,1.0
A1,p05,JIG1,TOP,4,253,253.0,1.8408600000000002,0.020509609942658578,3,1.0
A1,p05,JIG1,TOP,5,294,294.0,1.7345966666666666,0.01843012298747177,3,1.0
A1,p05,JIG1,BOTTOM,1,116,116.0,-1.4282233333333334,0.025179087222004973,3,1.0
A1,p05,JIG1,BOTTOM,2,196,196.0,-1.390583333333333,0.01853468460301748,3,1.0
A1,p05,JIG1,BOTTOM,3,156,156.0,-1.3765233333333333,0.03803109298105078,3,1.0
A1,p05,JIG1,BOTTOM,4,117,117.0,-1.3468633333333333,0.020917768364080665,3,1.0
A1,p05,JIG1,BOTTOM,5,76,76.0,-1.3424500000000001,0.02828443388155397,3,1.0
B,p05,JIG1,TOP,1,264,264.0,1.9092200000000001,0.02978021658752664,3,1.0
B,p05,JIG1,TOP,2,254,254.0,1.87144,0.009980596174577963,3,1.0
B,p05,JIG1,TOP,3,263,263.0,1.86737,0.015036878000436163,3,1.0
B,p05,JIG1,TOP,4,253,253.0,1.8152066666666666,0.013284623943993832,3,1.0
B,p05,JIG1,TOP,5,294,294.0,1.7169633333333334,0.016221462120700834,3,1.0
B,p05,JIG1,BOTTOM,1,116,116.0,-1.4591666666666665,0.005613647061699972,3,1.0
B,p05,JIG1,BOTTOM,2,156,156.0,-1.4125966666666667,0.017821156902214093,3,1.0
B,p05,JIG1,BOTTOM,3,196,196.0,-1.4110533333333333,0.004103587861047094,3,1.0
B,p05,JIG1,BOTTOM,4,117,117.0,-1.3765033333333332,0.014614203137131123,3,1.0
B,p05,JIG1,BOTTOM,5,157,157.0,-1.3610033333333333,0.010089763789769023,2,0.6666666666666666
A2,p05,JIG1,TOP,1,264,264.0,1.8816499999999998,0.008366976753881868,3,1.0
A2,p05,JIG1,TOP,2,254,254.0,1.86108,0.015936715470886684,3,1.0
A2,p05,JIG1,TOP,3,263,263.0,1.86017,0.006599121153608297,3,1.0
A2,p05,JIG1,TOP,4,253,253.0,1.8057666666666667,0.006075033607588848,3,1.0
A2,p05,JIG1,TOP,5,294,294.0,1.6894733333333332,0.003925828999502288,2,0.6666666666666666
A2,p05,JIG1,BOTTOM,1,116,116.0,-1.4534099999999999,0.01810099168554035,3,1.0
A2,p05,JIG1,BOTTOM,2,156,156.0,-1.4244366666666668,0.025095221324653316,3,1.0
A2,p05,JIG1,BOTTOM,3,196,196.0,-1.41701,0.0035641689073330186,3,1.0
A2,p05,JIG1,BOTTOM,4,157,157.0,-1.3741466666666666,0.003439786815099641,3,1.0
A2,p05,JIG1,BOTTOM,5,117,117.0,-1.3738400000000002,0.019880344564418378,2,0.6666666666666666
