point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,-0.007763333333333333,0.003755134263023538,-0.20667576851851852,0.012173804967631026,0.0,0.0,-0.007806666666666667,0.0035856705556050928,-0.18212430555555556,0.011574966028801169,0.0,0.0,0.009926666666666667,0.012574117596608255,-0.16221371296296297,0.005006925152554414,0.0,0.0,0.001081666666666667,-0.18444474074074074,-0.008888333333333333,0.0023204351851851823,0,0.0,-0.18212430555555556,0.0023204351851851823
1,1.0,0.50879,0.004179521503713082,0.3098775648148149,0.011096976305762656,0.0,0.0,0.50596,0.014350790918970277,0.33164236111111106,0.013021227229716112,0.0,0.0,0.51066,0.019678302772342966,0.33851962037037037,0.0131347055523238,0.0,0.0,0.509725,0.32419859259259265,-0.0037650000000000183,0.007443768518518412,1,1.0,0.33164236111111106,0.007443768518518412
2,2.0,0.7620233333333334,0.000947329580100455,0.5631108981481482,0.014117674028766578,0.0,0.0,0.7551166666666665,0.010557614945305266,0.5807990277777778,0.009763105648370008,0.0,0.0,0.7607333333333334,0.014176915508436014,0.5885929537037037,0.0066717542352724,0.0,0.0,0.7613783333333334,0.5758519259259259,-0.006261666666666832,0.004947101851851876,2,2.0,0.5807990277777778,0.004947101851851876
3,3.0,0.9414166666666667,0.004042478612600599,0.7425042314814815,0.012053758687688602,0.0,0.0,0.9381733333333333,0.013162527619470881,0.7638556944444445,0.01315618328269647,0.0,0.0,0.9637366666666667,0.013658493084280349,0.791596287037037,0.01491723517668793,0.0,0.0,0.9525766666666666,0.7670502592592592,-0.014403333333333324,-0.0031945648148147265,3,3.0,0.7638556944444445,-0.0031945648148147265
4,4.0,0.89465,0.014366234718951274,0.6957375648148147,0.022877457604899867,0.0,0.0,0.8704633333333334,0.014350527284156941,0.6961456944444445,0.007614157771408517,0.0,0.0,0.8798933333333334,0.027324160249371503,0.7077529537037037,0.02327327149849242,0.0,0.0,0.8872716666666667,0.7017452592592592,-0.016808333333333314,-0.005599564814814717,4,4.0,0.6961456944444445,-0.005599564814814717
5,5.0,0.20210666666666666,0.003681607438787213,0.0031942314814814854,0.01660848342969225,0.0,0.0,0.1804,0.007894865420005595,0.0060823611111111104,0.0029441238483745745,0.0,0.0,0.20407333333333333,0.016732544138096075,0.03193295370370369,0.012450987694792515,0.0,0.0,0.20309,0.01756359259259259,-0.022689999999999988,-0.011481231481481478,5,5.0,0.0060823611111111104,-0.011481231481481478
6,6.0,-0.5485866666666667,0.016673021121960303,-0.7474991018518518,0.0032899881769898128,0.0,0.0,-0.5472433333333333,0.008546474906845148,-0.7215609722222222,0.01077502341895428,0.0,0.0,-0.5420433333333333,0.00988656327210489,-0.714183712962963,0.0060470382360066,0.0,0.0,-0.545315,-0.7308414074074074,-0.0019283333333333097,0.009280435185185287,6,6.0,-0.7215609722222222,0.009280435185185287
7,7.0,-0.6959733333333333,0.008156502518440932,-0.8948857685185185,0.017936283745863844,0.0,0.0,-0.7097266666666666,0.002098626534982657,-0.8840443055555555,0.007154273525593808,0.0,0.0,-0.7036033333333332,0.012525463397947929,-0.8757437129629629,0.005230162206423864,0.0,0.0,-0.6997883333333332,-0.8853147407407407,-0.009938333333333382,0.0012704351851852147,7,7.0,-0.8840443055555555,0.0012704351851852147
8,8.0,-0.5362166666666667,0.018743991926303546,-0.7351291018518519,0.012674853800789908,0.0,0.0,-0.5497366666666667,0.008443484667679139,-0.7240543055555556,0.013727323956705652,0.0,0.0,-0.5511166666666667,0.011913695200622425,-0.7232570462962963,0.0121918689032344,0.0,0.0,-0.5436666666666667,-0.7291930740740741,-0.006069999999999909,0.005138768518518466,8,8.0,-0.7240543055555556,0.005138768518518466
9,9.0,-0.26611333333333337,0.013257399191897837,-0.46502576851851857,0.0034332285826942635,0.0,0.0,-0.28905,0.0059101353622400205,-0.46336763888888893,0.0025744286768807135,0.0,0.0,-0.2770566666666667,0.007682163323786674,-0.44919704629629625,0.00016077284972225005,0.0,0.0,-0.271585,-0.4571114074074074,-0.017464999999999953,-0.006256231481481522,9,9.0,-0.46336763888888893,-0.006256231481481522
10,10.0,0.17739000000000002,0.013153657286093487,-0.02152243518518518,0.0019019841445748033,0.0,0.0,0.18041,0.00404538008103071,0.006092361111111111,0.012244772613065497,0.0,0.0,0.19143666666666667,0.011099411395805328,0.019296287037037025,0.0052580462980246455,0.0,0.0,0.18441333333333335,-0.001113074074074077,-0.004003333333333359,0.007205435185185188,10,10.0,0.006092361111111111,0.007205435185185188
11,11.0,0.59086,0.010506659792721982,0.3919475648148148,0.01211778895845975,0.0,0.0,0.58779,0.01287034964560017,0.41347236111111113,0.005406809154627902,0.0,0.0,0.5909633333333333,0.00523007966797196,0.41882295370370365,0.0071584793247268,0.0,0.0,0.5909116666666667,0.4053852592592592,-0.0031216666666666892,0.008087101851851908,11,11.0,0.41347236111111113,0.008087101851851908
12,12.0,0.8488966666666666,0.018081704381316864,0.6499842314814815,0.009923355763658803,0.0,0.0,0.8386733333333334,0.013931781412774643,0.6643556944444444,0.007282453090294903,0.0,0.0,0.83963,0.003765966011530095,0.6674896203703704,0.009562074098089603,0.0,0.0,0.8442633333333334,0.6587369259259259,-0.005589999999999984,0.005618768518518502,12,12.0,0.6643556944444444,0.005618768518518502
13,13.0,1.0361966666666664,0.005964908493290863,0.8372842314814815,0.011864883300026626,0.0,0.0,1.02884,0.011500743454229438,0.854522361111111,0.003377431422300995,0.0,0.0,1.0319,0.015716968537221248,0.8597596203703702,0.009665719993968432,0.0,0.0,1.0340483333333332,0.8485219259259258,-0.005208333333333259,0.006000435185185227,13,13.0,0.854522361111111,0.006000435185185227
14,14.0,1.0473433333333333,0.012876274046995623,0.8484308981481482,0.004611885669328188,0.0,0.0,1.0087166666666667,0.0005052062285179019,0.8343990277777777,0.0077566801827064335,0.0,0.0,1.0094833333333335,0.005160235782726687,0.8373429537037037,0.008974035687488661,0.0,0.0,1.0284133333333334,0.842886925925926,-0.019696666666666696,-0.00848789814814821,14,14.0,0.8343990277777777,-0.00848789814814821
15,15.0,0.37512999999999996,0.01649754830270244,0.1762175648148148,0.029973779019106254,0.0,0.0,0.37331000000000003,0.009986806296309152,0.1989923611111111,0.005016929418491317,0.0,0.0,0.3942666666666667,0.011284699080318133,0.22212628703703705,0.013733393852413301,0.0,0.0,0.38469833333333336,0.19917192592592592,-0.011388333333333334,-0.0001795648148148199,15,15.0,0.1989923611111111,-0.0001795648148148199
16,16.0,-0.3720033333333333,0.012562461276888884,-0.5709157685185186,0.0025049347188047188,0.0,0.0,-0.38181666666666664,0.017467719751969167,-0.5561343055555555,0.014628650530574563,0.0,0.0,-0.3601666666666667,0.014571686015466203,-0.5323070462962963,0.0072849963294650205,0.0,0.0,-0.366085,-0.5516114074074074,-0.015731666666666644,-0.004522898148148102,16,16.0,-0.5561343055555555,-0.004522898148148102
17,17.0,-0.5466933333333334,0.01785716196189452,-0.7456057685185185,0.007304382752150719,0.0,0.0,-0.5569766666666667,0.009311317486442676,-0.7312943055555555,0.001149210700684553,0.0,0.0,-0.5457433333333334,0.006852549403932347,-0.7178837129629629,0.003757489267369013,0.0,0.0,-0.5462183333333334,-0.7317447407407407,-0.010758333333333314,0.0004504351851851718,17,17.0,-0.7312943055555555,0.0004504351851851718
18,18.0,-0.41812000000000005,0.01759283092626085,-0.6170324351851852,0.0026217217238534963,0.0,0.0,-0.4273466666666667,0.006840704154787967,-0.6016643055555556,0.0018357440850180935,0.0,0.0,-0.41999000000000003,0.015347250568098516,-0.5921303796296297,0.007930817104576628,0.0,0.0,-0.41905500000000007,-0.6045814074074074,-0.008291666666666642,0.002917101851851789,18,18.0,-0.6016643055555556,0.002917101851851789
19,19.0,-0.20233333333333334,0.005006259415305338,-0.4012457685185185,0.01124647286194042,0.0,0.0,-0.2242833333333333,0.00487075285077506,-0.3986009722222222,0.007374551490023818,0.0,0.0,-0.21547666666666668,0.006485016062688921,-0.3876170462962963,0.006321678123575799,0.0,0.0,-0.208905,-0.3944314074074074,-0.0153783333333333,-0.004169564814814786,19,19.0,-0.3986009722222222,-0.004169564814814786
20,20.0,0.1544,0.018097124080914066,-0.04451243518518518,0.0045531997683671225,0.0,0.0,0.12678333333333333,0.01423722702401465,-0.04753430555555555,0.010636778893751989,0.0,0.0,0.1384,0.007434319067675257,-0.03374037962962964,0.00444545103968594,0.0,0.0,0.1464,-0.039126407407407415,-0.01961666666666667,-0.008407898148148137,20,20.0,-0.04753430555555555,-0.008407898148148137
21,21.0,0.6321033333333334,0.013368187361543543,0.4331908981481482,0.003977915839601771,0.0,0.0,0.6093433333333333,0.009047045558265618,0.43502569444444444,0.006846421831967063,0.0,0.0,0.6165866666666667,0.010569845473484161,0.4444462870370371,0.004326584075348578,0.0,0.0,0.624345,0.43881859259259265,-0.015001666666666691,-0.003792898148148205,21,21.0,0.43502569444444444,-0.003792898148148205
