motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
p03,JIG1,9,TOP,1,254,254.0,1.7840633333333333,0.05490887815280879,9,1.0
p03,JIG1,9,TOP,2,294,294.0,1.7068566666666667,0.040896647478736,9,1.0
p03,JIG1,9,TOP,3,253,253.0,1.6521955555555554,0.05841798270034476,9,1.0
p03,JIG1,9,TOP,4,244,244.0,1.646262222222222,0.08608158278310434,9,1.0
p03,JIG1,9,TOP,5,334,334.0,1.571318888888889,0.021323878894589282,3,0.3333333333333333
p03,JIG1,9,BOTTOM,1,347,347.0,-0.97585,0.03209805251101694,9,1.0
p03,JIG1,9,BOTTOM,2,346,346.0,-0.9340255555555557,0.0241447267074568,9,1.0
p03,JIG1,9,BOTTOM,3,27,27.0,-0.9317911111111111,0.039561652974959366,9,1.0
p03,JIG1,9,BOTTOM,4,107,107.0,-0.9201022222222223,0.0554376336024947,8,0.8888888888888888
p03,JIG1,9,BOTTOM,5,67,67.0,-0.8835522222222223,0.038436974964797165,4,0.4444444444444444
p05,JIG1,9,TOP,1,264,264.0,1.8985777777777777,0.02082002148040301,9,1.0
p05,JIG1,9,TOP,2,254,254.0,1.872991111111111,0.014560679452247758,9,1.0
p05,JIG1,9,TOP,3,263,263.0,1.8696233333333332,0.013976607242102812,9,1.0
p05,JIG1,9,TOP,4,253,253.0,1.8206111111111112,0.02014575603225435,9,1.0
p05,JIG1,9,TOP,5,294,294.0,1.7136777777777779,0.02328944115783899,8,0.8888888888888888
p05,JIG1,9,BOTTOM,1,116,116.0,-1.4469333333333332,0.021246434995076256,9,1.0
p05,JIG1,9,BOTTOM,2,196,196.0,-1.4062155555555556,0.015407084499598806,9,1.0
p05,JIG1,9,BOTTOM,3,156,156.0,-1.4045188888888889,0.032643173269630364,9,1.0
p05,JIG1,9,BOTTOM,4,117,117.0,-1.3657355555555555,0.021523462843552332,8,0.8888888888888888
p05,JIG1,9,BOTTOM,5,76,76.0,-1.350708888888889,0.01818347769573002,3,0.3333333333333333
