motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
p03,JIG1,6,TOP,1,254,254.0,1.7218116666666667,0.0185706191783329,6,1.0
p03,JIG1,6,TOP,2,294,294.0,1.6719466666666667,0.04714305830837305,6,1.0
p03,JIG1,6,TOP,3,253,253.0,1.5797933333333332,0.0315081777744551,6,1.0
p03,JIG1,6,TOP,4,244,244.0,1.57014,0.02557875681107278,5,0.8333333333333334
p03,JIG1,6,TOP,5,334,334.0,1.5568333333333333,0.04249775696041696,3,0.5
p03,JIG1,6,BOTTOM,1,107,107.0,-1.0059616666666666,0.021686604544434013,6,1.0
p03,JIG1,6,BOTTOM,2,106,106.0,-0.9654633333333335,0.030533256404561015,6,1.0
p03,JIG1,6,BOTTOM,3,27,27.0,-0.9604133333333333,0.01573036892976979,6,1.0
p03,JIG1,6,BOTTOM,4,347,347.0,-0.9507233333333334,0.026671983553284272,4,0.6666666666666666
p03,JIG1,6,BOTTOM,5,67,67.0,-0.9337566666666667,0.037952535444508384,3,0.5
p03,JIG4,3,TOP,1,294,294.0,1.67519,0.0930070196275529,3,1.0
p03,JIG4,3,TOP,2,334,334.0,1.663433333333333,0.01168998859423463,3,1.0
p03,JIG4,3,TOP,3,333,333.0,1.5197433333333334,0.011836605650833085,3,1.0
p03,JIG4,3,TOP,4,293,293.0,1.5002133333333332,0.01861226029619537,3,1.0
p03,JIG4,3,TOP,5,254,254.0,1.46179,0.013149749047035064,3,1.0
p03,JIG4,3,BOTTOM,1,27,27.0,-1.14412,0.019742195926492047,3,1.0
p03,JIG4,3,BOTTOM,2,26,26.0,-1.048,0.018086865400063133,3,1.0
p03,JIG4,3,BOTTOM,3,107,107.0,-0.96787,0.021977406580395258,3,1.0
p03,JIG4,3,BOTTOM,4,106,106.0,-0.9617866666666667,0.0250040483388857,2,0.6666666666666666
p03,JIG4,3,BOTTOM,5,7,7.0,-0.9472033333333334,0.010974672356536845,1,0.3333333333333333
p05,JIG1,6,TOP,1,334,334.0,1.5430400000000002,0.07248227231537377,6,1.0
p05,JIG1,6,TOP,2,344,344.0,1.5255233333333333,0.027594275976489488,3,0.5
p05,JIG1,6,TOP,3,333,333.0,1.483905,0.07798279932138878,6,1.0
p05,JIG1,6,TOP,4,343,343.0,1.4765716666666666,0.0223154129844524,3,0.5
p05,JIG1,6,TOP,5,304,304.0,1.4421916666666668,0.10265417271921616,4,0.6666666666666666
p05,JIG1,6,BOTTOM,1,76,76.0,-1.610235,0.0640896533771248,4,0.6666666666666666
p05,JIG1,6,BOTTOM,2,116,116.0,-1.6057633333333332,0.05686897173913612,6,1.0
p05,JIG1,6,BOTTOM,3,77,77.0,-1.5729066666666667,0.06372732464701988,4,0.6666666666666666
p05,JIG1,6,BOTTOM,4,117,117.0,-1.5223116666666667,0.07563645719272329,6,1.0
p05,JIG1,6,BOTTOM,5,196,196.0,-1.4828999999999999,0.09924042885840433,2,0.3333333333333333
p05,JIG4,3,TOP,1,304,304.0,1.7425933333333334,0.013169822828471671,3,1.0
p05,JIG4,3,TOP,2,264,264.0,1.67352,0.0025983263844251495,3,1.0
p05,JIG4,3,TOP,3,294,294.0,1.6707933333333334,0.006418725210922679,3,1.0
p05,JIG4,3,TOP,4,303,303.0,1.6696766666666667,0.010985337197070184,3,1.0
p05,JIG4,3,TOP,5,254,254.0,1.65116,0.010775694873185668,3,1.0
p05,JIG4,3,BOTTOM,1,37,37.0,-1.2736433333333332,0.020024885351315684,3,1.0
p05,JIG4,3,BOTTOM,2,76,76.0,-1.2622066666666667,0.022390266486429625,3,1.0
p05,JIG4,3,BOTTOM,3,36,36.0,-1.2436633333333333,0.014836715719233003,3,1.0
p05,JIG4,3,BOTTOM,4,77,77.0,-1.22232,0.012117227405640313,3,1.0
p05,JIG4,3,BOTTOM,5,116,116.0,-1.21696,0.03113210079644475,3,1.0
