"Source","SchemaVersion","MCU_UID","Jig","JigKnown","Product","MetaMotorID","MotorIDSource","MotorIDValid","MotorIdentityConsistent","MotorPoleCount","MotorPolePairs","ElectricalRippleOrder","AElectrical6","ElectricalRippleValid","H2AmplitudeDeg","H2PhaseSweepDeg","H2C","H2S","Run","SessionID","BatchID","CycleOrder","RunRole","EligibleForStatistics","PreconditionProtocol","PreconditionValid","BatchRunCount","ThermalProtocol","TestID","SweepID","MA600Mode","MathContractVersion","SignedRoundingMode","CanonicalMeanSource","OfficialResultSource","ShadowCanonicalEnabled","ShadowContractVersion","ShadowContractEffectiveVersion","ShadowContractLegacyAlias","ShadowValid","ShadowRMS_AC","ShadowA36","ShadowP2P","ShadowClosureErrorDeg","ShadowClosureValid","ShadowLegacyMinusCanonicalRMS","ShadowLegacyMinusCanonicalA36","ShadowTransactions","ShadowAcceptedSamples","ShadowFailedPoints","ShadowEndStatus","ClosureProbeEnabled","ClosureProbeProtocol","ClosureProbeStatus","ClosureProbeComplete","ClosureProbeAttemptedStages","ClosureProbeValidStages","PostTurnTimingComparable","ClosureProbeInitialDeg","ClosureProbeHold50Deg","ClosureProbeHold100Deg","ClosureProbeHold200Deg","ClosureProbeDelta50InitialDeg","ClosureProbeDelta100InitialDeg","ClosureProbeDelta200InitialDeg","ClosureProbeInitialWindowP2PRaw","ClosureProbeHold200WindowP2PRaw","ClosureProbeInitialWindowDriftRaw","ClosureProbeHold200WindowDriftRaw","ApproachProtocol","ApproachStructuralValid","ApproachStatus","ApproachComplete","ApproachAcquisitionClean","ApproachStepCountValid","ApproachDirectionValid","BackoffDirectionValid","ApproachObservedDeltaRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","BackoffTargetErrorRaw","ApproachMotionQualification","ApproachPath","ReversalCount","PreRollCommandDeltaRaw","PreRollObservedDeltaRaw","PreRollTargetErrorRaw","PreRollDurationMs","FinalCommandDeltaRaw","FinalObservedDeltaRaw","FinalTargetErrorRaw","FinalDurationMs","OriginShiftObservedRaw","OriginShiftTargetErrorRaw","InitialSettleResult","PreRollSettleResult","FinalSettleResult","PrePositionSettleResult","LocalBackoffSettleResult","LocalBackoffCommandDeltaRaw","LocalBackoffObservedDeltaRaw","LocalBackoffTargetErrorRaw","LocalBackoffDurationMs","ApproachReadAttempts","ApproachRetries","ApproachTransportErrors","ApproachJumpRejects","ApproachFailedSamples","OfficialMeasurementValid","OfficialInvalidReasonMask","TrackingValid","SettleStabilityValid","SettleTargetProximityValid","SettleValid","ContinuousSweepContext","RampFeedbackEnabled","ContextReacquireCount","ContextReadAttempts","ContextAcceptedSamples","RampReadAttempts","RampAcceptedSamples","SettleReadAttempts","SettleAcceptedSamples","SettleTimeoutPoints","SettleWrongPositionPoints","MaxAbsSettlePositionErrorRaw","MaxAbsSettlePositionErrorDeg","ClosureErrorDeg","ClosureLimitDeg","ClosureValid","ClosureMeaning","PostTurnRepeatRMSDeg","ClosureNormalizedDeltaRMSDeg","ClosureNormalizedDeltaMaxAbsDeg","PostTurnAnalysisValid","AnalysisStartRaw","AcquisitionResult","EndStatus","MotorOffset1","MotorOffset2","MotorOffset3","MotorOffsetUsedMean","AngleOffset1","AngleOffset2","AngleOffset3","AngleOffsetUsedMean","StartRaw1","StartRaw2","StartRaw3","StartRawUsedMean","StartCount1","StartCount2","StartCount3","StartCountUsedMean","StartFilteredUsedMean","StartRawAngleUsedMean","NL1","NL2","NL3","NLAvg","RawNL1","RawNL2","RawNL3","RawNLAvg","NLMinusRawAvg","FilterRawDiff2","FilterRawDiff3","FilterRawDiffUsedMax","PowerMinCW","Result"
"S2-P03-JIG1-A1.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.914","1","0.1661","171.1797","-0.164135720710558","0.0254691025916823","0","BOOT_UNFRAMED","1","1","PRECONDITION","0","ONE_FULL_SWEEP_120S_V1_FAST3","NA","3","COOLDOWN_120S_V1","1","1","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.70656","0.91406","2.86923","0.13836","1","-0.00018","-0.00011","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.13836","0.15012","0.15638","0.15716","0.01176","0.01802","0.0188","9","10","0","5","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11307","384","2348","182","72","-110","47","11309","386","OK","NA","OK","OK","OK","-182","-70","112","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44782","44782","14800","14800","3359","3359","0","0","386","2.12036","-0.14554","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0720762236802124","0.116114649291121","0.20175","1","11235","OK","VALID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"S2-P03-JIG1-A1.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.9007","1","0.1202","-161.817","-0.114197774697551","-0.0375087756948617","1","BOOT_UNFRAMED","1","2","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","2","2","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69604","0.90066","2.7283","0.00412","1","-0.0001","6E-05","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.00412","0.01313","0.02086","0.02481","0.00901","0.01674","0.02069","7","9","1","0","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11309","386","2348","182","74","-108","47","11311","388","OK","NA","OK","OK","OK","-182","-72","110","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44782","44782","14800","14800","3359","3359","0","0","388","2.13135","-0.00473","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.110435797094964","0.114412146820169","0.20944","1","11253","OK","VALID","329",,,,"421.81",,,,"11252",,,,"76788",,,,,,"2.58",,,"2.58","2.58",,,"2.58","0",,,,,"OK"
"S2-P03-JIG1-A1.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8982","1","0.1085","-152.6655","-0.0963849877564759","-0.0498215228107692","2","BOOT_UNFRAMED","1","3","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","3","3","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69487","0.8984","2.74263","0.01854","1","-0.00025","-0.00022","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.01854","0.02867","0.03227","0.03777","0.01013","0.01373","0.01923","9","9","-3","0","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11321","398","2348","182","78","-104","47","11323","400","OK","NA","OK","OK","OK","-182","-76","106","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44764","44764","14800","14800","3341","3341","0","0","400","2.19727","-0.01855","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0759706617056874","0.0918958983850748","0.14795","1","11252","OK","VALID","331",,,,"421.82",,,,"11254",,,,"76790",,,,,,"2.6",,,"2.6","2.6",,,"2.6","0",,,,,"OK"
"S2-P03-JIG1-A1.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8987","1","0.1138","-155.2237","-0.103324812909205","-0.0476909114745972","3","BOOT_UNFRAMED","1","4","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","4","4","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69544","0.89904","2.70882","0.02172","1","-0.00055","-0.00038","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.02172","0.03493","0.03974","0.04128","0.01321","0.01802","0.01956","7","9","0","-3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11311","388","2348","182","74","-108","47","11312","389","OK","NA","OK","OK","OK","-182","-73","109","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44764","44764","14800","14800","3341","3341","0","0","389","2.13684","-0.02567","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0911886962841338","0.105190522624427","0.19461","1","11250","OK","VALID","328",,,,"421.8",,,,"11251",,,,"76787",,,,,,"2.59",,,"2.59","2.59",,,"2.59","0",,,,,"OK"
"S2-P03-JIG1-A2.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8989","1","0.0878","-162.0479","-0.0835254153868042","-0.0270618732622451","0","BOOT_UNFRAMED","1","1","PRECONDITION","0","ONE_FULL_SWEEP_120S_V1_FAST3","NA","3","COOLDOWN_120S_V1","1","1","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69604","0.89949","2.8331","0.19621","1","-0.00057","-0.00057","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.19621","0.21895","0.21921","0.22325","0.02274","0.023","0.02704","9","12","0","-2","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11280","357","2348","182","77","-105","47","11285","362","OK","NA","OK","OK","OK","-182","-72","110","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44762","44762","14800","14800","3339","3339","0","0","362","1.98853","-0.19366","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.126731441678851","0.105255694145258","0.15368","1","11218","OK","VALID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"S2-P03-JIG1-A2.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8974","1","0.1246","-167.0853","-0.121448103983943","-0.027848124509658","1","BOOT_UNFRAMED","1","2","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","2","2","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.6956","0.89748","2.73791","0.05313","1","-0.00012","-0.0001","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.05313","0.06618","0.07424","0.06935","0.01305","0.02111","0.01622","9","7","5","-3","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11321","398","2348","182","79","-103","47","11320","397","OK","NA","OK","OK","OK","-182","-80","102","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44767","44767","14800","14800","3344","3344","0","0","397","2.18079","-0.05197","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0741620267387563","0.114342092030888","0.18454","1","11248","OK","VALID","320",,,,"421.76",,,,"11243",,,,"76779",,,,,,"2.62",,,"2.62","2.62",,,"2.62","0",,,,,"OK"
"S2-P03-JIG1-A2.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8974","1","0.1208","-165.5381","-0.11697232173146","-0.0301681280286305","2","BOOT_UNFRAMED","1","3","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","3","3","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69641","0.89798","2.7398","0.02781","1","-0.00046","-0.00054","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.02781","0.04146","0.04094","0.04772","0.01365","0.01313","0.01991","8","8","-1","-2","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11326","403","2348","182","73","-109","47","11321","398","OK","NA","OK","OK","OK","-182","-78","104","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44762","44762","14800","14800","3339","3339","0","0","398","2.18628","-0.02597","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0868678936661872","0.105735826426051","0.15466","1","11249","OK","VALID","320",,,,"421.76",,,,"11243",,,,"76779",,,,,,"2.59",,,"2.59","2.59",,,"2.59","0",,,,,"OK"
"S2-P03-JIG1-A2.txt","5","003C00273234470438353535","JIG1","1","P03","p03","UNSET","0","1","12","6","36","0.8963","1","0.122","-167.115","-0.118927992118625","-0.0272053798104765","3","BOOT_UNFRAMED","1","4","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","4","4","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69564","0.89678","2.71422","0.01545","1","-0.0003","-0.00044","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.01545","0.02103","0.02223","0.02386","0.00558","0.00678","0.00841","8","8","-1","1","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11322","399","2348","182","78","-104","47","11323","400","OK","NA","OK","OK","OK","-182","-77","105","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44763","44763","14800","14800","3340","3340","0","0","400","2.19727","-0.01257","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0787279676480982","0.0904329546680855","0.12878","1","11244","OK","VALID","323",,,,"421.78",,,,"11246",,,,"76782",,,,,,"2.6",,,"2.6","2.6",,,"2.6","0",,,,,"OK"
"S2-P03-JIG4-B.txt","5","0049003A3034510B31363339","JIG4","1","P03","p03","UNSET","0","1","12","6","36","0.9077","1","0.1519","-141.5155","-0.118903755610118","-0.0945278102031843","0","BOOT_UNFRAMED","1","1","PRECONDITION","0","ONE_FULL_SWEEP_120S_V1_FAST3","NA","3","COOLDOWN_120S_V1","1","1","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.69748","0.90795","2.73834","0.02094","1","-0.00036","-0.0003","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","0.02094","0.0309","0.04025","0.05253","0.00996","0.01931","0.03159","8","10","3","1","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11204","281","2348","182","78","-104","47","11206","283","OK","NA","OK","OK","OK","-182","-76","106","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44778","44778","14800","14800","3355","3355","0","0","303","1.66443","-0.02636","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0431158392009248","0.0586325969917758","0.10396","1","11391","OK","VALID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"S2-P03-JIG4-B.txt","5","0049003A3034510B31363339","JIG4","1","P03","p03","UNSET","0","1","12","6","36","0.9078","1","0.1557","-134.7737","-0.109660822154199","-0.110530512006708","1","BOOT_UNFRAMED","1","2","OFFICIAL","1","ONE_FULL_SWEEP_120S_V1_FAST3","1","3","COOLDOWN_120S_V1","2","2","","","","","LEGACY","1","CANONICAL_Q16_1DEG360_V2","CANONICAL_Q16_1DEG360_V2","0","1","0.6993","0.90828","2.79782","-0.00807","1","-0.0003","-0.00048","23744","23744","0","VALID","1","CLOSURE_HOLD_V1","VALID","1","4","4","0","-0.00807","0.00137","0.00601","0.01665","0.00944","0.01408","0.02472","12","8","0","-1","SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1","1","OK","1","1","","","","","","","","","","CW_CCW_CW","2","10923","11205","282","2348","182","74","-108","47","11205","282","OK","NA","OK","OK","OK","-182","-74","108","47","2517","0","0","0","0","1","","1","1","1","1","SWEEP_CONTEXT_V1","1","0","44762","44762","14800","14800","3339","3339","0","0","301","1.65344","0.00406","","1","DIAGNOSTIC_SCHEMA_V5_PILOT","0.0922640494450574","0.0894172427443387","0.17145","1","11396","OK","VALID","469",,,,"62.58",,,,"11392",,,,"11392",,,,,,"2.57",,,"2.57","2.57",,,"2.57","0",,,,,"OK"
