point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,0.0034800000000000005,0.013358491681323907,-0.3009267222222222,0.015077354161432254,0.0,0.0,-0.004096666666666666,0.010826381359130728,-0.25728325925925927,0.015246507719573164,0.0,0.0,-0.0023000000000000004,0.012490752579408498,-0.3263703148148148,0.012904085768600823,0.0,0.0,0.00059,-0.3136485185185185,-0.004686666666666666,0.056365259259259226,0,0.0,-0.25728325925925927,0.056365259259259226
1,1.0,0.5192066666666667,0.0269578213758704,0.21479994444444447,0.030189730937270967,0.0,0.0,0.4726066666666667,0.005337380755888926,0.21942007407407407,0.010559999932240983,0.0,0.0,0.47045000000000003,0.0034589160151700816,0.14637968518518518,0.013839378280474619,0.0,0.0,0.49482833333333337,0.18058981481481484,-0.022221666666666695,0.03883025925925923,1,1.0,0.21942007407407407,0.03883025925925923
2,2.0,0.81906,0.05635907291643468,0.5146532777777778,0.06029092527218274,0.0,0.0,0.7368566666666667,0.006698942702645961,0.4836700740740741,0.009181187451161981,0.0,0.0,0.72526,0.03013776534516118,0.4011896851851852,0.03700373992091224,0.0,0.0,0.77216,0.4579214814814815,-0.03530333333333324,0.0257485925925926,2,2.0,0.4836700740740741,0.0257485925925926
3,3.0,0.9951966666666667,0.03558497482552618,0.6907899444444444,0.03978684023306553,0.0,0.0,0.93867,0.013948680941221665,0.6854834074074073,0.010252000620224242,0.0,0.0,0.9238066666666667,0.010135740393939318,0.5997363518518518,0.006011480173406266,0.0,0.0,0.9595016666666667,0.6452631481481481,-0.020831666666666693,0.040220259259259206,3,3.0,0.6854834074074073,0.040220259259259206
4,4.0,0.9740833333333333,0.0899839331955063,0.6696766111111111,0.09137265348352523,0.0,0.0,0.9204833333333333,0.011719950227425596,0.6672967407407407,0.009984991758673704,0.0,0.0,0.95083,0.051993188977018955,0.6267596851851852,0.042897633932693885,0.0,0.0,0.9624566666666666,0.6482181481481482,-0.04197333333333331,0.01907859259259259,4,4.0,0.6672967407407407,0.01907859259259259
5,5.0,0.3358966666666667,0.03810288221819096,0.03148994444444444,0.03564959320569425,0.0,0.0,0.26979000000000003,0.02692730955739915,0.016603407407407417,0.011666194921194327,0.0,0.0,0.28457666666666664,0.04023586749820777,-0.03949364814814815,0.04609849726084995,0.0,0.0,0.31023666666666666,-0.004001851851851857,-0.04044666666666663,0.020605259259259275,5,5.0,0.016603407407407417,0.020605259259259275
6,6.0,-0.6348033333333333,0.012321153896179236,-0.9392100555555555,0.004352940660995541,0.0,0.0,-0.7652266666666666,0.008157703925329298,-1.0184132592592594,0.02278618484663955,0.0,0.0,-0.68866,0.0067882766590644855,-1.0127303148148148,0.007155152577848565,0.0,0.0,-0.6617316666666666,-0.9759701851851852,-0.103495,-0.042443074074074216,6,6.0,-1.0184132592592594,-0.042443074074074216
7,7.0,-0.8592033333333333,0.021703330005631235,-1.1636100555555555,0.025476386662910973,0.0,0.0,-0.9472033333333334,0.010974672356536845,-1.2003899259259259,0.006052478988171976,0.0,0.3333333333333333,-0.8728400000000001,0.014735925488410961,-1.1969103148148148,0.007685011427090811,0.0,0.0,-0.8660216666666667,-1.180260185185185,-0.08118166666666671,-0.02012974074074081,7,7.0,-1.2003899259259259,-0.02012974074074081
8,8.0,-0.6901366666666666,0.011027956897509794,-0.9945433888888888,0.014920161905523494,0.0,0.0,-0.7801933333333334,0.035960901453291345,-1.033379925925926,0.031902096007630006,0.0,0.0,-0.7054766666666668,0.005455871454986215,-1.0295469814814815,0.006295475637701038,0.0,0.0,-0.6978066666666667,-1.012045185185185,-0.08238666666666672,-0.021334740740740932,8,8.0,-1.033379925925926,-0.021334740740740932
9,9.0,-0.4091766666666667,0.007239767491662534,-0.713583388888889,0.009849710213353352,0.0,0.0,-0.5001966666666666,0.03534190336319383,-0.7533832592592592,0.025478000158714334,0.0,0.0,-0.42319666666666667,0.013043022400246565,-0.7472669814814815,0.004335339427234151,0.0,0.0,-0.4161866666666667,-0.7304251851851853,-0.08400999999999992,-0.02295807407407391,9,9.0,-0.7533832592592592,-0.02295807407407391
