leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,p05,JIG1,TOP,1,344,344.0,1.5416266666666667,0.010785069927141518,3,1.0
A1,p05,JIG1,TOP,2,334,334.0,1.4797766666666667,0.01861573886079547,3,1.0
A1,p05,JIG1,TOP,3,343,343.0,1.4744666666666666,0.016949113054473747,3,1.0
A1,p05,JIG1,TOP,4,333,333.0,1.4149766666666668,0.00955369213096865,3,1.0
A1,p05,JIG1,TOP,5,304,304.0,1.3515866666666667,0.03673691921396422,3,1.0
A1,p05,JIG1,BOTTOM,1,116,116.0,-1.63865,0.06659873046838052,3,1.0
A1,p05,JIG1,BOTTOM,2,156,156.0,-1.6337666666666666,0.030016119558219614,3,1.0
A1,p05,JIG1,BOTTOM,3,157,157.0,-1.5902933333333333,0.029335003550934425,2,0.6666666666666666
A1,p05,JIG1,BOTTOM,4,117,117.0,-1.5804466666666668,0.06243856206971252,3,1.0
A1,p05,JIG1,BOTTOM,5,76,76.0,-1.5796299999999999,0.08219860096133029,1,0.3333333333333333
B,p05,JIG4,TOP,1,304,304.0,1.7425933333333334,0.013169822828471671,3,1.0
B,p05,JIG4,TOP,2,264,264.0,1.67352,0.0025983263844251495,3,1.0
B,p05,JIG4,TOP,3,294,294.0,1.6707933333333334,0.006418725210922679,3,1.0
B,p05,JIG4,TOP,4,303,303.0,1.6696766666666667,0.010985337197070184,3,1.0
B,p05,JIG4,TOP,5,254,254.0,1.65116,0.010775694873185668,3,1.0
B,p05,JIG4,BOTTOM,1,37,37.0,-1.2736433333333332,0.020024885351315684,3,1.0
B,p05,JIG4,BOTTOM,2,76,76.0,-1.2622066666666667,0.022390266486429625,3,1.0
B,p05,JIG4,BOTTOM,3,36,36.0,-1.2436633333333333,0.014836715719233003,3,1.0
B,p05,JIG4,BOTTOM,4,77,77.0,-1.22232,0.012117227405640313,3,1.0
B,p05,JIG4,BOTTOM,5,116,116.0,-1.21696,0.03113210079644475,3,1.0
A2,p05,JIG1,TOP,1,334,334.0,1.6063033333333332,0.027944690610799947,3,1.0
A2,p05,JIG1,TOP,2,264,264.0,1.5742,0.013912264373566184,3,1.0
A2,p05,JIG1,TOP,3,254,254.0,1.5574933333333334,0.007552829491874738,3,1.0
A2,p05,JIG1,TOP,4,333,333.0,1.5528333333333333,0.029303140332280694,3,1.0
A2,p05,JIG1,TOP,5,263,263.0,1.5386766666666667,0.029372812826376278,2,0.6666666666666666
A2,p05,JIG1,BOTTOM,1,76,76.0,-1.64084,0.026497190417098984,3,1.0
A2,p05,JIG1,BOTTOM,2,77,77.0,-1.6010133333333334,0.02503915400594298,3,1.0
A2,p05,JIG1,BOTTOM,3,116,116.0,-1.5728766666666667,0.020129839376739563,3,1.0
A2,p05,JIG1,BOTTOM,4,117,117.0,-1.464176666666667,0.016265774907250268,3,1.0
A2,p05,JIG1,BOTTOM,5,78,78.0,-1.4053766666666665,0.023352645103570914,3,1.0
